label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,1136.128205128205,886.8717948717949,78.0,504.6923076923077,767.0,493.0,39366,75.0,6.729230769221797,True
2,1213.2197802197802,882.0439560439561,91.0,389.9230769230769,699.0,376.0,35483,75.0,5.198974358967426,True
3,2136.885057471264,783.264367816092,87.0,958.9770114942529,1446.0,980.0,83431,75.0,12.786360153239656,True
4,1030.4343434343434,854.3030303030303,99.0,473.32323232323233,729.0,480.0,46859,75.0,6.310976430968016,True
5,1759.0444444444445,952.3555555555556,90.0,664.9222222222222,990.0,693.5,59843,75.0,8.865629629617809,True
6,1727.3208955223881,931.6119402985074,134.0,270.089552238806,457.0,271.5,36192,75.0,3.601194029845945,True
7,2066.3963963963965,836.3603603603603,111.0,572.1081081081081,925.0,559.0,63504,75.0,7.628108108097937,True
8,1263.408163265306,827.9387755102041,98.0,490.55102040816325,885.0,487.0,48074,75.0,6.540680272100122,True
9,1598.7820512820513,1037.0,78.0,398.12820512820514,679.0,401.0,31054,75.0,5.3083760683689905,True
10,1262.139240506329,964.8987341772151,79.0,428.49367088607596,652.0,420.0,33851,75.0,5.713248945140061,True
11,1732.4351145038167,1212.7022900763359,131.0,624.2290076335878,1050.0,626.0,81774,75.0,8.323053435103406,True
12,1803.4126984126983,1025.531746031746,126.0,312.6666666666667,518.0,311.0,39396,75.0,4.16888888888333,True
13,1131.0086956521739,839.3826086956522,115.0,459.0608695652174,712.0,458.0,52792,75.0,6.120811594194738,True
14,1103.8222222222223,785.3555555555556,90.0,318.15555555555557,510.0,311.0,28634,75.0,4.242074074068418,True
15,1792.6190476190477,974.8571428571429,84.0,302.0,592.0,293.5,25368,75.0,4.026666666661297,True
16,1188.8091603053435,941.1908396946565,131.0,690.5954198473282,1110.0,693.0,90468,75.0,9.207938931285431,True
17,1158.8333333333333,865.5729166666666,96.0,587.1770833333334,913.0,590.0,56369,75.0,7.829027777767339,True
18,1223.4615384615386,1119.076923076923,130.0,395.46153846153845,588.0,396.5,51410,75.0,5.272820512813482,True
19,1150.7766990291261,918.9320388349514,103.0,461.70873786407765,768.0,460.0,47556,75.0,6.15611650484616,True
20,1084.359649122807,862.7543859649123,114.0,603.859649122807,970.0,624.0,68840,75.0,8.051461988293358,True
21,2057.972222222222,844.0092592592592,108.0,666.9629629629629,1094.0,671.0,72032,75.0,8.892839506160982,True
22,2069.190476190476,796.547619047619,84.0,457.9761904761905,707.0,456.5,38470,75.0,6.106349206341064,True
23,1945.2,888.1789473684211,95.0,333.65263157894736,576.0,334.0,31697,75.0,4.448701754380033,True
24,1115.952380952381,1312.455782312925,147.0,275.05442176870747,454.0,271.0,40433,75.0,3.667392290244543,True
25,1861.9029126213593,914.6310679611651,103.0,405.24271844660194,674.0,405.0,41740,75.0,5.403236245947488,True
26,2359.785185185185,974.0148148148148,135.0,288.2814814814815,447.0,280.0,38918,75.0,3.843753086414628,True
27,1697.4173228346456,1400.1889763779527,127.0,186.9448818897638,314.0,187.0,23742,75.0,2.492598425193527,True
28,976.4913793103449,730.9741379310345,116.0,418.61206896551727,721.0,407.0,48559,75.0,5.581494252866121,True
29,1746.4137931034484,1327.25,116.0,254.94827586206895,436.0,248.0,29574,75.0,3.3993103448230535,True
30,765.0775862068965,784.0258620689655,116.0,290.62068965517244,689.0,282.0,33712,75.0,3.874942528730466,True
31,1122.637254901961,758.2647058823529,102.0,598.0,898.0,598.5,60996,75.0,7.973333333322702,True
32,1101.9029126213593,1282.2718446601941,103.0,218.0873786407767,407.0,215.0,22463,75.0,2.9078317152064788,True
33,1958.8415841584158,863.7920792079208,101.0,414.1287128712871,743.0,392.0,41827,75.0,5.521716171609799,True
34,1950.9532710280373,908.8411214953271,107.0,382.93457943925233,623.0,380.0,40974,75.0,5.1057943925165565,True
35,824.1327433628319,630.3451327433628,113.0,538.1327433628319,925.0,537.0,60809,75.0,7.1751032448281915,True
36,1287.4915254237287,1357.635593220339,118.0,282.50847457627117,445.0,289.5,33336,75.0,3.7667796610119266,True
37,1962.4947368421053,840.0,95.0,555.8947368421053,823.0,564.0,52810,75.0,7.411929824551521,True
38,1242.968992248062,912.2403100775193,129.0,621.3875968992248,1226.0,613.0,80159,75.0,8.285167958645284,True
39,1252.8556701030927,914.5876288659794,97.0,335.7319587628866,537.0,356.0,32566,75.0,4.47642611683252,True
40,1075.96875,1519.2625,160.0,212.1625,383.0,202.0,33946,75.0,2.828833333329561,True
41,802.905325443787,669.5502958579882,169.0,287.81065088757396,1256.0,276.0,48640,75.0,3.837475345162536,True
42,1996.5258620689656,789.9741379310345,116.0,530.8793103448276,821.0,533.5,61582,75.0,7.078390804588262,True
43,993.7078651685393,737.7865168539325,89.0,390.3370786516854,565.0,393.0,34740,75.0,5.2044943820155325,True
44,1987.9590163934427,921.8770491803278,122.0,468.6639344262295,688.0,469.0,57177,75.0,6.248852459008061,True
45,1228.2191780821918,1226.3972602739725,73.0,195.0,364.0,191.0,14235,75.0,2.599999999996533,True
46,2083.366666666667,1291.475,120.0,215.70833333333334,385.0,217.0,25885,75.0,2.8761111111072766,True
47,1141.137254901961,1041.1470588235295,102.0,344.55882352941177,532.0,341.0,35145,75.0,4.594117647052698,True
48,960.328125,967.8046875,128.0,348.765625,530.0,345.0,44642,75.0,4.650208333327133,True
49,1655.3243243243244,1043.918918918919,74.0,248.55405405405406,416.0,244.5,18393,75.0,3.3140540540496355,True
50,933.1927710843373,1026.0361445783133,83.0,157.49397590361446,263.0,155.0,13072,75.0,2.0999196787120593,True
51,2071.765765765766,719.063063063063,111.0,1150.9099099099099,2190.0,1137.0,127751,75.0,15.345465465445004,True
52,2060.4489795918366,755.1632653061224,98.0,648.734693877551,939.0,659.5,63576,75.0,8.649795918355814,True
53,510.280701754386,586.7894736842105,57.0,538.4035087719299,959.0,525.0,30689,75.0,7.178713450282826,True
54,1232.875,1333.2569444444443,144.0,229.28472222222223,460.0,225.5,33017,75.0,3.0571296296255537,True
55,1824.5470085470085,1320.2820512820513,117.0,255.82051282051282,413.0,258.0,29931,75.0,3.410940170935623,True
56,1917.525,826.475,80.0,440.9875,744.0,430.0,35279,75.0,5.879833333325494,True
57,1467.7375886524824,1159.1843971631206,141.0,197.82978723404256,415.0,185.0,27894,75.0,2.637730496450384,True
58,1230.9444444444443,923.1222222222223,90.0,259.6333333333333,435.0,247.0,23367,75.0,3.461777777773162,True
59,1226.8095238095239,964.8285714285714,105.0,422.87619047619046,618.0,419.0,44402,75.0,5.6383492063416885,True
60,1846.9894736842105,874.0,95.0,217.21052631578948,473.0,204.0,20635,75.0,2.8961403508733317,True
61,2115.019230769231,792.3365384615385,104.0,502.38461538461536,796.0,512.0,52248,75.0,6.698461538452607,True
62,1002.2340425531914,1206.7978723404256,94.0,203.7127659574468,329.0,199.0,19149,75.0,2.7161702127623357,True
63,653.6470588235294,536.4705882352941,68.0,1778.1911764705883,2823.0,1864.5,120917,75.0,23.7092156862429,True
64,1357.8446601941748,899.8155339805825,103.0,367.2621359223301,589.0,360.0,37828,75.0,4.896828478957873,True
65,1087.9863945578231,1053.1768707482993,147.0,439.3469387755102,654.0,435.0,64584,75.0,5.857959183665658,True
66,1004.3176470588236,740.5411764705882,85.0,372.7529411764706,587.0,375.0,31684,75.0,4.970039215679647,True
67,919.311320754717,1237.754716981132,106.0,192.73584905660377,333.0,197.5,20430,75.0,2.5698113207512905,True
68,1212.675,812.3625,80.0,319.8625,535.0,319.5,25589,75.0,4.264833333327647,True
69,2295.3892617449665,790.6979865771812,149.0,227.51006711409397,398.0,219.0,33899,75.0,3.033467561517208,True
70,1542.9125,991.925,80.0,256.0,426.0,243.5,20480,75.0,3.413333333328782,True
71,1876.6555555555556,1609.2666666666667,90.0,171.2111111111111,267.0,173.0,15409,75.0,2.282814814811771,True
72,1257.2297297297298,1748.2432432432433,74.0,136.05405405405406,270.0,133.5,10068,75.0,1.8140540540516354,False
73,1787.4722222222222,1562.1851851851852,108.0,134.62037037037038,210.0,131.0,14539,75.0,1.794938271602545,False
74,1632.3026315789473,1085.9342105263158,76.0,194.35526315789474,279.0,197.5,14771,75.0,2.5914035087684746,True
75,2614.0396825396824,979.8015873015873,126.0,217.74603174603175,405.0,223.5,27436,75.0,2.903280423276552,True
76,1815.9936305732483,1509.1082802547771,157.0,238.4968152866242,420.0,239.0,37444,75.0,3.1799575371507496,True
77,1898.888888888889,1084.5050505050506,99.0,120.29292929292929,254.0,117.0,11909,75.0,1.6039057239035852,False
78,1030.3960396039604,1218.4851485148515,101.0,104.39603960396039,213.0,102.0,10544,75.0,1.3919471947176159,False
79,2007.3584905660377,1270.6415094339623,106.0,180.60377358490567,276.0,187.5,19144,75.0,2.4080503144621983,True
80,1762.1747572815534,1602.6893203883494,103.0,104.18446601941747,195.0,102.0,10731,75.0,1.3891262135903808,False
81,2107.6627906976746,1099.953488372093,86.0,209.87209302325581,355.0,204.5,18049,75.0,2.7982945736396796,True
82,1757.5942028985507,1871.2753623188405,69.0,112.34782608695652,221.0,115.0,7752,75.0,1.4979710144907563,False
83,1498.3376623376623,1339.5454545454545,77.0,198.85714285714286,352.0,192.0,15312,75.0,2.6514285714250363,True
84,856.4421768707483,997.4489795918367,147.0,193.0612244897959,325.0,192.0,28380,75.0,2.574149659860513,True
85,1892.3095238095239,1530.5714285714287,84.0,174.3452380952381,308.0,174.0,14645,75.0,2.324603174600075,True
86,1998.8701298701299,803.8441558441558,77.0,294.2987012987013,613.0,293.0,22661,75.0,3.923982683977452,True
87,1352.1515151515152,1025.4747474747476,99.0,124.85858585858585,266.0,115.0,12361,75.0,1.664781144778925,False
88,1097.954128440367,1440.366972477064,109.0,179.3577981651376,270.0,181.0,19550,75.0,2.3914373088653127,True
89,1786.173076923077,886.1730769230769,52.0,154.0,249.0,153.5,8008,75.0,2.0533333333305954,True
90,1013.780487804878,1210.0487804878048,82.0,172.02439024390245,321.0,167.5,14106,75.0,2.2936585365823077,True
91,1609.4204545454545,1858.090909090909,88.0,154.20454545454547,275.0,152.0,13570,75.0,2.056060606057865,True
92,1964.7073170731708,975.670731707317,82.0,215.8170731707317,365.0,209.0,17697,75.0,2.877560975605919,True
93,1821.3647058823528,889.5294117647059,85.0,226.23529411764707,387.0,228.0,19230,75.0,3.016470588231272,True
94,1887.3181818181818,950.25,88.0,439.64772727272725,1139.0,418.0,38689,75.0,5.86196969696188,True
95,1262.7054794520548,1210.1575342465753,146.0,143.8082191780822,260.0,141.0,20996,75.0,1.9174429223718727,False
96,1208.2773109243697,1157.1596638655462,119.0,422.5546218487395,670.0,423.0,50284,75.0,5.634061624642348,True
97,2932.772151898734,1134.0506329113923,79.0,173.8860759493671,347.0,176.0,13737,75.0,2.3184810126551367,True
