label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,940.6070110701107,833.2859778597787,542.0,292.6125461254613,1081.0,247.0,158596,58.0,5.045043898706151,True
2,364.1576086956522,524.4963768115942,552.0,183.95471014492753,643.0,163.0,101543,58.0,3.171632933527765,True
3,362.9693757361602,706.791519434629,849.0,185.08362779740872,771.0,161.0,157136,58.0,3.1910970309843036,True
4,289.4159836065574,230.10040983606558,488.0,170.75409836065575,518.0,157.0,83328,58.0,2.9440361786269196,True
5,483.7857142857143,726.3636363636364,616.0,214.36201298701297,841.0,174.0,132047,58.0,3.695896775631782,True
6,1225.88,774.4618181818182,550.0,406.2818181818182,1992.0,300.5,223455,58.0,7.004858934157202,True
7,430.8093457943925,749.4971962616822,535.0,238.5214953271028,1330.0,185.0,127609,58.0,4.11243957459813,True
8,384.6697674418605,739.553488372093,215.0,262.8279069767442,625.0,232.0,56508,58.0,4.53151563752226,True
9,1269.1063394683026,785.0061349693251,489.0,473.05725971370146,1600.0,353.0,231325,58.0,8.15615965022217,True
10,145.8644859813084,558.4672897196261,214.0,201.92523364485982,482.0,166.0,43212,58.0,3.481469545595029,True
11,459.43236074270555,697.657824933687,377.0,216.3633952254642,808.0,181.0,81569,58.0,3.7304033659498472,True
12,1122.3590361445783,291.7734939759036,415.0,326.6722891566265,546.0,324.0,135569,58.0,5.632280847518333,True
13,1081.8005865102639,893.208211143695,341.0,279.04985337243403,786.0,224.0,95156,58.0,4.811204368481946,True
14,221.6204620462046,560.1419141914191,303.0,188.08250825082507,528.0,170.0,56989,58.0,3.2428018663879445,True
15,902.7542372881356,778.1864406779661,354.0,344.95197740112997,3137.0,211.0,122113,58.0,5.947447886216124,True
16,1252.8291139240507,804.0189873417721,158.0,665.5949367088608,1301.0,637.0,105164,58.0,11.475774770822643,True
17,1236.5594405594406,805.6993006993007,143.0,516.3496503496503,1472.0,400.0,73838,58.0,8.902580178426899,True
18,1238.0852713178294,792.7906976744187,129.0,559.077519379845,1404.0,531.0,72121,58.0,9.639267575497948,True
19,490.28880866425993,696.8628158844765,277.0,194.38628158844764,568.0,174.0,53845,58.0,3.351487613588146,True
20,1233.5824411134904,785.8822269807281,467.0,325.5546038543897,2350.0,287.0,152034,58.0,5.613010411272904,True
21,363.4712643678161,681.1724137931035,87.0,228.67816091954023,471.0,199.0,19895,58.0,3.9427269123990683,True
22,420.63917525773195,682.0721649484536,194.0,147.28865979381445,461.0,134.0,28574,58.0,2.539459651613112,True
23,1069.770731707317,889.9365853658536,205.0,249.1560975609756,436.0,246.0,51077,58.0,4.295794785526655,True
24,218.9747899159664,540.1008403361344,119.0,265.0420168067227,585.0,219.0,31540,58.0,4.569689944935616,True
25,279.8871794871795,680.0307692307692,195.0,224.33846153846153,498.0,209.0,43746,58.0,3.8679045092771505,True
26,1224.7941176470588,756.2352941176471,102.0,631.8235294117648,1254.0,631.5,64446,58.0,10.893509127770265,True
27,1005.2875,837.4625,80.0,309.6375,681.0,258.0,24771,58.0,5.338577586197692,True
28,892.1739130434783,776.6195652173913,184.0,173.6413043478261,732.0,162.5,31950,58.0,2.9938155921987364,True
29,340.21794871794873,682.0064102564103,156.0,213.67948717948718,400.0,212.5,33334,58.0,3.6841290892951513,True
30,232.84848484848484,578.6969696969697,66.0,347.8030303030303,677.0,327.5,22955,58.0,5.996603970731563,True
31,1246.5164835164835,794.8131868131868,91.0,358.27472527472526,902.0,320.0,32603,58.0,6.177150435760475,True
32,1332.5666666666666,384.81666666666666,60.0,150.98333333333332,294.0,143.5,9059,58.0,2.6031609195357412,True
33,275.1869158878505,667.0747663551402,107.0,237.0373831775701,905.0,214.0,25363,58.0,4.08685143408899,True
34,116.94202898550725,674.2608695652174,69.0,263.5507246376812,420.0,259.0,18185,58.0,4.5439780109866685,True
35,441.46774193548384,708.0806451612904,62.0,325.4516129032258,600.0,302.5,20178,58.0,5.611234705218356,True
36,1096.5272727272727,874.3636363636364,55.0,415.90909090909093,610.0,413.0,22875,58.0,7.170846394971963,True
37,439.2742857142857,744.6342857142857,350.0,145.3542857142857,848.0,134.0,50874,58.0,2.5061083743799153,True
38,289.48614609571786,246.78337531486147,397.0,165.23173803526447,364.0,162.0,65597,58.0,2.8488230695686134,True
39,161.31884057971016,546.1884057971015,69.0,228.2173913043478,423.0,219.0,15747,58.0,3.9347826086888675,True
40,1262.2663316582914,809.4623115577889,199.0,444.66331658291455,1265.0,332.0,88488,58.0,7.666608906588756,True
41,854.5581395348837,200.69767441860466,43.0,268.0232558139535,407.0,253.0,11525,58.0,4.621090617473989,True
42,209.83333333333334,562.8166666666667,60.0,193.13333333333333,339.0,182.0,11588,58.0,3.329885057465523,True
43,135.2948717948718,656.7435897435897,78.0,228.48717948717947,407.0,222.5,17822,58.0,3.939434129082509,True
44,272.14285714285717,659.9285714285714,56.0,259.94642857142856,374.0,258.0,14557,58.0,4.48183497536173,True
45,205.6,546.1142857142858,35.0,215.85714285714286,307.0,218.0,7555,58.0,3.721674876840874,True
46,637.7878787878788,116.9090909090909,33.0,172.24242424242425,234.0,169.0,5684,58.0,2.9696969696918494,True
47,1022.9791666666666,814.25,48.0,350.0833333333333,659.0,331.5,16804,58.0,6.035919540219478,True
48,448.6666666666667,680.8888888888889,54.0,202.92592592592592,333.0,196.0,10958,58.0,3.498722860785794,True
49,1006.2463768115942,10.347826086956522,69.0,97.17391304347827,161.0,99.0,6705,58.0,1.6754122938501848,False
50,1360.75,869.575,40.0,197.3,307.0,199.5,7892,58.0,3.4017241379251697,True
51,30.74981684981685,329.95897435897433,2730.0,288.0014652014652,528.0,288.0,786244,58.0,4.9655425034649765,True
52,219.46052631578948,570.2236842105264,76.0,135.60526315789474,253.0,126.5,10306,58.0,2.338021778580361,True
53,1430.5737704918033,372.1803278688525,61.0,75.49180327868852,142.0,75.0,4605,58.0,1.301582815147558,False
54,857.6002098635887,397.18572927597063,953.0,264.2224554039874,1999.0,265.0,251804,58.0,4.555559575922962,True
