label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,219.248786407767,558.2985436893204,824.0,285.9660194174757,1118.0,255.5,235636,37.0,7.728811335586562,True
2,360.69614512471657,681.9750566893424,441.0,290.72562358276645,825.0,257.0,128210,37.0,7.857449285999478,True
3,482.67490118577075,734.1304347826087,1012.0,265.3498023715415,1363.0,209.0,268534,37.0,7.171616280292549,True
4,148.8548951048951,561.5821678321678,572.0,242.52272727272728,861.0,207.0,138723,37.0,6.55466830465059,True
5,230.19218241042344,582.742671009772,307.0,325.09771986970685,1162.0,234.0,99805,37.0,8.78642486131968,True
6,362.0921658986175,523.2142857142857,434.0,244.82488479262673,722.0,217.0,106254,37.0,6.616888778161217,True
7,342.05908419497786,686.6366322008863,677.0,263.4830132939439,557.0,260.0,178378,37.0,7.121162521438696,True
8,164.69627507163324,549.4269340974212,349.0,270.8452722063037,699.0,243.0,94525,37.0,7.3201424920424785,True
9,384.0621118012422,739.6273291925465,161.0,375.8944099378882,813.0,362.0,60519,37.0,10.159308376672223,True
10,941.3118811881188,833.0049504950495,202.0,135.17326732673268,331.0,124.5,27305,37.0,3.6533315493612797,True
11,275.28859060402687,679.0375838926175,745.0,249.14362416107383,1797.0,222.0,185612,37.0,6.733611463794607,True
12,201.83301707779887,564.7988614800759,527.0,165.82163187855787,539.0,145.0,87388,37.0,4.481665726435397,True
13,138.83211678832117,661.9026763990267,411.0,272.01216545012164,562.0,263.0,111797,37.0,7.351680147280716,True
14,287.4234234234234,227.21621621621622,111.0,285.85585585585585,494.0,271.0,31730,37.0,7.725833942029277,True
15,492.59027777777777,691.5,288.0,217.14583333333334,599.0,195.0,62538,37.0,5.868806306290445,True
16,160.33333333333334,542.7679324894515,237.0,181.57383966244726,345.0,174.0,43033,37.0,4.90740107194477,True
17,423.67420814479635,740.4796380090497,221.0,377.58371040723983,1099.0,319.0,83446,37.0,10.204965146114036,True
18,1229.8541666666667,772.4166666666666,144.0,160.36111111111111,479.0,112.0,23092,37.0,4.33408408407237,True
19,359.9259259259259,703.4444444444445,162.0,292.4012345679012,732.0,266.5,47369,37.0,7.902736069381376,True
20,325.5944798301486,668.8195329087049,471.0,231.08492569002124,403.0,226.0,108841,37.0,6.245538532145856,True
21,482.2690355329949,690.4314720812183,197.0,204.27918781725887,405.0,198.0,40243,37.0,5.521059130181263,True
22,400.3728813559322,724.728813559322,118.0,309.22033898305085,618.0,305.0,36488,37.0,8.357306458978787,True
23,1273.5454545454545,787.3030303030303,132.0,144.3030303030303,295.0,142.5,19048,37.0,3.9000819000713594,True
24,455.14141414141415,691.2727272727273,99.0,256.6868686868687,511.0,241.0,25412,37.0,6.937482937464187,True
25,1078.0,888.9444444444445,54.0,133.42592592592592,211.0,126.5,7205,37.0,3.6061061060963597,True
26,89.72131147540983,201.72131147540983,61.0,195.13114754098362,312.0,190.0,11903,37.0,5.273814798390709,True
27,115.1948051948052,673.8181818181819,77.0,347.09090909090907,584.0,335.0,26726,37.0,9.380835380810026,True
28,1118.7843137254902,290.47058823529414,51.0,113.03921568627452,171.0,112.0,5765,37.0,3.055113937458622,True
29,126.06349206349206,657.0039682539683,252.0,260.2579365079365,454.0,258.5,65585,37.0,7.0339982839792725,True
30,1239.2682926829268,791.0243902439024,41.0,192.0,285.0,192.0,7872,37.0,5.189189189175164,True
31,1253.1315789473683,802.5526315789474,38.0,217.94736842105263,356.0,210.5,8282,37.0,5.890469416769286,True
32,1004.8604651162791,836.2325581395348,43.0,119.76744186046511,245.0,119.0,5150,37.0,3.23695788811193,True
33,1236.857142857143,804.2619047619048,42.0,192.8095238095238,281.0,185.5,8098,37.0,5.211068211054126,True
34,932.7344632768362,833.6440677966102,177.0,98.99435028248588,219.0,97.0,17522,37.0,2.6755229806004954,True
35,432.5508982035928,748.5149700598803,167.0,212.50898203592814,568.0,194.0,35489,37.0,5.7434860009555075,True
36,351.5648854961832,727.7328244274809,131.0,324.7709923664122,700.0,297.0,42545,37.0,8.777594388257688,True
37,1225.2564102564102,754.7435897435897,39.0,164.6153846153846,281.0,165.0,6420,37.0,4.4490644490524245,True
38,291.1860465116279,134.88372093023256,43.0,336.3255813953488,506.0,335.0,14462,37.0,9.089880578228103,True
39,1429.9722222222222,371.90277777777777,72.0,34.94444444444444,73.0,35.5,2516,37.0,0.9444444444418918,False
40,244.46778711484595,596.733893557423,1071.0,210.7731092436975,684.0,204.0,225738,37.0,5.696570520084536,True
41,753.9226804123712,316.9381443298969,194.0,284.42783505154637,508.0,286.0,55179,37.0,7.687238785156152,True
42,1331.925,384.05,40.0,50.15,92.0,46.0,2006,37.0,1.3554054054017421,False
43,833.2352941176471,40.294117647058826,68.0,90.79411764705883,368.0,75.5,6174,37.0,2.453895071535498,True
44,391.74285714285713,372.48571428571427,35.0,235.77142857142857,355.0,246.0,8252,37.0,6.372200772183549,True
