label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,552.2745098039215,712.3529411764706,51.0,600.2352941176471,771.0,595.0,30612,294.0,2.0416166466579693,True
2,871.75,735.8,40.0,752.475,888.0,756.0,30099,294.0,2.5594387755093337,True
3,823.4848484848485,456.3939393939394,33.0,957.939393939394,1460.0,955.0,31612,294.0,3.2582972582961505,True
4,671.8780487804878,472.4390243902439,41.0,609.5121951219512,846.0,592.0,24990,294.0,2.073170731706612,True
5,753.40625,466.34375,32.0,749.03125,947.0,738.5,23969,294.0,2.547725340135188,True
6,1449.7837837837837,910.1081081081081,37.0,953.2162162162163,1246.0,923.0,35269,294.0,3.242232027945211,True
7,827.3333333333334,482.71794871794873,39.0,1108.6410256410256,1818.0,1111.0,43237,294.0,3.770887842315131,True
8,729.078947368421,627.9473684210526,38.0,778.1315789473684,1002.0,775.5,29569,294.0,2.646706050840489,True
9,371.6363636363636,1394.3333333333333,33.0,1058.0,1311.0,1073.0,34914,294.0,3.5986394557810892,True
10,868.1034482758621,472.0,29.0,876.3793103448276,1105.0,898.0,25415,294.0,2.98088200797459,True
11,399.2142857142857,730.4642857142857,28.0,807.2142857142857,1007.0,795.5,22602,294.0,2.7456268221565003,True
12,616.3513513513514,566.7567567567568,37.0,688.1891891891892,872.0,692.0,25463,294.0,2.340779555064473,True
13,419.81081081081084,561.972972972973,37.0,664.0,871.0,661.0,24568,294.0,2.2585034013597762,True
14,641.7777777777778,548.9166666666666,36.0,895.0833333333334,1269.0,866.5,32223,294.0,3.044501133785813,True
15,870.452380952381,461.85714285714283,42.0,994.2619047619048,1342.0,998.5,41759,294.0,3.3818432134747165,True
16,453.6857142857143,570.2857142857143,35.0,697.8285714285714,834.0,687.0,24424,294.0,2.3735665694841295,True
17,407.24242424242425,574.3030303030303,33.0,979.1818181818181,1356.0,968.0,32313,294.0,3.3305504019778405,True
18,627.7931034482758,458.0,29.0,591.1724137931035,724.0,613.0,17144,294.0,2.0107905231051104,True
19,713.2702702702703,556.6216216216217,37.0,807.7027027027027,1080.0,786.0,29885,294.0,2.7472881044300275,True
20,469.8529411764706,617.9411764705883,34.0,564.6470588235294,669.0,566.0,19198,294.0,1.920568227290263,False
21,268.58620689655174,1427.6206896551723,29.0,1391.896551724138,1722.0,1446.0,40365,294.0,4.734342012665525,True
22,729.4166666666666,535.875,48.0,782.9166666666666,1219.0,763.0,37580,294.0,2.662981859409525,True
23,729.9459459459459,746.1081081081081,37.0,1003.4864864864865,1191.0,1045.0,37129,294.0,3.4132193417896093,True
24,733.2758620689655,520.448275862069,29.0,696.0344827586207,941.0,696.0,20185,294.0,2.367464227069333,True
25,585.6111111111111,709.7777777777778,36.0,659.2777777777778,787.0,656.5,23734,294.0,2.2424414210120873,True
26,512.3260869565217,815.8695652173913,46.0,479.45652173913044,684.0,485.5,22055,294.0,1.6308044957107735,False
27,497.72727272727275,634.0,33.0,585.7878787878788,690.0,581.0,19331,294.0,1.9924757781893863,False
28,556.6315789473684,561.921052631579,38.0,518.3421052631579,689.0,512.0,19697,294.0,1.763068385248237,False
29,763.3636363636364,516.6363636363636,33.0,626.2727272727273,829.0,627.0,20667,294.0,2.1301793444643344,True
