label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,435.6666666666667,858.5555555555555,36.0,656.8611111111111,932.0,634.0,23647,206.0,3.188646170440739,True
2,449.6904761904762,415.95238095238096,42.0,486.8809523809524,756.0,458.5,20449,206.0,2.3634997688384276,True
3,1120.1379310344828,884.2068965517242,29.0,456.55172413793105,606.0,451.0,13240,206.0,2.2162705055228615,True
4,471.5833333333333,72.44444444444444,36.0,536.25,724.0,543.5,19305,206.0,2.603155339804562,True
5,709.8837209302326,87.18604651162791,43.0,899.2790697674419,1026.0,895.0,38669,206.0,4.365432377509735,True
6,417.53846153846155,768.5641025641025,39.0,556.974358974359,712.0,572.0,21722,206.0,2.7037590241460614,True
7,397.4166666666667,562.5833333333334,48.0,580.2916666666666,994.0,580.0,27854,206.0,2.8169498381863347,True
8,448.40625,869.65625,32.0,582.6875,785.0,558.5,18646,206.0,2.8285800970860056,True
9,409.94871794871796,701.7435897435897,39.0,722.2307692307693,978.0,712.0,28167,206.0,3.505974607914654,True
10,1036.0,882.2058823529412,34.0,611.0,812.0,596.5,20774,206.0,2.9660194174742887,True
11,1091.8387096774193,1100.4516129032259,31.0,472.7096774193548,639.0,457.0,14654,206.0,2.294707171937502,True
12,396.51612903225805,511.5806451612903,31.0,436.2903225806452,565.0,440.0,13525,206.0,2.1179141872836573,True
13,396.3142857142857,609.6857142857143,35.0,448.1142857142857,582.0,452.0,15684,206.0,2.1753120665731465,True
14,1049.3870967741937,846.4516129032259,31.0,544.3870967741935,1009.0,523.0,16876,206.0,2.6426558095821813,True
15,425.390243902439,634.4878048780488,41.0,673.170731707317,1008.0,659.0,27600,206.0,3.2678190859562637,True
16,384.58620689655174,649.7241379310345,29.0,499.3103448275862,711.0,507.0,14480,206.0,2.4238366253754555,True
17,1084.9714285714285,728.4,35.0,394.0,578.0,393.0,13790,206.0,1.9126213592223726,False
18,456.20588235294116,201.94117647058823,34.0,557.6764705882352,721.0,558.0,18961,206.0,2.7071673329512844,True
19,432.8478260869565,700.7826086956521,46.0,643.195652173913,886.0,634.0,29587,206.0,3.1223089911339845,True
20,1077.2903225806451,710.5483870967741,31.0,392.35483870967744,531.0,399.0,12163,206.0,1.9046351393664418,False
21,1036.2413793103449,867.9310344827586,29.0,469.1034482758621,723.0,458.0,13604,206.0,2.2772012052215262,True
