label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,231.0462962962963,695.6851851851852,216.0,540.4583333333334,1488.0,470.5,116739,218.0,2.4791666666655297,True
2,913.8684210526316,1458.5105263157895,190.0,537.5631578947368,1858.0,423.0,102137,218.0,2.46588604538757,True
3,299.7042253521127,522.0704225352113,142.0,654.6830985915493,1024.0,651.0,92965,218.0,3.0031334797763716,True
4,290.7027027027027,860.9099099099099,111.0,479.0810810810811,1162.0,475.0,53178,218.0,2.1976196379856026,True
5,259.94594594594594,570.9783783783784,185.0,675.6918918918919,1151.0,649.0,125003,218.0,3.099504091245789,True
6,240.7921348314607,735.5842696629213,178.0,504.2865168539326,1478.0,476.5,89763,218.0,2.3132409029986296,True
7,240.30573248407643,747.5987261146497,157.0,457.0828025477707,1145.0,419.0,71762,218.0,2.0967101034291793,True
8,1027.1581395348837,1249.0232558139535,215.0,400.51162790697674,1107.0,359.0,86110,218.0,1.8372093023247387,False
9,974.1308411214953,1322.411214953271,107.0,426.29906542056074,629.0,417.0,45614,218.0,1.9555003000934184,False
10,241.14285714285714,726.375,112.0,488.41964285714283,786.0,469.0,54703,218.0,2.2404570773253156,True
11,348.3333333333333,833.8958333333334,96.0,394.7916666666667,638.0,385.5,37900,218.0,1.8109709480114018,False
12,849.953488372093,135.41860465116278,86.0,804.6279069767442,1537.0,739.5,69198,218.0,3.6909537017264915,True
13,1090.2611111111112,963.5111111111111,180.0,397.39444444444445,1304.0,324.0,71531,218.0,1.8229102956158816,False
14,145.34343434343435,778.020202020202,99.0,568.5959595959596,985.0,513.0,56291,218.0,2.6082383467692605,True
15,316.41984732824426,640.5267175572519,131.0,512.2061068702291,1163.0,466.0,67099,218.0,2.3495692975687805,True
16,145.29565217391306,820.695652173913,115.0,449.7913043478261,733.0,449.0,51726,218.0,2.0632628639799075,True
17,226.54615384615386,913.6076923076923,130.0,357.73846153846154,540.0,354.5,46506,218.0,1.6410021171481535,False
18,210.6818181818182,677.2727272727273,110.0,511.91818181818184,1084.0,478.5,56311,218.0,2.3482485404492985,True
19,308.10309278350513,649.5979381443299,97.0,533.7628865979382,946.0,512.0,51775,218.0,2.4484536082462998,True
20,40.39622641509434,530.8176100628931,159.0,470.8805031446541,698.0,473.0,74870,218.0,2.1600023080020097,True
21,297.0900900900901,677.027027027027,111.0,545.1351351351351,1307.0,488.0,60510,218.0,2.5006198859398396,True
22,326.18666666666667,840.3333333333334,75.0,468.52,662.0,457.0,35139,218.0,2.1491743119256195,True
23,1099.7719298245613,983.078947368421,114.0,360.2894736842105,715.0,330.0,41073,218.0,1.6527040077249784,False
24,220.40217391304347,784.4130434782609,92.0,597.9565217391304,998.0,567.5,55012,218.0,2.7429198244901656,True
25,295.6510067114094,627.8791946308725,149.0,559.8926174496644,991.0,540.0,83424,218.0,2.5683147589422366,True
26,270.168776371308,591.7763713080169,237.0,562.590717299578,1072.0,539.0,133334,218.0,2.5806913637583486,True
27,328.1119402985075,676.8358208955224,134.0,508.9850746268657,1037.0,491.0,68204,218.0,2.3347939203056525,True
28,410.9805825242718,547.7281553398059,103.0,724.7184466019418,1071.0,697.0,74646,218.0,3.3243965440440797,True
29,1152.8712871287128,1012.2673267326733,101.0,268.05940594059405,598.0,253.0,27074,218.0,1.2296303024792252,False
30,274.7843137254902,651.1960784313726,51.0,570.6862745098039,833.0,561.0,29105,218.0,2.6178269472914777,True
31,305.18446601941747,744.9514563106796,103.0,523.4563106796116,1094.0,483.0,53916,218.0,2.4011757370613376,True
32,277.66820276497697,512.2027649769585,217.0,649.7235023041475,1414.0,609.0,140990,218.0,2.9803830380910528,True
33,286.1151832460733,480.0680628272251,191.0,671.9005235602094,1349.0,654.0,128333,218.0,3.0821124933940425,True
34,20.68041237113402,747.2061855670103,97.0,527.1855670103092,885.0,496.0,51137,218.0,2.4182824174773736,True
35,1124.5299539170508,1012.7235023041475,217.0,361.184331797235,977.0,331.0,78377,218.0,1.6568088614544465,False
36,335.4433962264151,856.9528301886793,106.0,443.5660377358491,655.0,440.0,47018,218.0,2.0347065951176404,True
37,291.7105263157895,686.6315789473684,114.0,581.4824561403509,1643.0,507.5,66289,218.0,2.6673507162389183,True
38,302.8082191780822,507.6164383561644,73.0,632.945205479452,864.0,623.0,46205,218.0,2.903418373757623,True
39,804.0526315789474,188.71052631578948,38.0,922.3421052631579,1126.0,912.0,35049,218.0,4.230927088361169,True
40,306.6923076923077,872.4102564102565,117.0,734.9401709401709,2065.0,520.0,85988,218.0,3.371285187797403,True
41,253.8388888888889,694.2,180.0,506.81666666666666,1261.0,464.5,91227,218.0,2.3248470948001567,True
42,473.7307692307692,505.88461538461536,52.0,527.7884615384615,698.0,518.0,27445,218.0,2.421047988707429,True
43,326.7959183673469,564.8367346938776,49.0,625.1020408163265,793.0,627.0,30630,218.0,2.8674405542020174,True
44,453.72093023255815,459.3488372093023,43.0,679.4418604651163,915.0,685.0,29216,218.0,3.1167057819486454,True
45,287.49122807017545,432.87719298245617,57.0,629.7543859649123,804.0,630.0,35896,218.0,2.888781586993686,True
46,1181.121951219512,396.6341463414634,82.0,528.8536585365854,799.0,526.5,43366,218.0,2.4259342134694624,True
47,286.258064516129,464.61290322580646,31.0,686.0,837.0,687.0,21266,218.0,3.146788990824245,True
48,914.0566037735849,1429.4905660377358,53.0,441.60377358490564,658.0,449.0,23405,218.0,2.0257053834160694,True
49,885.26,162.0,50.0,666.34,816.0,667.5,33317,218.0,3.0566055045857543,True
50,214.95744680851064,755.8510638297872,47.0,434.02127659574467,568.0,433.0,20399,218.0,1.9909232871355302,False
51,1095.3214285714287,1197.1607142857142,56.0,441.35714285714283,547.0,451.0,24716,218.0,2.024574049802479,True
52,656.0,313.2,40.0,759.4,895.0,775.0,30376,218.0,3.4834862385305123,True
53,213.67777777777778,494.6222222222222,90.0,768.3111111111111,1152.0,731.0,69148,218.0,3.5243628950034807,True
54,1083.1754385964912,1007.4035087719299,57.0,383.70175438596493,681.0,371.0,21871,218.0,1.7600997907604998,False
55,833.3333333333334,149.49333333333334,75.0,766.48,951.0,760.0,57486,218.0,3.515963302750681,True
56,139.56923076923076,822.0153846153846,130.0,457.87692307692305,724.0,461.5,59524,218.0,2.10035285815006,True
57,1023.875,1235.175,40.0,378.4,497.0,392.5,15136,218.0,1.7357798165129652,False
58,249.84848484848484,844.4848484848485,33.0,671.1818181818181,1856.0,567.0,22149,218.0,3.0788156797316986,True
59,291.95714285714286,488.4,70.0,609.6857142857143,755.0,612.0,42678,218.0,2.7967234600249298,True
60,744.9130434782609,169.8913043478261,46.0,1038.8260869565217,1265.0,1041.5,47786,218.0,4.765257279614887,True
61,843.1980198019802,136.94059405940595,101.0,707.7128712871287,838.0,712.0,71479,218.0,3.2463893178293763,True
62,1047.121212121212,1162.8181818181818,33.0,399.6060606060606,622.0,397.0,13187,218.0,1.8330553238801712,False
63,537.6857142857143,569.8571428571429,35.0,461.3142857142857,582.0,454.0,16146,218.0,2.1161205766700646,True
64,253.01538461538462,526.0,65.0,656.7846153846153,973.0,654.0,42691,218.0,3.012773465065661,True
65,148.83333333333334,893.8095238095239,42.0,511.92857142857144,884.0,505.0,21501,218.0,2.3482961992125535,True
66,827.5471698113207,188.16981132075472,53.0,819.0,1079.0,812.0,43407,218.0,3.756880733943231,True
67,6.119047619047619,1073.6666666666667,42.0,425.95238095238096,784.0,389.5,17890,218.0,1.953910004367824,False
68,291.0192307692308,933.3076923076923,52.0,453.0192307692308,603.0,447.0,23557,218.0,2.0780698659129495,True
69,1161.7058823529412,902.1764705882352,34.0,422.05882352941177,574.0,417.5,14350,218.0,1.9360496492165973,False
70,1000.8611111111111,1286.8333333333333,36.0,369.6666666666667,480.0,360.5,13308,218.0,1.695718654433473,False
71,1061.6333333333334,982.6666666666666,30.0,310.3,400.0,314.5,9309,218.0,1.4233944954121913,False
