label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,396.85526315789474,580.1447368421053,228.0,378.5,636.0,371.0,86298,43.0,8.802325581374879,True
2,329.9181034482759,794.0215517241379,232.0,433.7241379310345,1233.0,400.0,100624,43.0,10.086607858837809,True
3,1169.6128048780488,760.7835365853658,328.0,259.9420731707317,411.0,259.0,85261,43.0,6.045164492328539,True
4,1262.7341389728097,643.1419939577039,331.0,338.0030211480362,580.0,334.0,111879,43.0,7.860535375517445,True
5,1132.2382271468143,704.7590027700832,361.0,319.06371191135736,569.0,315.0,115182,43.0,7.420086323502682,True
6,1088.4285714285713,649.2428571428571,140.0,365.0571428571429,581.0,355.5,51108,43.0,8.489700996657998,True
7,1270.2906976744187,644.75,172.0,336.8139534883721,453.0,336.0,57932,43.0,7.83288263924625,True
8,887.0969230769231,822.6969230769231,650.0,312.39230769230767,587.0,308.0,203055,43.0,7.264937388176306,True
9,1288.0806451612902,792.0376344086021,186.0,323.26881720430106,609.0,312.5,60128,43.0,7.517879469849983,True
10,1179.1014492753623,755.7971014492754,207.0,287.30434782608694,439.0,288.0,59472,43.0,6.681496461056251,True
11,1060.887245841035,682.0,541.0,330.4343807763401,514.0,326.0,178765,43.0,7.684520483152829,True
12,1136.422857142857,689.7142857142857,175.0,327.64,460.0,328.0,57337,43.0,7.61953488370321,True
13,1175.1301939058171,641.2714681440443,361.0,370.4459833795014,589.0,367.0,133731,43.0,8.615022869270694,True
14,294.26022304832713,747.3568773234201,269.0,420.9553903345725,752.0,414.0,113237,43.0,9.789660240316127,True
15,660.9583333333334,830.5104166666666,96.0,381.9583333333333,865.0,328.0,36668,43.0,8.882751937963837,True
16,266.24264705882354,777.6544117647059,136.0,427.375,664.0,412.5,58123,43.0,9.938953488348979,True
17,1201.3530805687203,749.7630331753554,422.0,296.0165876777251,469.0,298.0,124919,43.0,6.884106690163644,True
18,215.10169491525423,797.0084745762712,236.0,427.10593220338984,813.0,414.5,100797,43.0,9.932696097730153,True
19,1165.1597633136096,636.5976331360947,169.0,418.5147928994083,677.0,410.0,70729,43.0,9.73290216042872,True
20,1156.8349514563106,700.0097087378641,206.0,310.4854368932039,440.0,308.0,63960,43.0,7.220591555639112,True
21,587.8176100628931,842.4088050314465,159.0,358.65408805031444,598.0,350.0,57026,43.0,8.340792745336753,True
22,1131.863354037267,676.5155279503106,161.0,341.96894409937886,587.0,334.0,55057,43.0,7.952766141827525,True
23,298.18518518518516,711.320987654321,81.0,404.74074074074076,587.0,399.0,32784,43.0,9.412575366041848,True
24,423.247311827957,702.9139784946236,93.0,401.2795698924731,582.0,389.0,37319,43.0,9.332083020733485,True
25,288.038961038961,735.512987012987,154.0,366.65584415584414,656.0,356.0,56465,43.0,8.526880096627707,True
26,1125.4536082474226,658.020618556701,194.0,346.57216494845363,521.0,346.5,67235,43.0,8.059817789480178,True
27,318.29824561403507,814.719298245614,171.0,409.4736842105263,613.0,409.0,70020,43.0,9.522643818827303,True
28,280.22070844686647,742.8937329700273,367.0,375.54768392370573,614.0,375.0,137826,43.0,8.733667067972846,True
29,1121.8424657534247,674.8835616438356,146.0,312.13013698630135,433.0,313.5,45571,43.0,7.258840395013383,True
30,438.6813725490196,643.4803921568628,204.0,341.62254901960785,586.0,333.0,69691,43.0,7.9447104422979855,True
31,205.77272727272728,729.9805194805194,154.0,312.487012987013,429.0,311.5,48123,43.0,7.267139836890378,True
32,1375.3095238095239,669.7380952380952,42.0,366.9047619047619,493.0,372.0,15410,43.0,8.532668881486247,True
