label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,566.9322033898305,598.9491525423729,59.0,688.6101694915254,911.0,693.0,40628,171.0,4.0269600555036416,True
2,847.6486486486486,720.4594594594595,37.0,747.6216216216217,1077.0,720.0,27662,171.0,4.372056266790553,True
3,948.4722222222222,604.4444444444445,36.0,1065.0555555555557,1419.0,1086.0,38342,171.0,6.228395061724754,True
4,548.3,592.225,40.0,801.725,991.0,829.5,32069,171.0,4.688450292394919,True
5,583.1111111111111,569.4222222222222,45.0,847.1555555555556,1073.0,858.0,38122,171.0,4.954126055877545,True
6,531.829268292683,621.6585365853658,41.0,1128.7560975609756,1540.0,1137.0,46279,171.0,6.600912851229916,True
7,445.42424242424244,584.4848484848485,33.0,446.3030303030303,540.0,448.0,14728,171.0,2.609959241536663,True
8,394.0975609756098,831.9268292682926,41.0,721.829268292683,921.0,711.0,29595,171.0,4.221223791182812,True
9,909.9130434782609,621.9130434782609,46.0,698.0652173913044,1005.0,737.5,32111,171.0,4.082252733280095,True
10,928.2037037037037,587.574074074074,54.0,771.6851851851852,1238.0,788.5,41671,171.0,4.512778860729439,True
11,593.7647058823529,584.4117647058823,34.0,689.7058823529412,1017.0,716.0,23450,171.0,4.033367733055777,True
12,621.8095238095239,573.0952380952381,42.0,720.1904761904761,1003.0,715.0,30248,171.0,4.211640211637749,True
13,914.3157894736842,599.7631578947369,38.0,1070.421052631579,1445.0,1037.0,40676,171.0,6.259772237607913,True
14,933.6888888888889,639.0222222222222,45.0,737.8,1037.0,733.0,33201,171.0,4.314619883038413,True
15,877.4242424242424,596.3333333333334,33.0,418.3636363636364,696.0,415.0,13806,171.0,2.4465709728853318,True
16,1003.5625,798.21875,32.0,382.25,576.0,392.5,12232,171.0,2.2353801169577574,True
17,887.5454545454545,905.6590909090909,44.0,412.97727272727275,531.0,425.5,18171,171.0,2.4150717703335163,True
18,602.71875,683.53125,32.0,1002.25,1491.0,979.0,32072,171.0,5.861111111107684,True
