label,centroid_y,centroid_x,area,mean_intensity,max_intensity,median_intensity,integrated_intensity,background,fold_change,is_positive
1,433.78918322295806,437.0905077262693,906.0,144.64459161147903,458.0,139.0,131048,26.0,5.5632535234970275,True
2,1150.3385214007783,532.7918287937744,514.0,146.11284046692606,343.0,141.0,75102,26.0,5.619724633321696,True
3,1105.414686825054,523.8142548596112,463.0,138.85097192224623,377.0,133.0,64288,26.0,5.340421996988931,True
4,1144.7733333333333,329.928,375.0,166.408,318.0,162.0,62403,26.0,6.400307692283076,True
5,1108.8265486725663,491.53274336283187,565.0,164.32743362831857,345.0,158.0,92845,26.0,6.320285908757175,True
6,584.2978515625,698.63671875,1024.0,184.4541015625,348.0,180.0,188881,26.0,7.09438852160733,True
7,349.55233853006683,536.977728285078,449.0,152.84855233853006,346.0,146.0,68629,26.0,5.878790474536238,True
8,896.4733044733044,693.2106782106782,1386.0,184.46464646464648,974.0,176.0,255668,26.0,7.094794094766808,True
9,1117.7065217391305,511.5217391304348,92.0,157.52173913043478,286.0,149.5,14492,26.0,6.0585284280703435,True
10,445.931592039801,443.90796019900495,804.0,136.96268656716418,261.0,134.0,110118,26.0,5.267795637178362,True
11,412.208211143695,504.2991202346041,341.0,126.92375366568915,234.0,123.0,43281,26.0,4.881682833276961,True
12,1163.2958579881656,673.9970414201183,338.0,203.60355029585799,428.0,197.0,68818,26.0,7.830905780579804,True
13,265.9030303030303,633.0545454545454,165.0,195.07272727272726,336.0,189.0,32187,26.0,7.502797202768346,True
14,415.1748633879781,491.90710382513663,183.0,141.1693989071038,287.0,135.0,25834,26.0,5.429592265636956,True
15,432.3262260127932,647.3240938166311,469.0,200.26652452025587,335.0,197.0,93925,26.0,7.702558635364832,True
16,231.58227848101265,531.2151898734177,79.0,164.37974683544303,323.0,162.0,12986,26.0,6.322297955185031,True
17,403.46564885496184,495.68702290076334,131.0,144.00763358778627,280.0,135.0,18865,26.0,5.538755137970477,True
18,1121.1168831168832,539.4415584415584,77.0,146.28571428571428,264.0,143.0,11264,26.0,5.626373626351986,True
19,1090.511879049676,512.658747300216,463.0,140.73218142548595,230.0,140.0,65159,26.0,5.412776208651718,True
20,1064.9396984924624,498.78391959798995,199.0,161.98492462311557,297.0,156.0,32235,26.0,6.230189408557407,True
