region_acronym,region_name,cell_count,left_count,right_count
GRN,Gigantocellular reticular nucleus,2295,957,1338
OT,Olfactory tubercle,1936,1255,681
PRNr,Pontine reticular nucleus,1687,743,944
RN,Red nucleus,1658,758,900
MARN,Magnocellular reticular nucleus,1444,644,800
MY,Medulla,1335,749,586
MOs1,"Secondary motor area, layer 1",1253,1247,6
PIR,Piriform area,1117,454,663
PAA,Piriform-amygdalar area,1022,261,761
fi,fimbria,1018,199,819
MRN,Midbrain reticular nucleus,920,426,494
MOp1,"Primary motor area, Layer 1",877,876,1
PGRNl,"Paragigantocellular reticular nucleus, lateral part",790,402,388
PAG,Periaqueductal gray,751,474,277
P,Pons,686,332,354
PRNc,"Pontine reticular nucleus, caudal part",646,287,359
COApl,"Cortical amygdalar area, posterior part, lateral zone",630,481,149
OLF,Olfactory areas,623,214,409
MB,Midbrain,620,309,311
MOp6a,"Primary motor area, Layer 6a",606,65,541
PPN,Pedunculopontine nucleus,558,291,267
VL,lateral ventricle,526,185,341
SSp-ll5,"Primary somatosensory area, lower limb, layer 5",448,84,364
MOp5,"Primary motor area, Layer 5",438,246,192
MDRNd,"Medullary reticular nucleus, dorsal part",420,262,158
HY,Hypothalamus,402,238,164
LHA,Lateral hypothalamic area,377,235,142
COAa,"Cortical amygdalar area, anterior part",372,92,280
RM,Nucleus raphe magnus,350,168,182
IRN,Intermediate reticular nucleus,346,152,194
chpl,choroid plexus,317,98,219
tspc,crossed tectospinal pathway,312,143,169
SSp-m1,"Primary somatosensory area, mouth, layer 1",299,299,0
CP,Caudoputamen,297,197,100
MDRNv,"Medullary reticular nucleus, ventral part",296,161,135
lot,"lateral olfactory tract, body",272,93,179
LDT,Laterodorsal tegmental nucleus,216,140,76
SSs1,"Supplemental somatosensory area, layer 1",198,198,0
AHN,Anterior hypothalamic nucleus,186,123,63
SSp-ul5,"Primary somatosensory area, upper limb, layer 5",185,21,164
PCG,Pontine central gray,170,102,68
EW,Edinger-Westphal nucleus,168,88,80
LSr,"Lateral septal nucleus, rostral (rostroventral) part",165,65,100
