elife_group,elife_id,key_recovery,elife_ref_mean,elife_ref_std,elife_ref_n,349_total,349_left,349_right,349_LR_ratio,357_total,357_left,357_right,357_LR_ratio,367_total,367_left,367_right,367_LR_ratio,mean_total,mean_left,mean_right,mean_LR_ratio,pct_vs_elife,LR_ttest_t,LR_ttest_p,LR_sig,LR_direction,LR_cohens_d,LR_effect
Solitariospinal Area,1,,500,301,4,662,226,436,0.518,1586,865,721,1.2,1829,950,879,1.081,1359.0,680.3,678.7,1.002,+171.8%,0.015,0.9891,ns,L>R,0.009,negligible
Medullary Reticular Nuclei,2,,1069,795,4,854,451,403,1.119,716,423,293,1.444,1374,600,774,0.775,981.3,491.3,490.0,1.003,-8.2%,0.015,0.9896,ns,L>R,0.008,negligible
Magnocellular Reticular Nucleus,3,,272,128,4,1018,390,628,0.621,1444,644,800,0.805,180,66,114,0.579,880.7,366.7,514.0,0.713,+223.8%,-2.678,0.1157,ns,R>L,-1.546,large
Gigantocellular Reticular Nucleus,4,YES,5015,2688,4,3721,1787,1934,0.924,2295,957,1338,0.715,2610,1052,1558,0.675,2875.3,1265.3,1610.0,0.786,-42.7%,-3.276,0.0819,.,R>L,-1.891,large
Lateral Reticular Nuclei,5,,1928,1259,4,773,277,496,0.558,1327,697,630,1.106,1258,476,782,0.609,1119.3,483.3,636.0,0.76,-41.9%,-1.355,0.3082,ns,R>L,-0.782,medium
Dorsal Reticular Nucleus,6,,137,77,4,41,25,16,1.562,19,4,15,0.267,5,1,4,0.25,21.7,10.0,11.7,0.857,-84.2%,-0.287,0.8013,ns,R>L,-0.166,negligible
Raphe Nuclei,7,,145,55,4,158,62,96,0.646,471,235,236,0.996,305,122,183,0.667,311.3,139.7,171.7,0.814,+114.7%,-1.844,0.2064,ns,R>L,-1.065,large
Perihypoglossal Area,8,,235,208,4,118,62,56,1.107,30,16,14,1.143,434,218,216,1.009,194.0,98.7,95.3,1.035,-17.4%,2.5,0.1296,ns,L>R,1.443,large
Medullary Trigeminal Area,9,,180,198,4,158,32,126,0.254,161,154,7,22.0,156,42,114,0.368,158.3,76.0,82.3,0.923,-12.0%,-0.082,0.9419,ns,R>L,-0.048,negligible
Vestibular Nuclei,10,,838,516,4,247,139,108,1.287,125,73,52,1.404,62,26,36,0.722,144.7,79.3,65.3,1.214,-82.7%,1.134,0.3743,ns,L>R,0.655,medium
Pontine Reticular Nuclei,11,,1377,509,4,2304,1129,1175,0.961,2333,1030,1303,0.79,2072,1042,1030,1.012,2236.3,1067.0,1169.3,0.912,+62.4%,-1.177,0.3604,ns,R>L,-0.679,medium
