structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.005,0.007,0.012
"Primary somatosensory area, mouth, layer 6b",0.005,0.008,0.013000000000000001
internal capsule,0.112,0.108,0.22
Principal sensory nucleus of the trigeminal,0.055,0.053,0.108
"Primary somatosensory area, trunk, layer 6a",0.016,0.013000000000000001,0.029
"Superior colliculus, motor related, intermediate gray layer",0.111,0.114,0.225
Interfascicular nucleus raphe,0.004,0.005,0.009000000000000001
Parataenial nucleus,0.016,0.011,0.027
"Superior colliculus, motor related, intermediate white layer",0.106,0.114,0.22
Induseum griseum,0.006,0.012,0.018000000000000002
"Entorhinal area, lateral part, layer 2",0.08600000000000001,0.077,0.163
Anterior amygdalar area,0.026000000000000002,0.03,0.056
"Superior colliculus, motor related, deep gray layer",0.058,0.062,0.12
Intergeniculate leaflet of the lateral geniculate complex,0.002,0.005,0.007
"Entorhinal area, lateral part, layer 6a",0.057,0.054,0.111
"Primary visual area, layer 6a",0.054,0.055,0.109
Oculomotor nucleus,0.002,0.004,0.006
"Gustatory areas, layer 1",0.009000000000000001,0.01,0.019000000000000003
Paraventricular hypothalamic nucleus,0.011,0.01,0.020999999999999998
"posteromedial visual area, layer 2/3",0.015,0.013000000000000001,0.028
"Superior colliculus, motor related, deep white layer",0.019,0.02,0.039
Precommissural nucleus,0.009000000000000001,0.012,0.021
"Entorhinal area, lateral part, layer 3",0.075,0.069,0.14400000000000002
medial forebrain bundle,0.004,0.002,0.006
Nucleus accumbens,0.23700000000000002,0.23700000000000002,0.47400000000000003
Medial terminal nucleus of the accessory optic tract,0.004,0.003,0.007
Intermediodorsal nucleus of the thalamus,0.008,0.011,0.019
medial longitudinal fascicle,0.002,0.003,0.005
"Paraventricular hypothalamic nucleus, descending division",0.008,0.006,0.014
Anterodorsal nucleus,0.008,0.011,0.019
Lateral terminal nucleus of the accessory optic tract,0.003,0.002,0.005
Interstitial nucleus of Cajal,0.004,0.005,0.009000000000000001
"Frontal pole, layer 1",0.014,0.012,0.026000000000000002
Anterodorsal preoptic nucleus,0.006,0.005,0.011
"Lateral visual area, layer 6a",0.013000000000000001,0.011,0.024
middle cerebellar peduncle,0.049,0.064,0.113
lateral ventricle,0.098,0.111,0.20900000000000002
Inferior olivary complex,0.023,0.019,0.041999999999999996
"Prelimbic area, layer 6a",0.017,0.028,0.045
Anterior hypothalamic nucleus,0.032,0.037,0.069
Interposed nucleus,0.043000000000000003,0.041,0.084
motor root of the trigeminal nerve,0.004,0.003,0.007
Dorsal cochlear nucleus,0.034,0.031,0.065
"Temporal association areas, layer 1",0.024,0.028,0.052000000000000005
subependymal zone,0.007,0.01,0.017
Ventral cochlear nucleus,0.047,0.051000000000000004,0.098
nigrostriatal tract,0.005,0.009000000000000001,0.014000000000000002
"Superior olivary complex, medial part",0.008,0.01,0.018000000000000002
choroid plexus,0.074,0.092,0.16599999999999998
"Primary somatosensory area, lower limb, layer 2/3",0.031,0.033,0.064
"Superior olivary complex, lateral part",0.018000000000000002,0.017,0.035
optic chiasm,0.007,0.024,0.031
"Periventricular hypothalamic nucleus, intermediate part",0.005,0.023,0.028
"Agranular insular area, posterior part, layer 1",0.017,0.023,0.04
"Lateral visual area, layer 6b",0.001,0.001,0.002
"Superior olivary complex, periolivary region",0.026000000000000002,0.014,0.04
Koelliker-Fuse subnucleus,0.011,0.007,0.018
optic tract,0.034,0.035,0.069
"Periventricular hypothalamic nucleus, posterior part",0.005,0.006,0.011
Midbrain reticular nucleus,0.26,0.267,0.527
third ventricle,0.037,0.048,0.08499999999999999
Lateral amygdalar nucleus,0.043000000000000003,0.041,0.084
"Prelimbic area, layer 6b",0.003,0.001,0.004
"Periventricular hypothalamic nucleus, preoptic part",0.002,0.013000000000000001,0.015000000000000001
Intermediate reticular nucleus,0.14300000000000002,0.149,0.29200000000000004
"Entorhinal area, lateral part, layer 5",0.075,0.07,0.14500000000000002
cerebral aqueduct,0.009000000000000001,0.027,0.036000000000000004
fourth ventricle,0.024,0.03,0.054
Pontine reticular nucleus,0.122,0.12,0.242
"Gustatory areas, layer 4",0.005,0.009000000000000001,0.014000000000000002
Paraventricular nucleus of the thalamus,0.028,0.028,0.056
lateral recess,0.024,0.025,0.049
Lateral dorsal nucleus of thalamus,0.048,0.049,0.097
"Dorsal auditory area, layer 6a",0.01,0.008,0.018000000000000002
posterior commissure,0.002,0.003,0.005
Anterior olfactory nucleus,0.25,0.259,0.509
Laterodorsal tegmental nucleus,0.014,0.009000000000000001,0.023
"Agranular insular area, posterior part, layer 2/3",0.042,0.047,0.089
Nucleus prepositus,0.008,0.012,0.02
"Prelimbic area, layer 1",0.008,0.036000000000000004,0.044000000000000004
Retrochiasmatic area,0.007,0.006,0.013000000000000001
Ventral part of the lateral geniculate complex,0.025,0.023,0.048
"Gustatory areas, layer 2/3",0.019,0.021,0.04
Nucleus of reuniens,0.028,0.025,0.053000000000000005
Lateral habenula,0.017,0.02,0.037000000000000005
"Gustatory areas, layer 5",0.026000000000000002,0.03,0.056
"Accessory olfactory bulb, glomerular layer",0.009000000000000001,0.006,0.015000000000000001
Rhomboid nucleus,0.004,0.004,0.008
pyramid,0.032,0.03,0.062
Lateral hypothalamic area,0.112,0.11800000000000001,0.23
"Accessory olfactory bulb, granular layer",0.012,0.013000000000000001,0.025
Rostral linear nucleus raphe,0.002,0.003,0.005
"Primary somatosensory area, barrel field, layer 2/3",0.076,0.082,0.158
Medial vestibular nucleus,0.096,0.10300000000000001,0.199
Linear nucleus of the medulla,0.001,0.003,0.004
"Accessory olfactory bulb, mitral layer",0.014,0.015,0.028999999999999998
Lateral vestibular nucleus,0.013000000000000001,0.01,0.023
Lateral mammillary nucleus,0.004,0.006,0.01
"Anterior cingulate area, dorsal part, layer 2/3",0.017,0.011,0.028
Red nucleus,0.041,0.039,0.08
Anterior pretectal nucleus,0.067,0.059000000000000004,0.126
Superior vestibular nucleus,0.016,0.018000000000000002,0.034
Lateral posterior nucleus of the thalamus,0.064,0.063,0.127
Arcuate hypothalamic nucleus,0.015,0.017,0.032
Spinal vestibular nucleus,0.041,0.04,0.081
Lateral preoptic area,0.026000000000000002,0.028,0.054000000000000006
sensory root of the trigeminal nerve,0.034,0.034,0.068
Anterior tegmental nucleus,0.001,0.001,0.002
"Anterolateral visual area, layer 5",0.011,0.009000000000000001,0.02
"Temporal association areas, layer 4",0.016,0.02,0.036000000000000004
solitary tract,0.002,0.0,0.002
Nucleus raphe pontis,0.001,0.003,0.004
"Dorsal auditory area, layer 6b",0.001,0.0,0.001
"Midbrain reticular nucleus, retrorubral area",0.004,0.007,0.011
"Posterior auditory area, layer 6a",0.005,0.006,0.011
"Lateral septal nucleus, caudal (caudodorsal) part",0.029,0.031,0.06
