structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.008988,0.008704,0.017692
"Primary somatosensory area, mouth, layer 6b",0.008865,0.007545,0.01641
internal capsule,0.194132,0.18492699999999998,0.379059
Principal sensory nucleus of the trigeminal,0.076614,0.076892,0.153506
"Primary somatosensory area, trunk, layer 6a",0.015919,0.011708999999999999,0.027628
"Superior colliculus, motor related, intermediate gray layer",0.162406,0.148541,0.310947
Interfascicular nucleus raphe,0.006606,0.007342,0.013947999999999999
Parataenial nucleus,0.016669,0.016658,0.033326999999999996
"Superior colliculus, motor related, intermediate white layer",0.179634,0.16542199999999999,0.345056
Induseum griseum,0.008385,0.009285999999999999,0.017671
"Entorhinal area, lateral part, layer 2",0.125987,0.11560899999999999,0.24159599999999998
Anterior amygdalar area,0.030704,0.035338999999999995,0.06604299999999999
"Superior colliculus, motor related, deep gray layer",0.108277,0.10240199999999999,0.210679
Intergeniculate leaflet of the lateral geniculate complex,0.005984,0.005588,0.011571999999999999
"Entorhinal area, lateral part, layer 6a",0.078306,0.073354,0.15166000000000002
"Periventricular hypothalamic nucleus, anterior part",0.004017,0.004173,0.00819
"Primary visual area, layer 6a",0.063932,0.0593,0.12323200000000001
Oculomotor nucleus,0.002979,0.00294,0.005919
"Gustatory areas, layer 1",0.019873,0.01698,0.036853
Paraventricular hypothalamic nucleus,0.014428,0.01473,0.029158
"posteromedial visual area, layer 2/3",0.021242,0.015366,0.036608
"Superior colliculus, motor related, deep white layer",0.030535,0.029688,0.060223
Precommissural nucleus,0.014351,0.013958,0.028309
"Entorhinal area, lateral part, layer 3",0.102058,0.09386,0.19591799999999998
medial forebrain bundle,0.003932,0.003971,0.007903
Nucleus accumbens,0.318167,0.322685,0.640852
Medial terminal nucleus of the accessory optic tract,0.003185,0.0032979999999999997,0.006482999999999999
Intermediodorsal nucleus of the thalamus,0.014587999999999999,0.016739999999999998,0.031327999999999995
medial longitudinal fascicle,0.016944999999999998,0.017017,0.033962
"Paraventricular hypothalamic nucleus, descending division",0.011236999999999999,0.0117,0.022937
Anterodorsal nucleus,0.014336999999999999,0.012052,0.026389
Lateral terminal nucleus of the accessory optic tract,0.0014629999999999999,0.001459,0.002922
Interstitial nucleus of Cajal,0.007035,0.006991,0.014026
"Frontal pole, layer 1",0.01687,0.014685,0.031555
Anterodorsal preoptic nucleus,0.006488,0.006691,0.013179
"Lateral visual area, layer 6a",0.012487,0.012305,0.024792
Dorsal terminal nucleus of the accessory optic tract,0.0008669999999999999,0.0008259999999999999,0.0016929999999999998
middle cerebellar peduncle,0.074376,0.076961,0.151337
lateral ventricle,0.17305099999999998,0.147772,0.32082299999999997
Inferior olivary complex,0.058192,0.061683999999999996,0.119876
"Prelimbic area, layer 6a",0.032008,0.026948999999999997,0.058956999999999996
Anterior hypothalamic nucleus,0.058947,0.063459,0.122406
Interposed nucleus,0.051580999999999995,0.054334999999999994,0.10591599999999998
motor root of the trigeminal nerve,0.003898,0.004006,0.007904
Dorsal cochlear nucleus,0.033649,0.035476,0.06912499999999999
"Temporal association areas, layer 1",0.040050999999999996,0.036437,0.076488
subependymal zone,0.011183,0.009205,0.020388
Interpeduncular nucleus,0.000833,0.000958,0.001791
Ventral cochlear nucleus,0.052711,0.053404,0.106115
nigrostriatal tract,0.009075999999999999,0.010005,0.019081
"Superior olivary complex, medial part",0.016076999999999998,0.015663,0.03174
Inferior salivatory nucleus,0.000601,0.000623,0.0012239999999999998
choroid plexus,0.11005,0.109001,0.219051
"Primary somatosensory area, lower limb, layer 2/3",0.050808,0.03933,0.090138
"Superior olivary complex, lateral part",0.027245,0.026421999999999998,0.05366699999999999
Trochlear nucleus,0.000714,0.000681,0.001395
optic chiasm,0.025238,0.026938999999999998,0.052177
"Periventricular hypothalamic nucleus, intermediate part",0.019205,0.019559,0.038764
"Agranular insular area, posterior part, layer 1",0.039181,0.032965,0.072146
"Lateral visual area, layer 6b",0.002301,0.0022429999999999998,0.004543999999999999
"Superior olivary complex, periolivary region",0.029356999999999998,0.027592,0.056949
Koelliker-Fuse subnucleus,0.012974,0.013394999999999999,0.026368999999999997
optic tract,0.05032,0.05753,0.10785
"Periventricular hypothalamic nucleus, posterior part",0.011635,0.011668999999999999,0.023304
Midbrain reticular nucleus,0.475477,0.455484,0.9309609999999999
third ventricle,0.060882,0.07554999999999999,0.136432
Lateral amygdalar nucleus,0.062383999999999995,0.060385999999999995,0.12276999999999999
"Prelimbic area, layer 6b",0.0017059999999999998,0.001395,0.0031009999999999996
"Periventricular hypothalamic nucleus, preoptic part",0.010664,0.01167,0.022334
Intermediate reticular nucleus,0.294748,0.31515699999999996,0.6099049999999999
"Entorhinal area, lateral part, layer 5",0.10918699999999999,0.10097199999999999,0.21015899999999998
cerebral aqueduct,0.039276,0.044433,0.083709
"Nucleus ambiguus, ventral division",0.002172,0.002704,0.004876
fourth ventricle,0.050552,0.055167,0.10571900000000001
Pontine reticular nucleus,0.206949,0.205928,0.412877
Locus ceruleus,0.001359,0.001371,0.00273
"Gustatory areas, layer 4",0.013725,0.011366,0.025091
Paraventricular nucleus of the thalamus,0.033007,0.035611,0.068618
lateral recess,0.026336,0.027781,0.054117
Lateral dorsal nucleus of thalamus,0.10196799999999999,0.07968,0.18164799999999998
"Dorsal auditory area, layer 6a",0.012105999999999999,0.012197999999999999,0.024304
posterior commissure,0.0043419999999999995,0.004559,0.008901
Anterior olfactory nucleus,0.359303,0.39964299999999997,0.7589459999999999
Laterodorsal tegmental nucleus,0.021049,0.021245,0.042294
"Agranular insular area, posterior part, layer 2/3",0.073252,0.059844999999999995,0.133097
"central canal, spinal cord/medulla",7e-06,6.7e-05,7.4e-05
Nucleus prepositus,0.02794,0.028582,0.056522
"Prelimbic area, layer 1",0.028222999999999998,0.030279999999999998,0.058503
Retrochiasmatic area,0.012527,0.013597,0.026124
Nucleus of Roller,0.0029779999999999997,0.002987,0.005965
Ventral part of the lateral geniculate complex,0.036649999999999995,0.033478,0.070128
