structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.0015937500000000001,0.0015625,0.00315625
"Primary somatosensory area, mouth, layer 6b",0.0016250000000000001,0.001796875,0.0034218750000000004
internal capsule,0.030640625,0.030015625,0.06065625
Principal sensory nucleus of the trigeminal,0.016375,0.015875,0.03225
"Primary somatosensory area, trunk, layer 6a",0.003421875,0.003328125,0.00675
"Superior colliculus, motor related, intermediate gray layer",0.029859375,0.029734375,0.05959375
Interfascicular nucleus raphe,0.00115625,0.001375,0.0025312499999999996
Parataenial nucleus,0.003265625,0.003359375,0.006625
"Superior colliculus, motor related, intermediate white layer",0.03034375,0.03046875,0.0608125
Induseum griseum,0.0016250000000000001,0.001953125,0.003578125
"Entorhinal area, lateral part, layer 2",0.023828125000000002,0.023234375,0.04706250000000001
Anterior amygdalar area,0.00728125,0.007265625,0.014546875
"Superior colliculus, motor related, deep gray layer",0.017140625,0.017609375,0.03475
Intergeniculate leaflet of the lateral geniculate complex,0.0009375,0.00090625,0.00184375
"Entorhinal area, lateral part, layer 6a",0.01534375,0.015703125000000002,0.031046875
"Periventricular hypothalamic nucleus, anterior part",0.0007968750000000001,0.0006718750000000001,0.00146875
"Primary visual area, layer 6a",0.0159375,0.015703125000000002,0.031640625000000006
Oculomotor nucleus,0.000484375,0.00040625000000000004,0.000890625
"Gustatory areas, layer 1",0.00278125,0.00278125,0.0055625
Paraventricular hypothalamic nucleus,0.002546875,0.002796875,0.0053437499999999995
"posteromedial visual area, layer 2/3",0.0044062500000000004,0.0043125,0.00871875
"Superior colliculus, motor related, deep white layer",0.004703125,0.004859375,0.0095625
Precommissural nucleus,0.002546875,0.002328125,0.004875
"Entorhinal area, lateral part, layer 3",0.019375,0.019390625,0.038765625
medial forebrain bundle,0.0006875,0.000734375,0.001421875
Nucleus accumbens,0.06409375,0.06393750000000001,0.12803125
Medial terminal nucleus of the accessory optic tract,0.000625,0.000640625,0.001265625
Intermediodorsal nucleus of the thalamus,0.002078125,0.003046875,0.005125
medial longitudinal fascicle,0.001421875,0.00215625,0.003578125
"Paraventricular hypothalamic nucleus, descending division",0.001765625,0.001796875,0.0035625
Anterodorsal nucleus,0.002390625,0.002296875,0.0046875
Lateral terminal nucleus of the accessory optic tract,0.00025,0.00020312500000000002,0.000453125
Interstitial nucleus of Cajal,0.00109375,0.00115625,0.0022500000000000003
"Frontal pole, layer 1",0.00378125,0.003875,0.00765625
Anterodorsal preoptic nucleus,0.0015625,0.001453125,0.003015625
"Lateral visual area, layer 6a",0.00296875,0.0030625,0.00603125
Dorsal terminal nucleus of the accessory optic tract,0.00014062500000000002,0.00020312500000000002,0.00034375000000000003
middle cerebellar peduncle,0.016234375,0.016015625,0.03225
lateral ventricle,0.030625,0.0306875,0.0613125
Inferior olivary complex,0.00765625,0.007703125,0.015359375
"Prelimbic area, layer 6a",0.006828125,0.006625,0.013453125
Anterior hypothalamic nucleus,0.0104375,0.010234375,0.020671875
Interposed nucleus,0.012796875000000001,0.012515625,0.0253125
motor root of the trigeminal nerve,0.000765625,0.0008125000000000001,0.001578125
Dorsal cochlear nucleus,0.00909375,0.00925,0.01834375
"Temporal association areas, layer 1",0.008203125,0.007703125,0.01590625
subependymal zone,0.001921875,0.001828125,0.00375
Interpeduncular nucleus,0.00015625,0.00015625,0.0003125
Ventral cochlear nucleus,0.014875000000000001,0.014953125000000001,0.029828125000000004
nigrostriatal tract,0.0016093750000000001,0.0015937500000000001,0.0032031250000000002
"Superior olivary complex, medial part",0.0029375,0.0029375,0.005875
Inferior salivatory nucleus,0.000109375,0.000109375,0.00021875
choroid plexus,0.02103125,0.021234375,0.042265625
"Primary somatosensory area, lower limb, layer 2/3",0.00984375,0.00940625,0.01925
"Superior olivary complex, lateral part",0.005,0.0049375,0.0099375
Trochlear nucleus,0.000125,0.00014062500000000002,0.000265625
optic chiasm,0.004609375,0.00425,0.008859375
"Periventricular hypothalamic nucleus, intermediate part",0.00278125,0.002921875,0.005703125
"Agranular insular area, posterior part, layer 1",0.006296875,0.00609375,0.012390625
"Lateral visual area, layer 6b",0.000515625,0.000578125,0.00109375
"Superior olivary complex, periolivary region",0.0053125,0.005125,0.0104375
Koelliker-Fuse subnucleus,0.002484375,0.0024375,0.004921875
optic tract,0.010359375,0.01034375,0.020703125000000003
"Periventricular hypothalamic nucleus, posterior part",0.0016875,0.001953125,0.0036406249999999998
Midbrain reticular nucleus,0.074828125,0.07453125000000001,0.14935937500000002
third ventricle,0.0095625,0.016890625,0.026453125
Lateral amygdalar nucleus,0.01265625,0.012125,0.02478125
"Prelimbic area, layer 6b",0.0003125,0.00034375,0.0006562499999999999
