structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.0053906250000000005,0.005609375,0.011
"Primary somatosensory area, mouth, layer 6b",0.00584375,0.005890625,0.011734375
internal capsule,0.108125,0.10559375,0.21371875
Principal sensory nucleus of the trigeminal,0.05715625,0.055968750000000005,0.113125
"Primary somatosensory area, trunk, layer 6a",0.01175,0.0115625,0.0233125
"Superior colliculus, motor related, intermediate gray layer",0.103328125,0.10303125,0.206359375
Interfascicular nucleus raphe,0.004078125,0.00478125,0.008859375
Parataenial nucleus,0.0114375,0.0114375,0.022875
"Superior colliculus, motor related, intermediate white layer",0.106625,0.105796875,0.21242187499999998
Induseum griseum,0.005328125,0.00684375,0.012171875
"Entorhinal area, lateral part, layer 2",0.082640625,0.082203125,0.16484375
Anterior amygdalar area,0.025125,0.024640625,0.049765625
"Superior colliculus, motor related, deep gray layer",0.060359375,0.06103125,0.121390625
Intergeniculate leaflet of the lateral geniculate complex,0.0033125,0.003546875,0.006859375
"Entorhinal area, lateral part, layer 6a",0.0539375,0.054109375,0.108046875
"Periventricular hypothalamic nucleus, anterior part",0.00265625,0.002046875,0.004703125000000001
"Primary visual area, layer 6a",0.055453125,0.0536875,0.10914062499999999
Oculomotor nucleus,0.001671875,0.001671875,0.00334375
"Gustatory areas, layer 1",0.00990625,0.0100625,0.01996875
Paraventricular hypothalamic nucleus,0.009234375,0.009421875,0.01865625
"posteromedial visual area, layer 2/3",0.014937500000000001,0.015265625,0.030203125
"Superior colliculus, motor related, deep white layer",0.017046875,0.016796875,0.03384375
Precommissural nucleus,0.008359375,0.00871875,0.017078125
"Entorhinal area, lateral part, layer 3",0.06765625,0.06796875000000001,0.135625
medial forebrain bundle,0.00253125,0.002609375,0.005140625
Nucleus accumbens,0.22315625,0.222515625,0.445671875
Medial terminal nucleus of the accessory optic tract,0.002109375,0.002171875,0.00428125
Intermediodorsal nucleus of the thalamus,0.0070625,0.0105,0.0175625
medial longitudinal fascicle,0.0074375000000000005,0.00778125,0.01521875
"Paraventricular hypothalamic nucleus, descending division",0.00678125,0.006953125,0.013734375
Anterodorsal nucleus,0.008078125,0.00815625,0.016234375000000002
Lateral terminal nucleus of the accessory optic tract,0.000875,0.00084375,0.00171875
Interstitial nucleus of Cajal,0.004078125,0.0040625,0.008140625
"Frontal pole, layer 1",0.012296875,0.012265625,0.0245625
Anterodorsal preoptic nucleus,0.004953125,0.004890625,0.00984375
"Lateral visual area, layer 6a",0.01046875,0.010421875,0.020890625000000003
Dorsal terminal nucleus of the accessory optic tract,0.000640625,0.000578125,0.00121875
middle cerebellar peduncle,0.056109375,0.055625,0.111734375
lateral ventricle,0.1071875,0.106390625,0.213578125
Inferior olivary complex,0.02625,0.026390625,0.052640624999999996
"Prelimbic area, layer 6a",0.0235,0.023125,0.046625
Anterior hypothalamic nucleus,0.03615625,0.035734375,0.071890625
Interposed nucleus,0.04475,0.044453125,0.089203125
motor root of the trigeminal nerve,0.002953125,0.00309375,0.006046875
Dorsal cochlear nucleus,0.031515625,0.032046875,0.0635625
"Temporal association areas, layer 1",0.027453125000000002,0.027609375000000002,0.0550625
subependymal zone,0.007015625,0.006765625,0.01378125
Interpeduncular nucleus,0.000515625,0.000703125,0.00121875
Ventral cochlear nucleus,0.0525625,0.051421875,0.10398437499999999
nigrostriatal tract,0.00559375,0.005578125,0.011171875
"Superior olivary complex, medial part",0.0103125,0.009796875,0.020109375
Inferior salivatory nucleus,0.00034375,0.00046875,0.0008125
choroid plexus,0.072015625,0.074171875,0.1461875
"Primary somatosensory area, lower limb, layer 2/3",0.0329375,0.032578125,0.065515625
"Superior olivary complex, lateral part",0.017046875,0.017578125,0.034625
Trochlear nucleus,0.000359375,0.000328125,0.0006875
optic chiasm,0.015109375,0.0163125,0.031421875
"Periventricular hypothalamic nucleus, intermediate part",0.009921875,0.01040625,0.020328125000000002
"Agranular insular area, posterior part, layer 1",0.021234375,0.0214375,0.042671875
"Lateral visual area, layer 6b",0.001984375,0.002,0.003984375
"Superior olivary complex, periolivary region",0.01890625,0.01865625,0.0375625
Koelliker-Fuse subnucleus,0.0091875,0.00915625,0.01834375
optic tract,0.036171875,0.035875000000000004,0.07204687500000001
"Periventricular hypothalamic nucleus, posterior part",0.006328125,0.00671875,0.013046875
Midbrain reticular nucleus,0.264640625,0.261375,0.5260156250000001
third ventricle,0.033265625,0.0565,0.089765625
Lateral amygdalar nucleus,0.043062500000000004,0.04209375,0.08515625
"Prelimbic area, layer 6b",0.00103125,0.0010625,0.00209375
"Periventricular hypothalamic nucleus, preoptic part",0.006125,0.008,0.014125
Intermediate reticular nucleus,0.1441875,0.143375,0.2875625
"Entorhinal area, lateral part, layer 5",0.073609375,0.07334375,0.14695312500000002
cerebral aqueduct,0.018890625,0.022890625,0.041781250000000006
"Nucleus ambiguus, ventral division",0.001421875,0.0010625,0.002484375
fourth ventricle,0.024421875,0.0273125,0.051734375
Pontine reticular nucleus,0.122171875,0.121,0.24317187499999998
Locus ceruleus,0.00078125,0.000765625,0.001546875
"Gustatory areas, layer 4",0.0073906250000000005,0.0074375000000000005,0.014828125000000001
Paraventricular nucleus of the thalamus,0.0209375,0.023875,0.044812500000000005
lateral recess,0.0240625,0.023234375,0.047296875
Lateral dorsal nucleus of thalamus,0.051171875,0.050390625,0.1015625
"Dorsal auditory area, layer 6a",0.00959375,0.009453125,0.019046874999999998
posterior commissure,0.00259375,0.002453125,0.005046875
Anterior olfactory nucleus,0.243171875,0.24285937500000002,0.48603125
Laterodorsal tegmental nucleus,0.0105625,0.01040625,0.02096875
"Agranular insular area, posterior part, layer 2/3",0.041,0.04015625,0.08115625
Nucleus prepositus,0.0124375,0.012234375,0.024671875000000003
"Prelimbic area, layer 1",0.02259375,0.028046875,0.050640624999999995
Retrochiasmatic area,0.0073750000000000005,0.007625,0.015
Nucleus of Roller,0.0016093750000000001,0.0015,0.003109375
Ventral part of the lateral geniculate complex,0.0213125,0.020390625,0.041703125
"Gustatory areas, layer 2/3",0.02090625,0.020390625,0.041296875
Nucleus of reuniens,0.02090625,0.022,0.04290625
Lateral habenula,0.017453125,0.017296875,0.03475
"Gustatory areas, layer 5",0.028015625,0.0279375,0.055953125
"Accessory olfactory bulb, glomerular layer",0.0073750000000000005,0.0075625,0.0149375
Rhomboid nucleus,0.00434375,0.00459375,0.008937500000000001
pyramid,0.029078125,0.029390625,0.05846875
Lateral hypothalamic area,0.10525,0.10420312500000001,0.20945312500000002
"Accessory olfactory bulb, granular layer",0.010875000000000001,0.010843750000000001,0.021718750000000002
Rostral linear nucleus raphe,0.00215625,0.003484375,0.005640625
pyramidal decussation,0.003140625,0.004296875,0.0074375000000000005
"Primary somatosensory area, barrel field, layer 2/3",0.07798437500000001,0.0766875,0.15467187500000001
Medial vestibular nucleus,0.094125,0.0936875,0.1878125
Linear nucleus of the medulla,0.0032187500000000003,0.003328125,0.006546875000000001
"Accessory olfactory bulb, mitral layer",0.013625,0.01328125,0.02690625
Nucleus raphe magnus,0.0035,0.00921875,0.01271875
Area postrema,0.00209375,0.00334375,0.0054375
Lateral vestibular nucleus,0.014937500000000001,0.014687500000000001,0.029625000000000002
Lateral mammillary nucleus,0.004046875,0.004078125,0.008125
"Anterior cingulate area, dorsal part, layer 2/3",0.030703125,0.0306875,0.061390625000000004
Red nucleus,0.04025,0.039843750000000004,0.08009375
Anterior pretectal nucleus,0.0649375,0.063703125,0.128640625
Superior vestibular nucleus,0.018046875,0.01834375,0.036390624999999996
Lateral posterior nucleus of the thalamus,0.060921875,0.059828125,0.12075
Nucleus raphe obscurus,0.00075,0.003359375,0.004109375
Arcuate hypothalamic nucleus,0.014640625,0.015046875,0.0296875
Spinal vestibular nucleus,0.038984375,0.03859375,0.077578125
Lateral preoptic area,0.02796875,0.027734375000000002,0.055703125000000006
sensory root of the trigeminal nerve,0.036296875,0.035453125,0.07175000000000001
Nucleus raphe pallidus,0.0022343750000000002,0.005015625,0.00725
Anterior tegmental nucleus,0.0022500000000000003,0.0022187500000000002,0.0044687500000000005
"Anterolateral visual area, layer 5",0.0105625,0.010234375,0.020796875
"Temporal association areas, layer 4",0.015859375000000002,0.01546875,0.031328125
solitary tract,0.00046875,0.00046875,0.0009375
Nucleus raphe pontis,0.005,0.0054687500000000005,0.01046875
"Dorsal auditory area, layer 6b",0.0015,0.0015937500000000001,0.00309375
"Midbrain reticular nucleus, retrorubral area",0.00728125,0.007171875,0.014453125
"Posterior auditory area, layer 6a",0.004140625,0.003921875,0.0080625
"Lateral septal nucleus, caudal (caudodorsal) part",0.028296875,0.028078125,0.056374999999999995
"Primary auditory area, layer 2/3",0.024078125,0.0241875,0.048265625
"Dorsal auditory area, layer 5",0.01740625,0.01696875,0.034375
Anteroventral nucleus of thalamus,0.02109375,0.02103125,0.042125
"posteromedial visual area, layer 6a",0.007875,0.0073750000000000005,0.01525
"Lateral septal nucleus, rostral (rostroventral) part",0.094359375,0.09475,0.189109375
"Nucleus of the lateral olfactory tract, molecular layer",0.005796875,0.005640625,0.0114375
Reticular nucleus of the thalamus,0.073796875,0.072890625,0.1466875
Anteroventral preoptic nucleus,0.00465625,0.0046875,0.00934375
"Lateral septal nucleus, ventral part",0.030453125,0.03053125,0.060984375
"Nucleus of the lateral olfactory tract, pyramidal layer",0.007734375,0.00775,0.015484375
"Posterolateral visual area, layer 2/3",0.0105625,0.01053125,0.02109375
Nucleus sagulum,0.005296875,0.004984375,0.01028125
Anteroventral periventricular nucleus,0.009171875,0.009484375,0.01865625
"Retrosplenial area, dorsal part, layer 6a",0.038703125,0.037765625000000004,0.07646875
"Retrosplenial area, lateral agranular part, layer 6b",0.0018125,0.00165625,0.00346875
Barrington's nucleus,0.00090625,0.0008125000000000001,0.0017187500000000002
"Anteromedial visual area, layer 1",0.007078125,0.006796875,0.013875
Suprachiasmatic nucleus,0.00328125,0.003453125,0.006734375
Bed nucleus of the anterior commissure,0.000421875,0.000390625,0.0008125000000000001
"Orbital area, ventrolateral part, layer 2/3",0.026000000000000002,0.025828125,0.051828125
"Temporal association areas, layer 5",0.049453125,0.0483125,0.097765625
