coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
11,749,778,563,712,380,Striatum,right
8,877,224,651,718,901,Piriform-amygdalar area,left
7,867,226,643,719,899,Piriform-amygdalar area,left
9,882,219,656,717,906,Piriform-amygdalar area,left
16,941,237,710,721,888,"Cortical amygdalar area, posterior part, lateral zone",left
20,967,215,734,721,909,Piriform-amygdalar area,left
18,958,229,725,724,896,"Cortical amygdalar area, posterior part, lateral zone",left
17,950,218,717,720,907,Piriform-amygdalar area,left
32,900,658,690,716,492,Tuberal nucleus,right
41,858,753,658,674,411,root,right
42,863,754,663,674,409,root,right
34,893,554,681,720,578,Arcuate hypothalamic nucleus,left
36,854,752,654,683,410,root,right
38,858,753,658,681,410,root,right
38,896,551,685,715,580,Arcuate hypothalamic nucleus,left
44,872,756,670,671,408,root,right
44,744,402,554,666,724,Magnocellular nucleus,left
44,875,757,673,671,408,root,right
43,853,751,654,671,411,root,right
43,873,757,669,673,407,root,right
45,861,753,660,669,411,root,right
46,912,547,700,707,582,Arcuate hypothalamic nucleus,left
61,1072,1006,829,664,165,Postpiriform transition area,right
49,886,550,679,696,581,Arcuate hypothalamic nucleus,left
52,863,752,665,656,412,optic tract,right
52,892,758,686,660,407,root,right
53,856,751,658,655,412,optic tract,right
54,854,750,657,653,414,optic tract,right
54,862,752,663,654,412,optic tract,right
54,891,758,687,657,407,fiber tracts,right
54,914,195,689,645,935,Piriform area,left
55,908,193,683,641,940,Piriform area,left
55,911,193,687,642,940,Piriform area,left
57,859,751,662,647,413,optic tract,right
57,860,752,662,647,413,optic tract,right
57,910,193,686,636,940,Piriform area,left
56,861,752,662,649,413,optic tract,right
56,864,753,665,650,413,optic tract,right
59,583,337,416,636,786,Substantia innominata,left
59,877,755,675,646,410,optic tract,right
59,910,193,686,634,940,Piriform area,left
58,861,752,662,647,413,optic tract,right
58,908,193,684,636,940,Piriform area,left
58,956,552,739,699,578,Arcuate hypothalamic nucleus,left
60,582,337,415,634,786,Substantia innominata,left
62,847,550,649,673,582,Hypothalamus,left
62,958,552,742,694,578,Arcuate hypothalamic nucleus,left
64,846,550,648,669,582,Hypothalamus,left
64,957,552,740,690,578,Arcuate hypothalamic nucleus,left
81,1473,673,1178,731,500,Inferior olivary complex,right
151,1011,193,780,534,927,lateral ventricle,left
90,1426,557,1146,697,584,Inferior olivary complex,left
88,750,554,570,627,580,Hypothalamus,left
88,1459,502,1170,717,624,Inferior olivary complex,left
89,1417,579,1138,690,567,Nucleus raphe obscurus,right
91,1426,657,1146,693,514,Magnocellular reticular nucleus,right
93,1417,580,1139,686,567,Nucleus raphe obscurus,right
93,1445,568,1159,702,575,Nucleus raphe pallidus,left
92,708,560,532,619,575,"Periventricular hypothalamic nucleus, preoptic part",left
96,1418,617,1140,680,543,Magnocellular reticular nucleus,right
96,1445,568,1160,696,575,Inferior olivary complex,left
96,1458,667,1170,702,506,Medulla,right
99,1488,645,1191,714,522,Medulla,right
99,1431,551,1151,685,587,Medulla,left
99,1440,536,1157,690,598,Medulla,left
99,1445,602,1160,691,552,Medulla,right
99,1458,667,1170,698,507,Medulla,right
98,1462,579,1173,703,567,Nucleus raphe pallidus,right
98,1471,603,1179,708,550,Inferior olivary complex,right
101,1417,617,1139,673,543,Magnocellular reticular nucleus,right
100,1415,616,1139,673,543,Magnocellular reticular nucleus,right
100,1419,581,1142,676,567,Nucleus raphe obscurus,right
100,1437,623,1154,684,537,Magnocellular reticular nucleus,right
100,1418,617,1141,674,543,Magnocellular reticular nucleus,right
100,1441,558,1157,687,582,Inferior olivary complex,left
100,1456,537,1169,696,598,Inferior olivary complex,left
100,1488,619,1191,713,539,Medulla,right
100,1494,659,1195,715,511,Inferior olivary complex,right
100,1500,501,1200,717,625,Inferior olivary complex,left
106,1407,568,1134,661,576,Medulla,left
