structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.009394999999999999,0.008603999999999999,0.017998999999999998
"Primary somatosensory area, mouth, layer 6b",0.008574,0.007519,0.016093
internal capsule,0.194319,0.18084799999999998,0.375167
Principal sensory nucleus of the trigeminal,0.07335799999999999,0.082221,0.155579
"Primary somatosensory area, trunk, layer 6a",0.015269,0.011533,0.026802
"Superior colliculus, motor related, intermediate gray layer",0.160605,0.15293199999999998,0.31353699999999995
Interfascicular nucleus raphe,0.006965,0.007810999999999999,0.014776
Parataenial nucleus,0.016287,0.016618,0.032905000000000004
"Superior colliculus, motor related, intermediate white layer",0.17982599999999999,0.17074799999999998,0.35057399999999994
Induseum griseum,0.008324999999999999,0.009167999999999999,0.017492999999999998
"Entorhinal area, lateral part, layer 2",0.140452,0.128991,0.269443
Anterior amygdalar area,0.029096999999999998,0.034476,0.06357299999999999
"Superior colliculus, motor related, deep gray layer",0.110277,0.105639,0.215916
Intergeniculate leaflet of the lateral geniculate complex,0.005893,0.00511,0.011002999999999999
"Entorhinal area, lateral part, layer 6a",0.08359599999999999,0.07472999999999999,0.15832599999999997
"Periventricular hypothalamic nucleus, anterior part",0.0040739999999999995,0.0041329999999999995,0.008206999999999999
"Primary visual area, layer 6a",0.062467999999999996,0.060447999999999995,0.122916
Oculomotor nucleus,0.0030199999999999997,0.0030299999999999997,0.00605
"Gustatory areas, layer 1",0.021665999999999998,0.020225,0.041891
Paraventricular hypothalamic nucleus,0.014263,0.014655,0.028918
"posteromedial visual area, layer 2/3",0.019547,0.015719,0.035266
"Superior colliculus, motor related, deep white layer",0.031502999999999996,0.030721,0.062223999999999995
Precommissural nucleus,0.014303,0.014025,0.028328
"Entorhinal area, lateral part, layer 3",0.114078,0.10184499999999999,0.21592299999999998
medial forebrain bundle,0.00419,0.0042309999999999995,0.008421
Nucleus accumbens,0.331293,0.323295,0.654588
Medial terminal nucleus of the accessory optic tract,0.0032619999999999997,0.003512,0.006774
Intermediodorsal nucleus of the thalamus,0.015040999999999999,0.016958,0.031999
medial longitudinal fascicle,0.017658999999999998,0.017681,0.035339999999999996
"Paraventricular hypothalamic nucleus, descending division",0.011391,0.011933,0.023323999999999998
Anterodorsal nucleus,0.013477,0.011807999999999999,0.025285
Lateral terminal nucleus of the accessory optic tract,0.001429,0.001352,0.0027809999999999996
Interstitial nucleus of Cajal,0.007157999999999999,0.007175,0.014332999999999999
"Frontal pole, layer 1",0.017248,0.014554,0.031802
Anterodorsal preoptic nucleus,0.0062889999999999995,0.006639,0.012927999999999999
"Lateral visual area, layer 6a",0.012329,0.012336999999999999,0.024666
Dorsal terminal nucleus of the accessory optic tract,0.000847,0.000837,0.001684
middle cerebellar peduncle,0.071389,0.076997,0.148386
lateral ventricle,0.169713,0.141975,0.31168799999999997
Inferior olivary complex,0.05624,0.060254999999999996,0.11649499999999999
"Prelimbic area, layer 6a",0.030369,0.027521,0.05789
Anterior hypothalamic nucleus,0.058233,0.061113,0.11934600000000001
Interposed nucleus,0.050192,0.0503,0.100492
motor root of the trigeminal nerve,0.003761,0.004,0.0077610000000000005
Dorsal cochlear nucleus,0.030979,0.037015,0.067994
"Temporal association areas, layer 1",0.041851,0.039077,0.080928
subependymal zone,0.01061,0.008957999999999999,0.019568
Interpeduncular nucleus,0.000908,0.001018,0.001926
Ventral cochlear nucleus,0.04976,0.058484999999999995,0.108245
nigrostriatal tract,0.009403,0.01022,0.019623
"Superior olivary complex, medial part",0.014516999999999999,0.01431,0.028827
Inferior salivatory nucleus,0.000579,0.000636,0.001215
choroid plexus,0.108611,0.10625499999999999,0.214866
"Primary somatosensory area, lower limb, layer 2/3",0.04999,0.037597,0.087587
"Superior olivary complex, lateral part",0.024756,0.024367,0.049123
Trochlear nucleus,0.0007109999999999999,0.000714,0.001425
optic chiasm,0.02401,0.025227,0.049237
"Periventricular hypothalamic nucleus, intermediate part",0.019915,0.019823999999999998,0.039739
"Agranular insular area, posterior part, layer 1",0.047408,0.038549,0.085957
"Lateral visual area, layer 6b",0.0022619999999999997,0.002266,0.004527999999999999
"Superior olivary complex, periolivary region",0.026574,0.025339,0.051913
Koelliker-Fuse subnucleus,0.011873,0.013399999999999999,0.025272999999999997
optic tract,0.049955,0.054849999999999996,0.104805
"Periventricular hypothalamic nucleus, posterior part",0.012055,0.011798999999999999,0.023854
Midbrain reticular nucleus,0.46952499999999997,0.46250399999999997,0.932029
third ventricle,0.059111,0.074781,0.133892
Lateral amygdalar nucleus,0.068994,0.061214,0.130208
"Prelimbic area, layer 6b",0.001591,0.001354,0.0029449999999999997
"Periventricular hypothalamic nucleus, preoptic part",0.010473,0.011482,0.021955
Intermediate reticular nucleus,0.297438,0.307027,0.604465
"Entorhinal area, lateral part, layer 5",0.12103,0.10651,0.22754
cerebral aqueduct,0.040136,0.045122999999999996,0.085259
"Nucleus ambiguus, ventral division",0.002216,0.002542,0.004758
fourth ventricle,0.049559,0.051476,0.101035
Pontine reticular nucleus,0.208762,0.22114,0.429902
Locus ceruleus,0.0012289999999999998,0.0012209999999999999,0.00245
"Gustatory areas, layer 4",0.014939,0.012726999999999999,0.027665999999999996
Paraventricular nucleus of the thalamus,0.032691,0.035473,0.068164
lateral recess,0.025393,0.028158,0.053551
Lateral dorsal nucleus of thalamus,0.09829099999999999,0.079986,0.178277
"Dorsal auditory area, layer 6a",0.012424,0.012003,0.024426999999999997
posterior commissure,0.004326,0.004639,0.008965
Anterior olfactory nucleus,0.337584,0.381413,0.718997
Laterodorsal tegmental nucleus,0.019393,0.019561,0.038954
"Agranular insular area, posterior part, layer 2/3",0.088559,0.06858299999999999,0.157142
"central canal, spinal cord/medulla",4e-06,7.2e-05,7.6e-05
Nucleus prepositus,0.029334,0.028461,0.057795
"Prelimbic area, layer 1",0.028048999999999998,0.030459999999999997,0.05850899999999999
Retrochiasmatic area,0.012038,0.012629999999999999,0.024668
Nucleus of Roller,0.003251,0.00313,0.0063809999999999995
Ventral part of the lateral geniculate complex,0.036809,0.030735,0.06754399999999999
"Gustatory areas, layer 2/3",0.042221999999999996,0.037489,0.079711
Nucleus of reuniens,0.033634,0.035165,0.068799
Lateral habenula,0.028235,0.026302,0.054537
"Gustatory areas, layer 5",0.053284,0.044059999999999995,0.09734399999999999
"Accessory olfactory bulb, glomerular layer",0.009319,0.009245999999999999,0.018564999999999998
Rhomboid nucleus,0.007605,0.008496,0.016101
pyramid,0.046706,0.048395,0.09510099999999999
