structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.010367999999999999,0.009955,0.020323
"Primary somatosensory area, mouth, layer 6b",0.009398,0.008771,0.018168999999999998
internal capsule,0.223629,0.28132199999999996,0.5049509999999999
Principal sensory nucleus of the trigeminal,0.08756499999999999,0.09543199999999999,0.18299699999999997
"Primary somatosensory area, trunk, layer 6a",0.024766,0.026598999999999998,0.051364999999999994
"Superior colliculus, motor related, intermediate gray layer",0.18586899999999998,0.183441,0.36930999999999997
Interfascicular nucleus raphe,0.009358,0.009113999999999999,0.018472
Parataenial nucleus,0.024576999999999998,0.025273999999999998,0.04985099999999999
"Superior colliculus, motor related, intermediate white layer",0.20133299999999998,0.19547199999999998,0.39680499999999996
Induseum griseum,0.01086,0.010902,0.021762
"Entorhinal area, lateral part, layer 2",0.14313299999999998,0.166658,0.309791
Anterior amygdalar area,0.047639999999999995,0.033767,0.081407
"Superior colliculus, motor related, deep gray layer",0.118447,0.111194,0.22964099999999998
Intergeniculate leaflet of the lateral geniculate complex,0.006533,0.006672,0.013205
"Entorhinal area, lateral part, layer 6a",0.08903599999999999,0.10159599999999999,0.19063199999999997
"Periventricular hypothalamic nucleus, anterior part",0.00596,0.005993,0.011953
"Primary visual area, layer 6a",0.08356799999999999,0.074441,0.15800899999999998
Oculomotor nucleus,0.003387,0.003297,0.006684
"Gustatory areas, layer 1",0.015399999999999999,0.015271999999999999,0.030671999999999998
Paraventricular hypothalamic nucleus,0.022241,0.022319,0.04456
"posteromedial visual area, layer 2/3",0.026972,0.026778999999999997,0.05375099999999999
"Superior colliculus, motor related, deep white layer",0.033201999999999995,0.030778999999999997,0.063981
Precommissural nucleus,0.015806,0.015662,0.031467999999999996
"Entorhinal area, lateral part, layer 3",0.115141,0.133963,0.249104
medial forebrain bundle,0.004893,0.004813,0.009706
Nucleus accumbens,0.42413399999999996,0.367537,0.791671
Medial terminal nucleus of the accessory optic tract,0.004182,0.003783,0.007965
Intermediodorsal nucleus of the thalamus,0.018661,0.018359999999999998,0.037021
medial longitudinal fascicle,0.013002999999999999,0.01299,0.025993
"Paraventricular hypothalamic nucleus, descending division",0.016834,0.015951,0.032784999999999995
Anterodorsal nucleus,0.017735,0.017362,0.035097
Lateral terminal nucleus of the accessory optic tract,0.0014399999999999999,0.001493,0.002933
Interstitial nucleus of Cajal,0.009264999999999999,0.008872,0.018137
"Frontal pole, layer 1",0.013776,0.017165,0.030941
Anterodorsal preoptic nucleus,0.008766,0.009373,0.018139
"Lateral visual area, layer 6a",0.016441,0.017263,0.033704
Dorsal terminal nucleus of the accessory optic tract,0.0009149999999999999,0.000873,0.0017879999999999999
middle cerebellar peduncle,0.08540199999999999,0.08626099999999999,0.17166299999999998
lateral ventricle,0.20732299999999998,0.21872699999999998,0.42604999999999993
Inferior olivary complex,0.043948,0.042393,0.086341
"Prelimbic area, layer 6a",0.037413999999999996,0.036236,0.07365
Anterior hypothalamic nucleus,0.08032099999999999,0.07832,0.15864099999999998
Interposed nucleus,0.058614,0.057143,0.115757
motor root of the trigeminal nerve,0.004607,0.0045839999999999995,0.009191
Dorsal cochlear nucleus,0.039932999999999996,0.040005,0.079938
"Temporal association areas, layer 1",0.042749999999999996,0.048598999999999996,0.09134899999999999
subependymal zone,0.012657,0.012851999999999999,0.025508999999999997
Interpeduncular nucleus,0.001068,0.0010969999999999999,0.002165
Ventral cochlear nucleus,0.064403,0.07003,0.134433
nigrostriatal tract,0.012794,0.013509,0.026303
"Superior olivary complex, medial part",0.019604999999999997,0.020307,0.039911999999999996
Inferior salivatory nucleus,0.0005899999999999999,0.000584,0.001174
choroid plexus,0.122684,0.12423,0.246914
"Primary somatosensory area, lower limb, layer 2/3",0.06260299999999999,0.065924,0.128527
"Superior olivary complex, lateral part",0.032374,0.035498999999999996,0.06787299999999999
Trochlear nucleus,0.000734,0.000681,0.001415
optic chiasm,0.030591999999999998,0.031003,0.061595
"Periventricular hypothalamic nucleus, intermediate part",0.023637,0.0237,0.047337
"Agranular insular area, posterior part, layer 1",0.035629,0.039812,0.07544100000000001
"Lateral visual area, layer 6b",0.0030559999999999997,0.00316,0.006215999999999999
"Superior olivary complex, periolivary region",0.034262,0.035373999999999996,0.069636
Koelliker-Fuse subnucleus,0.013845999999999999,0.015521,0.029366999999999997
optic tract,0.07004099999999999,0.071213,0.141254
"Periventricular hypothalamic nucleus, posterior part",0.012022,0.012249,0.024271
Midbrain reticular nucleus,0.5428379999999999,0.517683,1.060521
third ventricle,0.08907799999999999,0.088713,0.17779099999999998
Lateral amygdalar nucleus,0.066365,0.088699,0.15506399999999998
"Prelimbic area, layer 6b",0.001798,0.0017779999999999998,0.0035759999999999998
"Periventricular hypothalamic nucleus, preoptic part",0.015583999999999999,0.01574,0.031324
Intermediate reticular nucleus,0.24048899999999998,0.23784899999999998,0.47833799999999993
"Entorhinal area, lateral part, layer 5",0.122459,0.142888,0.265347
cerebral aqueduct,0.036791,0.036492,0.07328299999999999
"Nucleus ambiguus, ventral division",0.0022099999999999997,0.0019649999999999997,0.004175
fourth ventricle,0.039449,0.038714,0.078163
Pontine reticular nucleus,0.248471,0.238203,0.486674
Locus ceruleus,0.001236,0.0013239999999999999,0.0025599999999999998
"Gustatory areas, layer 4",0.011144,0.010581,0.021725
Paraventricular nucleus of the thalamus,0.045902,0.045080999999999996,0.090983
lateral recess,0.031571999999999996,0.029370999999999998,0.060943
Lateral dorsal nucleus of thalamus,0.120781,0.121358,0.242139
"Dorsal auditory area, layer 6a",0.015234,0.01722,0.032454
posterior commissure,0.005266,0.005225,0.010491
Anterior olfactory nucleus,0.426189,0.415759,0.8419479999999999
Laterodorsal tegmental nucleus,0.019857,0.019660999999999998,0.039518
"Agranular insular area, posterior part, layer 2/3",0.066588,0.074747,0.141335
"central canal, spinal cord/medulla",3.1e-05,2.8e-05,5.9e-05
Nucleus prepositus,0.017679999999999998,0.017374999999999998,0.035054999999999996
"Prelimbic area, layer 1",0.03446,0.035032,0.069492
Retrochiasmatic area,0.015463999999999999,0.015347,0.030810999999999998
Nucleus of Roller,0.0019019999999999998,0.001875,0.003777
Ventral part of the lateral geniculate complex,0.039151,0.042157,0.08130799999999999
"Gustatory areas, layer 2/3",0.030951999999999997,0.029855999999999997,0.060807999999999994
Nucleus of reuniens,0.049831999999999994,0.049538,0.09936999999999999
Lateral habenula,0.03256,0.031865,0.064425
"Gustatory areas, layer 5",0.041020999999999995,0.039182,0.080203
"Accessory olfactory bulb, glomerular layer",0.007808,0.009918,0.017726
Rhomboid nucleus,0.010655,0.010397,0.021052
pyramid,0.050057,0.048383999999999996,0.098441
Lateral hypothalamic area,0.231545,0.21853799999999998,0.450083
"Accessory olfactory bulb, granular layer",0.009981,0.01371,0.023691
Rostral linear nucleus raphe,0.006163999999999999,0.005991,0.012155
pyramidal decussation,0.005345,0.005362,0.010707
"Primary somatosensory area, barrel field, layer 2/3",0.159057,0.160131,0.319188
Medial vestibular nucleus,0.13871899999999998,0.139796,0.27851499999999996
Linear nucleus of the medulla,0.005667,0.005076,0.010742999999999999
"Accessory olfactory bulb, mitral layer",0.013234,0.017464999999999998,0.030698999999999997
Nucleus raphe magnus,0.011117,0.010955,0.022072
Area postrema,0.003149,0.0031609999999999997,0.00631
Lateral vestibular nucleus,0.021463,0.02206,0.043523
Lateral mammillary nucleus,0.007284,0.0066809999999999994,0.013964999999999998
"Anterior cingulate area, dorsal part, layer 2/3",0.05533,0.054782,0.11011199999999999
Red nucleus,0.08925,0.081839,0.171089
Anterior pretectal nucleus,0.125655,0.12821,0.253865
Superior vestibular nucleus,0.026049,0.026718,0.052766999999999994
Lateral posterior nucleus of the thalamus,0.117768,0.11798299999999999,0.235751
Nucleus raphe obscurus,0.003147,0.0030269999999999997,0.006174
Arcuate hypothalamic nucleus,0.027923,0.027913999999999998,0.055837
Spinal vestibular nucleus,0.054155999999999996,0.049908999999999995,0.10406499999999999
Lateral preoptic area,0.049226,0.045337999999999996,0.094564
sensory root of the trigeminal nerve,0.053385999999999996,0.055371,0.10875699999999999
Nucleus raphe pallidus,0.005951,0.005545,0.011496
Anterior tegmental nucleus,0.00431,0.004183,0.008493
"Anterolateral visual area, layer 5",0.01781,0.020311,0.038121
"Temporal association areas, layer 4",0.024515,0.028038999999999998,0.052554
solitary tract,0.000581,0.000567,0.0011480000000000001
Nucleus raphe pontis,0.009984,0.010036,0.02002
"Dorsal auditory area, layer 6b",0.002559,0.002877,0.005436
"Midbrain reticular nucleus, retrorubral area",0.01415,0.013191999999999999,0.027341999999999998
"Posterior auditory area, layer 6a",0.006409,0.008054,0.014463
"Lateral septal nucleus, caudal (caudodorsal) part",0.055016999999999996,0.053071999999999994,0.10808899999999999
"Primary auditory area, layer 2/3",0.038881,0.042231,0.08111199999999999
"Dorsal auditory area, layer 5",0.028367,0.031994999999999996,0.060362
Anteroventral nucleus of thalamus,0.046429,0.048191,0.09462
"posteromedial visual area, layer 6a",0.013405,0.013694,0.027098999999999998
"Lateral septal nucleus, rostral (rostroventral) part",0.164063,0.164634,0.328697
"Nucleus of the lateral olfactory tract, molecular layer",0.010326,0.0039239999999999995,0.014249999999999999
Reticular nucleus of the thalamus,0.163008,0.194954,0.357962
Anteroventral preoptic nucleus,0.008293,0.008357999999999999,0.016651
"Lateral septal nucleus, ventral part",0.052376,0.056076999999999995,0.108453
"Nucleus of the lateral olfactory tract, pyramidal layer",0.014360999999999999,0.011359,0.02572
"Posterolateral visual area, layer 2/3",0.015345999999999999,0.015498,0.030843999999999996
Nucleus sagulum,0.009045,0.008614,0.017659
Anteroventral periventricular nucleus,0.017370999999999998,0.017949,0.03532
"Retrosplenial area, dorsal part, layer 6a",0.067013,0.07463199999999999,0.141645
"Retrosplenial area, lateral agranular part, layer 6b",0.003228,0.0038199999999999996,0.007048
Barrington's nucleus,0.001402,0.00148,0.002882
"Anteromedial visual area, layer 1",0.014287999999999999,0.014646,0.028933999999999998
Suprachiasmatic nucleus,0.007189,0.007300999999999999,0.01449
Bed nucleus of the anterior commissure,0.000694,0.0007769999999999999,0.0014709999999999999
"Orbital area, ventrolateral part, layer 2/3",0.034719,0.036257,0.070976
"Temporal association areas, layer 5",0.07334,0.084354,0.157694
Bed nucleus of the accessory olfactory tract,0.0022949999999999997,0.002025,0.004319999999999999
"Anterior cingulate area, ventral part, layer 2/3",0.045542,0.044946,0.090488
Magnocellular nucleus,0.03142,0.022869,0.054289
stria terminalis,0.031474,0.037028,0.06850200000000001
"Basolateral amygdalar nucleus, anterior part",0.072835,0.081842,0.154677
"Prelimbic area, layer 2/3",0.028161,0.028451999999999998,0.056613
"Primary visual area, layer 6b",0.013169,0.011503,0.024672
Magnocellular reticular nucleus,0.050461,0.048917999999999996,0.099379
Septofimbrial nucleus,0.045159,0.045564,0.090723
"Basolateral amygdalar nucleus, posterior part",0.060198999999999996,0.064494,0.124693
Midbrain,0.6437729999999999,0.633015,1.2767879999999998
"Agranular insular area, posterior part, layer 6a",0.034991999999999995,0.043351,0.078343
Supragenual nucleus,0.0016339999999999998,0.0015919999999999999,0.0032259999999999997
"Primary motor area, Layer 1",0.11809299999999999,0.11979799999999999,0.23789099999999996
Subgeniculate nucleus,0.0026089999999999998,0.002946,0.005554999999999999
Suprageniculate nucleus,0.014811999999999999,0.014414999999999999,0.029226999999999996
superior cerebelar peduncles,0.040628,0.04186,0.082488
"Basomedial amygdalar nucleus, anterior part",0.08079299999999999,0.065935,0.14672799999999997
"Agranular insular area, dorsal part, layer 2/3",0.079718,0.074784,0.154502
"Retrosplenial area, dorsal part, layer 6b",0.002843,0.0031999999999999997,0.006043
Accessory supraoptic group,0.000752,0.0007369999999999999,0.0014889999999999999
Septohippocampal nucleus,0.0029609999999999997,0.002951,0.005912
"Basomedial amygdalar nucleus, posterior part",0.068102,0.0629,0.131002
"Perirhinal area, layer 6a",0.004432,0.0050869999999999995,0.009519
superior colliculus commissure,0.002986,0.002868,0.005854
Subfornical organ,0.0021709999999999998,0.002163,0.004333999999999999
Substantia innominata,0.284211,0.231428,0.515639
"Agranular insular area, posterior part, layer 5",0.060627,0.070465,0.131092
Subparaventricular zone,0.01283,0.012768,0.025598
supraoptic commissures,0.0026019999999999997,0.00247,0.005072
Subceruleus nucleus,0.002485,0.00259,0.005075
Bed nuclei of the stria terminalis,0.118964,0.13821999999999998,0.25718399999999997
Medulla,0.443752,0.425574,0.869326
"Agranular insular area, posterior part, layer 6b",0.001619,0.002209,0.003828
Preparasubthalamic nucleus,0.001449,0.001379,0.002828
Sublaterodorsal nucleus,0.0044989999999999995,0.004598,0.009097
Mediodorsal nucleus of thalamus,0.149693,0.143277,0.29296999999999995
"Prelimbic area, layer 5",0.069884,0.068967,0.138851
Parasubthalamic nucleus,0.017565,0.016725,0.03429
Submedial nucleus of the thalamus,0.037197,0.035317,0.072514
"Perirhinal area, layer 6b",0.00114,0.001235,0.002375
Infracerebellar nucleus,0.003822,0.003557,0.007379
"Substantia nigra, compact part",0.017442,0.016694999999999998,0.034137
"Posterolateral visual area, layer 6a",0.008139,0.007526,0.015665
cuneate fascicle,0.0015689999999999999,0.001524,0.003093
"Substantia nigra, reticular part",0.128022,0.124786,0.252808
Field CA1,0.908418,0.973228,1.881646
Supraoptic nucleus,0.0044009999999999995,0.00374,0.008140999999999999
"Posterolateral visual area, layer 6b",0.000682,0.000647,0.0013289999999999999
ventral tegmental decussation,0.0041389999999999995,0.004011,0.00815
"Anteromedial visual area, layer 4",0.005967,0.0061779999999999995,0.012145
Medial amygdalar nucleus,0.20333299999999999,0.194824,0.398157
"Orbital area, lateral part, layer 2/3",0.053366,0.049439,0.102805
vestibular nerve,0.017089,0.018775,0.035864
"Subparafascicular nucleus, magnocellular part",0.007405999999999999,0.007411999999999999,0.014817999999999998
"Lateral visual area, layer 1",0.014946,0.017086,0.032032
"Subparafascicular nucleus, parvicellular part",0.013229,0.013153999999999999,0.026382999999999997
Field CA2,0.044566999999999996,0.048247,0.092814
Ectorhinal area/Layer 2/3,0.037991,0.043424,0.08141499999999999
medial corticohypothalamic tract,0.0008259999999999999,0.000843,0.001669
"Spinal nucleus of the trigeminal, caudal part",0.177456,0.148854,0.32631
"Retrosplenial area, ventral part, layer 2/3",0.08959099999999999,0.090975,0.180566
"Anteromedial visual area, layer 5",0.022154999999999998,0.023490999999999998,0.04564599999999999
