structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,3281.0,3760.0,7041.0,1.842752,1.9837490000000002,3.8265010000000004,1780.4891813982565,1895.4010814876276
"Primary somatosensory area, lower limb, layer 5",2382.0,3511.0,5893.0,0.390217,0.350017,0.7402340000000001,6104.295814892739,10030.941354277078
"Primary motor area, Layer 6a",1414.0,730.0,2144.0,1.365156,1.250589,2.615745,1035.7790611475905,583.7249488041235
"Primary somatosensory area, lower limb, layer 6a",1131.0,894.0,2025.0,0.376182,0.33633,0.7125119999999999,3006.523438123036,2658.103648202658
"Primary somatosensory area, trunk, layer 6a",760.0,1260.0,2020.0,0.135255,0.13943599999999998,0.27469099999999996,5619.015932867547,9036.403798158297
"Primary motor area, Layer 5",827.0,1092.0,1919.0,1.480383,1.425224,2.905607,558.6392170134351,766.1953489416401
Red nucleus,893.0,751.0,1644.0,0.459271,0.453287,0.912558,1944.385776589421,1656.7869804340296
Magnocellular reticular nucleus,558.0,692.0,1250.0,0.30385,0.317383,0.6212329999999999,1836.432450222149,2180.331019619828
Pontine reticular nucleus,406.0,590.0,996.0,1.4864229999999998,1.5371540000000001,3.0235769999999995,273.138938243017,383.8262138991929
"Retrosplenial area, lateral agranular part, layer 6a",298.0,540.0,838.0,0.223641,0.23301100000000002,0.456652,1332.492700354586,2317.48715725867
Midbrain reticular nucleus,385.0,406.0,791.0,3.2572810000000003,3.231384,6.488664999999999,118.19674139259092,125.64275864459316
Hypothalamus,384.0,364.0,748.0,1.449173,1.481234,2.930407,264.97871544667197,245.7410510425767
"Primary somatosensory area, trunk, layer 5",242.0,359.0,601.0,0.203816,0.204163,0.407979,1187.3454488362052,1758.3989263480648
crossed tectospinal pathway,266.0,332.0,598.0,0.298683,0.315568,0.6142509999999999,890.5762966087793,1052.071185925062
Lateral hypothalamic area,224.0,366.0,590.0,0.9374610000000001,1.072808,2.010269,238.94327337350563,341.16076688466154
"Paragigantocellular reticular nucleus, lateral part",230.0,264.0,494.0,0.430542,0.474761,0.9053030000000001,534.2103673973736,556.069264324576
Paraventricular hypothalamic nucleus,269.0,207.0,476.0,0.18429,0.183929,0.368219,1459.655976992783,1125.434270832767
"Pontine reticular nucleus, caudal part",241.0,220.0,461.0,1.756,1.8158419999999997,3.5718419999999997,137.24373576309796,121.15591554771838
Nucleus raphe magnus,233.0,224.0,457.0,0.063639,0.063581,0.12722,3661.276889957416,3523.065066607949
"Medullary reticular nucleus, dorsal part",137.0,307.0,444.0,0.8469389999999999,0.879073,1.726012,161.7589932687006,349.2315200216592
Pons,189.0,227.0,416.0,1.7251610000000002,1.6710349999999998,3.396196,109.55499225869353,135.84395299918913
Intermediate reticular nucleus,184.0,207.0,391.0,2.217987,2.425203,4.64319,82.95810570575932,85.35367967135122
Dorsal motor nucleus of the vagus nerve,198.0,148.0,346.0,0.14374800000000001,0.137726,0.281474,1377.4104683195592,1074.5973890187765
"Paraventricular hypothalamic nucleus, descending division",198.0,126.0,324.0,0.111455,0.106771,0.218226,1776.501727154457,1180.0957188749753
Medulla,154.0,169.0,323.0,2.574045,2.7082740000000003,5.282318999999998,59.82801388476115,62.401367069949345
"Anterior area, layer 6a",84.0,194.0,278.0,0.13571,0.147724,0.283434,618.9669147446762,1313.2598629877339
"Lateral reticular nucleus, magnocellular part",72.0,189.0,261.0,0.330561,0.354266,0.6848270000000001,217.81153856625556,533.4974284859398
"Medullary reticular nucleus, ventral part",162.0,71.0,233.0,0.520204,0.576612,1.096816,311.4162905321758,123.13306001262548
Pedunculopontine nucleus,59.0,170.0,229.0,0.552565,0.5710890000000001,1.1236540000000002,106.77476857926217,297.6768944945534
Dorsomedial nucleus of the hypothalamus,112.0,95.0,207.0,0.2478,0.235646,0.483446,451.97740112994353,403.1470935216384
Laterodorsal tegmental nucleus,88.0,102.0,190.0,0.11158199999999999,0.11024300000000001,0.221825,788.6576687996272,925.2288127137323
Pontine central gray,96.0,92.0,188.0,0.297523,0.301088,0.598611,322.66413016808787,305.55850781166964
Zona incerta,96.0,62.0,158.0,0.7194699999999999,0.803321,1.5227909999999998,133.43155378264558,77.17960815166042
Thalamus,88.0,46.0,134.0,0.5649310000000001,0.5615220000000001,1.1264530000000001,155.77123577923675,81.92020971573686
Midbrain,72.0,54.0,126.0,3.457933,3.500468,6.9584009999999985,20.82168740689886,15.426508683981684
Periaqueductal gray,80.0,34.0,114.0,2.460295,2.346315,4.806609999999999,32.516425875758806,14.490807926471934
Interstitial nucleus of Cajal,60.0,45.0,105.0,0.043516,0.042654000000000004,0.08617000000000001,1378.8031988234213,1055.0007033338022
"Retrosplenial area, lateral agranular part, layer 5",12.0,68.0,80.0,0.380494,0.402289,0.782783,31.537948035974285,169.03271031522115
Spinal vestibular nucleus,21.0,50.0,71.0,0.35759,0.40087399999999995,0.758464,58.726474453983606,124.72747047700776
Ventromedial hypothalamic nucleus,42.0,29.0,71.0,0.32141,0.336418,0.657828,130.67421673252232,86.20228406327843
medial lemniscus,44.0,25.0,69.0,0.339962,0.319592,0.659554,129.4262299904107,78.22473653908735
Nucleus of reuniens,45.0,24.0,69.0,0.41921899999999995,0.39124200000000003,0.810461,107.34246300859456,61.343107335102054
Substantia innominata,28.0,35.0,63.0,1.521373,1.5654519999999998,3.086825,18.404428105402157,22.357759931316963
Parapyramidal nucleus,43.0,17.0,60.0,0.052124000000000004,0.053393,0.10551700000000001,824.9558744532269,318.39379693967373
Nucleus of the solitary tract,30.0,24.0,54.0,0.637135,0.641459,1.278594,47.08578244798983,37.41470616204621
Barrington's nucleus,18.0,34.0,52.0,0.007863,0.008236,0.016099000000000002,2289.202594429607,4128.21758135017
Nucleus raphe obscurus,30.0,20.0,50.0,0.02256,0.022572,0.045132,1329.787234042553,886.0535176324651
"Prelimbic area, layer 6a",48.0,2.0,50.0,0.186682,0.17948799999999998,0.36617,257.1217364287934,11.142806204314496
"Secondary motor area, layer 6a",37.0,6.0,43.0,1.112899,1.0612780000000002,2.1741770000000002,33.24650305193912,5.65356108390073
Posterior hypothalamic nucleus,24.0,18.0,42.0,0.43133999999999995,0.422933,0.8542730000000001,55.6405619696759,42.55993266072877
"Prelimbic area, layer 5",40.0,0.0,40.0,0.332867,0.316573,0.64944,120.16811519315522,0.0
rubrospinal tract,9.0,30.0,39.0,0.263818,0.258281,0.522099,34.11442737038413,116.15256251911678
Olfactory tubercle,17.0,22.0,39.0,1.9009040000000001,1.967356,3.86826,8.943113381843585,11.182521109550075
Hypoglossal nucleus,8.0,30.0,38.0,0.220935,0.218369,0.439304,36.209744947609025,137.38213757447255
superior cerebelar peduncles,17.0,14.0,31.0,0.23978000000000002,0.247635,0.487415,70.89832346317458,56.53481939144305
Nucleus x,12.0,16.0,28.0,0.023126,0.028078,0.051204,518.8964801522096,569.8411567775482
Nucleus of Darkschewitsch,15.0,11.0,26.0,0.049676,0.049112,0.098788,301.9566792817457,223.97784655481348
Medial vestibular nucleus,4.0,21.0,25.0,0.998907,1.031962,2.030869,4.00437678382472,20.34958651578256
Sublaterodorsal nucleus,12.0,11.0,23.0,0.026718000000000002,0.027755000000000002,0.054473,449.13541432741965,396.3249864889209
Ventral tegmental area,14.0,7.0,21.0,0.20888800000000002,0.20157,0.410458,67.02156179387997,34.72738998858957
"Primary somatosensory area, trunk, layer 6b",3.0,18.0,21.0,0.019884,0.020683,0.040567,150.87507543753773,870.279940047382
"Anterior area, layer 6b",6.0,13.0,19.0,0.024645,0.026169,0.050814,243.45709068776628,496.7709885742672
