structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.009726,0.009152,0.018878
"Primary somatosensory area, mouth, layer 6b",0.008161,0.007514,0.015675
internal capsule,0.179744,0.17812799999999998,0.35787199999999997
Principal sensory nucleus of the trigeminal,0.077469,0.073144,0.150613
"Primary somatosensory area, trunk, layer 6a",0.022515999999999998,0.018878,0.041394
"Superior colliculus, motor related, intermediate gray layer",0.156909,0.166895,0.323804
Interfascicular nucleus raphe,0.009035999999999999,0.009115999999999999,0.018151999999999998
Parataenial nucleus,0.020803,0.021095,0.041898
"Superior colliculus, motor related, intermediate white layer",0.173624,0.183224,0.356848
Induseum griseum,0.010893,0.010735999999999999,0.021629
"Entorhinal area, lateral part, layer 2",0.131899,0.11912099999999999,0.25101999999999997
Anterior amygdalar area,0.041797,0.041444999999999996,0.083242
"Superior colliculus, motor related, deep gray layer",0.10577199999999999,0.107483,0.21325499999999997
Intergeniculate leaflet of the lateral geniculate complex,0.005533,0.005149,0.010682
"Entorhinal area, lateral part, layer 6a",0.080372,0.079318,0.15969
"Periventricular hypothalamic nucleus, anterior part",0.004671,0.004698,0.009368999999999999
"Primary visual area, layer 6a",0.065079,0.074712,0.139791
Oculomotor nucleus,0.003332,0.003273,0.006605
"Gustatory areas, layer 1",0.017943999999999998,0.015465999999999999,0.033409999999999995
Paraventricular hypothalamic nucleus,0.017778,0.01821,0.035988
"posteromedial visual area, layer 2/3",0.020582,0.023489,0.044071
"Superior colliculus, motor related, deep white layer",0.029331,0.029117999999999998,0.058449
Precommissural nucleus,0.015104,0.015247,0.030351
"Entorhinal area, lateral part, layer 3",0.105069,0.10053899999999999,0.20560799999999999
medial forebrain bundle,0.004841,0.005245,0.010086
Nucleus accumbens,0.354676,0.32142699999999996,0.6761029999999999
Medial terminal nucleus of the accessory optic tract,0.003525,0.003848,0.007372999999999999
Intermediodorsal nucleus of the thalamus,0.019103,0.019389999999999998,0.038493
medial longitudinal fascicle,0.012702999999999999,0.012447,0.02515
"Paraventricular hypothalamic nucleus, descending division",0.013165,0.013091,0.026256
Anterodorsal nucleus,0.016193,0.014792999999999999,0.030986
Lateral terminal nucleus of the accessory optic tract,0.001205,0.0010999999999999998,0.0023049999999999998
Interstitial nucleus of Cajal,0.007941,0.008008,0.015948999999999998
"Frontal pole, layer 1",0.018778,0.021551999999999998,0.04033
Anterodorsal preoptic nucleus,0.007101,0.00724,0.014341
"Lateral visual area, layer 6a",0.014341999999999999,0.014832,0.029174
Dorsal terminal nucleus of the accessory optic tract,0.0008039999999999999,0.000829,0.001633
middle cerebellar peduncle,0.07504999999999999,0.072381,0.14743099999999998
lateral ventricle,0.185768,0.17328,0.359048
Inferior olivary complex,0.050127,0.049915999999999995,0.10004299999999999
"Prelimbic area, layer 6a",0.031865,0.031477,0.063342
Anterior hypothalamic nucleus,0.06287999999999999,0.062283,0.125163
Interposed nucleus,0.046779,0.049144,0.09592300000000001
motor root of the trigeminal nerve,0.004058,0.0038699999999999997,0.007928
Dorsal cochlear nucleus,0.029401999999999998,0.029202,0.058603999999999996
"Temporal association areas, layer 1",0.040767,0.041401,0.08216799999999999
subependymal zone,0.011634,0.010582,0.022216
Interpeduncular nucleus,0.001098,0.001114,0.002212
Ventral cochlear nucleus,0.052988999999999994,0.046550999999999995,0.09953999999999999
nigrostriatal tract,0.010322,0.009453,0.019775
"Superior olivary complex, medial part",0.018178,0.019476999999999998,0.037654999999999994
Inferior salivatory nucleus,0.000511,0.000535,0.001046
choroid plexus,0.109094,0.102833,0.21192699999999998
"Primary somatosensory area, lower limb, layer 2/3",0.060294,0.050116999999999995,0.110411
"Superior olivary complex, lateral part",0.029838,0.031000999999999997,0.060839
Trochlear nucleus,0.000744,0.000727,0.001471
optic chiasm,0.02311,0.023382999999999998,0.04649299999999999
"Periventricular hypothalamic nucleus, intermediate part",0.021478999999999998,0.021568,0.043047
"Agranular insular area, posterior part, layer 1",0.037924,0.034128,0.072052
"Lateral visual area, layer 6b",0.002616,0.002728,0.005344
"Superior olivary complex, periolivary region",0.030504,0.033802,0.064306
Koelliker-Fuse subnucleus,0.011712,0.011974,0.023686
optic tract,0.051987,0.050053999999999994,0.10204099999999999
"Periventricular hypothalamic nucleus, posterior part",0.013335999999999999,0.013548,0.026883999999999998
Midbrain reticular nucleus,0.490778,0.49712999999999996,0.987908
third ventricle,0.081715,0.081014,0.162729
Lateral amygdalar nucleus,0.052237,0.076628,0.128865
"Prelimbic area, layer 6b",0.0015069999999999999,0.0014939999999999999,0.0030009999999999998
"Periventricular hypothalamic nucleus, preoptic part",0.011883999999999999,0.011866,0.02375
Intermediate reticular nucleus,0.266872,0.267444,0.534316
"Entorhinal area, lateral part, layer 5",0.11141999999999999,0.11073899999999999,0.222159
cerebral aqueduct,0.032997,0.032933,0.06592999999999999
"Nucleus ambiguus, ventral division",0.0023599999999999997,0.002532,0.004892
fourth ventricle,0.033767,0.03293,0.066697
Pontine reticular nucleus,0.244911,0.24351199999999998,0.48842299999999994
Locus ceruleus,0.0010969999999999999,0.001072,0.002169
"Gustatory areas, layer 4",0.011805,0.010308999999999999,0.022113999999999998
Paraventricular nucleus of the thalamus,0.042977999999999995,0.043365,0.086343
lateral recess,0.02539,0.024829,0.050219
Lateral dorsal nucleus of thalamus,0.11101899999999999,0.092745,0.203764
"Dorsal auditory area, layer 6a",0.013639,0.016343,0.029982
posterior commissure,0.004464,0.004484,0.008948000000000001
Anterior olfactory nucleus,0.34735299999999997,0.359303,0.706656
Laterodorsal tegmental nucleus,0.017686999999999998,0.016760999999999998,0.03444799999999999
"Agranular insular area, posterior part, layer 2/3",0.06902699999999999,0.066453,0.13548
"central canal, spinal cord/medulla",3.2e-05,2.6e-05,5.8e-05
Nucleus prepositus,0.016725,0.016111999999999998,0.032837
"Prelimbic area, layer 1",0.035574999999999996,0.036178999999999996,0.07175399999999998
Retrochiasmatic area,0.012307,0.012104,0.024411000000000002
Nucleus of Roller,0.002018,0.001999,0.004017
Ventral part of the lateral geniculate complex,0.03234,0.031527,0.06386700000000001
"Gustatory areas, layer 2/3",0.03428,0.029828999999999998,0.064109
Nucleus of reuniens,0.042116999999999995,0.043281,0.085398
Lateral habenula,0.032978,0.0334,0.06637799999999999
"Gustatory areas, layer 5",0.041564,0.036829,0.07839299999999999
"Accessory olfactory bulb, glomerular layer",0.010742,0.011741,0.022483
Rhomboid nucleus,0.009689,0.010039,0.019728
pyramid,0.049999999999999996,0.04897,0.09897
Lateral hypothalamic area,0.184495,0.17158099999999998,0.35607599999999995
"Accessory olfactory bulb, granular layer",0.01664,0.017563,0.034203
Rostral linear nucleus raphe,0.005752999999999999,0.0057599999999999995,0.011512999999999999
pyramidal decussation,0.004912,0.0048839999999999995,0.009796
"Primary somatosensory area, barrel field, layer 2/3",0.14155199999999998,0.13591,0.277462
Medial vestibular nucleus,0.13200199999999998,0.126867,0.258869
Linear nucleus of the medulla,0.006023,0.006137,0.01216
"Accessory olfactory bulb, mitral layer",0.019867,0.02138,0.041247
Nucleus raphe magnus,0.010381999999999999,0.010442,0.020824
Area postrema,0.0030099999999999997,0.003062,0.006071999999999999
Lateral vestibular nucleus,0.017046,0.017664,0.03471
Lateral mammillary nucleus,0.006683,0.006895,0.013578
"Anterior cingulate area, dorsal part, layer 2/3",0.054369999999999995,0.052192999999999996,0.10656299999999999
Red nucleus,0.076194,0.07863099999999999,0.154825
Anterior pretectal nucleus,0.105208,0.11455699999999999,0.219765
Superior vestibular nucleus,0.021228999999999998,0.021741999999999997,0.042970999999999995
Lateral posterior nucleus of the thalamus,0.106762,0.104117,0.21087899999999998
Nucleus raphe obscurus,0.003336,0.0032749999999999997,0.006611
Arcuate hypothalamic nucleus,0.026435999999999998,0.026569,0.053005
Spinal vestibular nucleus,0.049360999999999995,0.049304999999999995,0.09866599999999999
Lateral preoptic area,0.044509,0.042082,0.086591
sensory root of the trigeminal nerve,0.048774,0.04446,0.093234
