coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
7,2829,2979,592,720,793,"Nucleus of the lateral olfactory tract, molecular layer",left
7,2744,3017,576,720,807,"Cortical amygdalar area, anterior part",left
7,2816,3062,589,720,818,"Cortical amygdalar area, anterior part",left
7,2867,3158,598,720,845,Piriform-amygdalar area,left
7,2930,3058,613,721,815,"Cortical amygdalar area, anterior part",left
7,2966,3064,621,722,818,"Cortical amygdalar area, anterior part",left
7,2992,3054,627,722,815,"Cortical amygdalar area, anterior part",left
7,3087,3042,649,724,812,"Cortical amygdalar area, anterior part",left
7,3102,3079,653,725,825,"Cortical amygdalar area, anterior part",left
7,3130,3078,660,725,824,"Cortical amygdalar area, anterior part",left
6,3058,3045,642,725,813,"Cortical amygdalar area, anterior part",left
6,2634,3256,551,719,869,Piriform area,left
6,2706,2989,568,723,801,"Cortical amygdalar area, anterior part",left
6,2864,3158,597,722,845,Piriform-amygdalar area,left
6,2928,3060,613,723,817,"Cortical amygdalar area, anterior part",left
6,2964,3050,621,723,814,"Cortical amygdalar area, anterior part",left
6,2973,3062,624,724,817,"Cortical amygdalar area, anterior part",left
6,3060,3052,643,726,815,"Cortical amygdalar area, anterior part",left
6,3065,3043,645,726,812,"Cortical amygdalar area, anterior part",left
6,3112,3059,655,726,819,"Cortical amygdalar area, anterior part",left
6,3132,3080,660,727,826,"Cortical amygdalar area, anterior part",left
5,2694,3031,566,724,813,Olfactory areas,left
5,2703,3030,567,724,813,Olfactory areas,left
5,2865,3156,597,724,845,Piriform-amygdalar area,left
5,2870,3162,598,724,847,Piriform-amygdalar area,left
5,2953,3057,619,725,815,"Cortical amygdalar area, anterior part",left
5,2956,3063,619,725,817,"Cortical amygdalar area, anterior part",left
5,3154,3028,664,729,812,"Cortical amygdalar area, anterior part",left
8,2717,3013,570,719,808,"Cortical amygdalar area, anterior part",left
8,2936,1834,620,720,523,fiber tracts,right
8,3000,3058,629,721,815,"Cortical amygdalar area, anterior part",left
8,2940,3062,616,720,817,"Cortical amygdalar area, anterior part",left
8,2943,3060,617,720,817,"Cortical amygdalar area, anterior part",left
8,2956,3049,619,720,813,"Cortical amygdalar area, anterior part",left
8,2963,3070,621,720,820,"Cortical amygdalar area, anterior part",left
8,2964,3048,621,720,812,"Cortical amygdalar area, anterior part",left
8,2964,3060,621,720,817,"Cortical amygdalar area, anterior part",left
8,2966,3053,621,720,813,"Cortical amygdalar area, anterior part",left
8,3017,3022,633,721,804,"Cortical amygdalar area, anterior part",left
8,3141,3078,663,724,824,"Cortical amygdalar area, anterior part",left
8,3158,3041,666,724,815,"Cortical amygdalar area, anterior part",left
9,2714,3014,570,717,808,"Cortical amygdalar area, anterior part",left
9,2720,3021,571,717,809,"Cortical amygdalar area, anterior part",left
9,2723,3008,571,717,806,"Cortical amygdalar area, anterior part",left
9,2725,3021,572,717,809,"Cortical amygdalar area, anterior part",left
9,2727,3013,572,717,808,"Cortical amygdalar area, anterior part",left
9,2730,3014,573,717,807,"Cortical amygdalar area, anterior part",left
9,2732,3015,573,717,807,"Cortical amygdalar area, anterior part",left
9,2826,2994,592,717,798,"Cortical amygdalar area, anterior part",left
9,2885,3032,604,717,808,"Cortical amygdalar area, anterior part",left
9,2898,1772,612,717,510,fiber tracts,right
9,2932,3012,615,718,801,"Cortical amygdalar area, anterior part",left
9,2947,1833,622,718,523,fiber tracts,right
9,2963,3064,621,719,818,"Cortical amygdalar area, anterior part",left
9,2975,3077,624,719,821,"Cortical amygdalar area, anterior part",left
9,3004,1799,630,719,513,fiber tracts,right
9,3032,3038,637,720,809,"Cortical amygdalar area, anterior part",left
9,3039,3028,639,720,808,"Cortical amygdalar area, anterior part",left
9,3066,3052,645,721,815,"Cortical amygdalar area, anterior part",left
12,2826,1891,605,714,540,fiber tracts,right
12,2639,1800,569,720,517,fiber tracts,right
12,2748,3011,576,712,805,"Cortical amygdalar area, anterior part",left
12,2752,3110,575,711,834,Piriform-amygdalar area,left
12,2795,3095,585,711,829,Piriform-amygdalar area,left
12,2828,2992,593,712,796,"Cortical amygdalar area, anterior part",left
12,2880,3038,603,712,809,"Cortical amygdalar area, anterior part",left
12,2932,3062,615,713,816,"Cortical amygdalar area, anterior part",left
12,3030,3028,637,715,807,"Cortical amygdalar area, anterior part",left
12,3045,3046,640,716,812,"Cortical amygdalar area, anterior part",left
12,3046,3036,640,716,809,"Cortical amygdalar area, anterior part",left
10,2721,3018,571,716,809,"Cortical amygdalar area, anterior part",left
10,2714,3028,570,715,812,"Cortical amygdalar area, anterior part",left
10,2732,3013,573,716,807,"Cortical amygdalar area, anterior part",left
10,2741,3017,575,715,807,"Cortical amygdalar area, anterior part",left
10,2746,3015,576,715,807,"Cortical amygdalar area, anterior part",left
10,2770,3056,580,715,818,"Cortical amygdalar area, anterior part",left
10,2884,3033,604,715,809,"Cortical amygdalar area, anterior part",left
10,2949,3046,618,717,812,"Cortical amygdalar area, anterior part",left
10,2952,3059,619,717,816,"Cortical amygdalar area, anterior part",left
10,2952,1868,623,718,531,fiber tracts,right
10,2962,3054,621,717,815,"Cortical amygdalar area, anterior part",left
10,2969,3052,623,717,813,"Cortical amygdalar area, anterior part",left
10,3038,3056,638,719,815,"Cortical amygdalar area, anterior part",left
10,3154,3037,665,721,813,"Cortical amygdalar area, anterior part",left
10,3160,3150,668,721,846,"Cortical amygdalar area, anterior part",left
11,3087,3153,649,718,844,"Cortical amygdalar area, anterior part",left
11,2745,3012,576,714,805,"Cortical amygdalar area, anterior part",left
11,2750,3013,577,714,807,"Cortical amygdalar area, anterior part",left
11,2757,3014,578,714,806,"Cortical amygdalar area, anterior part",left
11,2759,3024,579,714,809,"Cortical amygdalar area, anterior part",left
11,2778,3059,581,713,819,"Cortical amygdalar area, anterior part",left
11,2797,3116,584,713,834,Piriform-amygdalar area,left
11,2890,3060,605,714,817,"Cortical amygdalar area, anterior part",left
11,2912,3072,610,714,820,"Cortical amygdalar area, anterior part",left
11,3034,3044,638,717,812,"Cortical amygdalar area, anterior part",left
11,3063,3047,644,718,813,"Cortical amygdalar area, anterior part",left
11,3161,3150,668,719,846,"Cortical amygdalar area, anterior part",left
13,4530,2316,998,718,629,Medulla,left
13,2696,3124,565,709,838,Piriform-amygdalar area,left
13,2746,3199,573,709,856,Piriform area,left
13,3010,3202,630,714,858,Piriform-amygdalar area,left
13,2694,3115,565,709,836,Piriform-amygdalar area,left
13,2770,2975,582,711,794,"Cortical amygdalar area, anterior part",left
