structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0.0,0.0,0.0,0.006574,0.007313,0.013887,0.0,0.0
Accessory facial motor nucleus,1.0,1.0,2.0,0.002105,0.00203,0.004135,475.05938242280286,492.61083743842363
"Accessory olfactory bulb, glomerular layer",0.0,0.0,0.0,0.0155679999999999,0.018087,0.033655,0.0,0.0
"Accessory olfactory bulb, granular layer",0.0,0.0,0.0,0.025893,0.026692,0.052585,0.0,0.0
"Accessory olfactory bulb, mitral layer",0.0,0.0,0.0,0.029434,0.032496,0.06193,0.0,0.0
Accessory supraoptic group,0.0,0.0,0.0,0.002111,0.001887,0.003998,0.0,0.0
Accessory trigeminal nucleus,0.0,0.0,0.0,0.004938,0.00411,0.009048,0.0,0.0
"Agranular insular area, dorsal part, layer 1",1.0,0.0,1.0,0.1170139999999999,0.1274229999999999,0.2444369999999999,8.545985950399105,0.0
"Agranular insular area, dorsal part, layer 2/3",3.0,0.0,3.0,0.222294,0.228405,0.4506989999999999,13.49564090798672,0.0
"Agranular insular area, dorsal part, layer 5",36.0,15.0,51.0,0.3294149999999999,0.312033,0.641448,109.28464095441923,48.0718385555374
"Agranular insular area, dorsal part, layer 6a",9.0,1.0,10.0,0.171119,0.147457,0.3185759999999999,52.59497776401218,6.781638036851421
"Agranular insular area, dorsal part, layer 6b",0.0,0.0,0.0,0.010745,0.0089509999999999,0.0196959999999999,0.0,0.0
"Agranular insular area, posterior part, layer 1",0.0,1.0,1.0,0.0875919999999999,0.102063,0.189655,0.0,9.797869943074376
"Agranular insular area, posterior part, layer 2/3",0.0,1.0,1.0,0.157791,0.1893949999999999,0.347186,0.0,5.279970432165583
"Agranular insular area, posterior part, layer 5",8.0,1.0,9.0,0.142761,0.1772379999999999,0.319999,56.03771338110548,5.642130920005871
"Agranular insular area, posterior part, layer 6a",0.0,0.0,0.0,0.081163,0.102532,0.183695,0.0,0.0
"Agranular insular area, posterior part, layer 6b",0.0,0.0,0.0,0.003462,0.004354,0.007816,0.0,0.0
"Agranular insular area, ventral part, layer 1",0.0,0.0,0.0,0.063169,0.065467,0.128636,0.0,0.0
"Agranular insular area, ventral part, layer 2/3",0.0,0.0,0.0,0.1432699999999999,0.141685,0.2849549999999999,0.0,0.0
"Agranular insular area, ventral part, layer 5",1.0,0.0,1.0,0.1550669999999999,0.14784,0.302907,6.4488253464631455,0.0
"Agranular insular area, ventral part, layer 6a",1.0,0.0,1.0,0.0409449999999999,0.0364349999999999,0.0773799999999999,24.423006472096777,0.0
"Agranular insular area, ventral part, layer 6b",0.0,0.0,0.0,0.0006219999999999,0.000529,0.001151,0.0,0.0
Anterior amygdalar area,43.0,0.0,43.0,0.108925,0.099871,0.2087959999999999,394.7670415423457,0.0
"Anterior area, layer 1",0.0,0.0,0.0,0.063166,0.051683,0.114849,0.0,0.0
"Anterior area, layer 2/3",0.0,0.0,0.0,0.090558,0.067984,0.158542,0.0,0.0
"Anterior area, layer 4",0.0,1.0,1.0,0.0281979999999999,0.020738,0.0489359999999999,0.0,48.22065772977143
"Anterior area, layer 5",208.0,178.0,386.0,0.0615159999999999,0.046436,0.1079519999999999,3381.2341504649253,3833.232836592299
"Anterior area, layer 6a",14.0,28.0,42.0,0.0381969999999999,0.029214,0.067411,366.52093096316565,958.4445813650989
"Anterior area, layer 6b",0.0,0.0,0.0,0.006705,0.0053,0.012005,0.0,0.0
"Anterior cingulate area, dorsal part, layer 1",0.0,0.0,0.0,0.173046,0.168245,0.341291,0.0,0.0
"Anterior cingulate area, dorsal part, layer 2/3",0.0,0.0,0.0,0.166564,0.1570339999999999,0.3235979999999999,0.0,0.0
"Anterior cingulate area, dorsal part, layer 5",869.0,590.0,1459.0,0.303715,0.275563,0.579278,2861.2350394284113,2141.0711888025608
"Anterior cingulate area, dorsal part, layer 6a",292.0,38.0,330.0,0.172264,0.151115,0.3233789999999999,1695.07267914364,251.46411673228997
