structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.012457,0.01427,0.026727
"Primary somatosensory area, mouth, layer 6b",0.024191999999999998,0.021738,0.04593
internal capsule,0.43189099999999997,0.406389,0.8382799999999999
Principal sensory nucleus of the trigeminal,0.18415399999999998,0.189858,0.374012
"Primary somatosensory area, trunk, layer 6a",0.038967,0.033,0.071967
"Superior colliculus, motor related, intermediate gray layer",0.43513999999999997,0.401393,0.836533
Interfascicular nucleus raphe,0.019732,0.020312,0.040043999999999996
Parataenial nucleus,0.084462,0.084507,0.16896899999999998
"Superior colliculus, motor related, intermediate white layer",0.48214199999999996,0.444754,0.9268959999999999
Induseum griseum,0.028673999999999998,0.02826,0.056934
"Entorhinal area, lateral part, layer 2",0.311857,0.37172299999999997,0.68358
Anterior amygdalar area,0.108925,0.099871,0.20879599999999998
"Superior colliculus, motor related, deep gray layer",0.286422,0.262775,0.5491969999999999
Intergeniculate leaflet of the lateral geniculate complex,0.020378,0.016795,0.037173
"Entorhinal area, lateral part, layer 6a",0.162552,0.179553,0.342105
"Periventricular hypothalamic nucleus, anterior part",0.014946,0.014299,0.029245
"Primary visual area, layer 6a",0.148995,0.129735,0.27873
Oculomotor nucleus,0.005418999999999999,0.005656,0.011074999999999998
"Gustatory areas, layer 1",0.048844,0.050123999999999995,0.098968
Paraventricular hypothalamic nucleus,0.053245,0.051569,0.10481399999999999
"posteromedial visual area, layer 2/3",0.062621,0.064958,0.127579
"Superior colliculus, motor related, deep white layer",0.080539,0.077746,0.158285
Precommissural nucleus,0.031819,0.031177,0.062996
"Entorhinal area, lateral part, layer 3",0.22941699999999998,0.26173199999999996,0.49114899999999995
medial forebrain bundle,0.01,0.01091,0.020909999999999998
Nucleus accumbens,0.783863,0.734517,1.51838
Medial terminal nucleus of the accessory optic tract,0.010999,0.010492999999999999,0.021491999999999997
Intermediodorsal nucleus of the thalamus,0.054044999999999996,0.053248,0.107293
medial longitudinal fascicle,0.035593,0.036961,0.07255400000000001
"Paraventricular hypothalamic nucleus, descending division",0.04136,0.039992,0.08135200000000001
Anterodorsal nucleus,0.07398099999999999,0.073656,0.147637
Lateral terminal nucleus of the accessory optic tract,0.004704,0.0036739999999999997,0.008378
Interstitial nucleus of Cajal,0.020415,0.02182,0.042234999999999995
"Frontal pole, layer 1",0.029588,0.042103999999999996,0.07169199999999999
Anterodorsal preoptic nucleus,0.01707,0.017123,0.034193
"Lateral visual area, layer 6a",0.026310999999999998,0.023621,0.049932
Dorsal terminal nucleus of the accessory optic tract,0.002228,0.002366,0.004594
middle cerebellar peduncle,0.201009,0.17572,0.376729
lateral ventricle,0.748945,0.767964,1.516909
Inferior olivary complex,0.060619,0.063606,0.124225
"Prelimbic area, layer 6a",0.11691599999999999,0.094608,0.211524
Anterior hypothalamic nucleus,0.20948799999999998,0.18717499999999998,0.396663
Interposed nucleus,0.095745,0.085797,0.18154199999999998
motor root of the trigeminal nerve,0.010341,0.008440999999999999,0.018782
Dorsal cochlear nucleus,0.064383,0.067699,0.13208199999999998
"Temporal association areas, layer 1",0.084561,0.088457,0.173018
subependymal zone,0.038289,0.038929,0.077218
Interpeduncular nucleus,0.0024,0.002436,0.004836
Ventral cochlear nucleus,0.104393,0.11175299999999999,0.216146
nigrostriatal tract,0.019955,0.018321999999999998,0.038277
"Superior olivary complex, medial part",0.047228,0.054660999999999994,0.101889
Inferior salivatory nucleus,0.0015379999999999999,0.001488,0.003026
choroid plexus,0.432394,0.429899,0.862293
"Primary somatosensory area, lower limb, layer 2/3",0.138439,0.12133,0.259769
"Superior olivary complex, lateral part",0.08806,0.083808,0.171868
Trochlear nucleus,0.00115,0.0012599999999999998,0.00241
optic chiasm,0.063841,0.058134,0.121975
