structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.016392999999999998,0.014652,0.031044999999999996
"Primary somatosensory area, mouth, layer 6b",0.021471999999999998,0.027214,0.04868599999999999
internal capsule,0.40687599999999996,0.413126,0.8200019999999999
Principal sensory nucleus of the trigeminal,0.188559,0.195825,0.384384
"Primary somatosensory area, trunk, layer 6a",0.032376,0.037128,0.06950400000000001
"Superior colliculus, motor related, intermediate gray layer",0.39560799999999996,0.433689,0.829297
Interfascicular nucleus raphe,0.019143,0.020714,0.039857000000000004
Parataenial nucleus,0.084175,0.083644,0.167819
"Superior colliculus, motor related, intermediate white layer",0.442704,0.47822299999999995,0.9209269999999999
Induseum griseum,0.0258,0.029127999999999998,0.054928
"Entorhinal area, lateral part, layer 2",0.395729,0.292863,0.688592
Anterior amygdalar area,0.097304,0.10607799999999999,0.203382
"Superior colliculus, motor related, deep gray layer",0.252069,0.282031,0.5341
Intergeniculate leaflet of the lateral geniculate complex,0.015453999999999999,0.021612,0.037066
"Entorhinal area, lateral part, layer 6a",0.181277,0.16741599999999998,0.348693
"Periventricular hypothalamic nucleus, anterior part",0.014123,0.014534,0.028657000000000002
"Primary visual area, layer 6a",0.123761,0.14485,0.268611
Oculomotor nucleus,0.0056949999999999995,0.005822,0.011517
"Gustatory areas, layer 1",0.052833,0.052201,0.10503399999999999
Paraventricular hypothalamic nucleus,0.048656,0.049766,0.098422
"posteromedial visual area, layer 2/3",0.062761,0.056194,0.118955
"Superior colliculus, motor related, deep white layer",0.07185799999999999,0.08076699999999999,0.15262499999999998
Precommissural nucleus,0.034475,0.033423,0.067898
"Entorhinal area, lateral part, layer 3",0.27743,0.22058799999999998,0.49801799999999996
medial forebrain bundle,0.011227,0.010870999999999999,0.022098
Nucleus accumbens,0.7426689999999999,0.8420479999999999,1.584717
Medial terminal nucleus of the accessory optic tract,0.0109,0.010778999999999999,0.021678999999999997
Intermediodorsal nucleus of the thalamus,0.052267999999999995,0.060791,0.11305899999999999
medial longitudinal fascicle,0.037819,0.037773,0.07559199999999999
"Paraventricular hypothalamic nucleus, descending division",0.037478,0.038637,0.07611499999999999
Anterodorsal nucleus,0.075375,0.078623,0.153998
Lateral terminal nucleus of the accessory optic tract,0.0033829999999999997,0.0047859999999999995,0.008169
Interstitial nucleus of Cajal,0.020985,0.020784,0.041769
"Frontal pole, layer 1",0.040253,0.031761,0.072014
Anterodorsal preoptic nucleus,0.018801,0.018408,0.037209
"Lateral visual area, layer 6a",0.023419,0.026296,0.049714999999999995
Dorsal terminal nucleus of the accessory optic tract,0.002338,0.00231,0.004647999999999999
middle cerebellar peduncle,0.17695,0.198906,0.37585599999999997
lateral ventricle,0.777038,0.7969839999999999,1.5740219999999998
Inferior olivary complex,0.074016,0.07101099999999999,0.145027
"Prelimbic area, layer 6a",0.090144,0.112964,0.203108
Anterior hypothalamic nucleus,0.17415999999999998,0.18751199999999998,0.361672
Interposed nucleus,0.102213,0.102727,0.20494
motor root of the trigeminal nerve,0.008834,0.010043999999999999,0.018878
Dorsal cochlear nucleus,0.073303,0.068176,0.141479
"Temporal association areas, layer 1",0.106084,0.085142,0.191226
subependymal zone,0.039619999999999995,0.040333999999999995,0.079954
Interpeduncular nucleus,0.002273,0.002616,0.004888999999999999
Ventral cochlear nucleus,0.126668,0.11024099999999999,0.23690899999999998
nigrostriatal tract,0.019812,0.019981,0.039792999999999995
"Superior olivary complex, medial part",0.056608,0.045745999999999995,0.102354
Inferior salivatory nucleus,0.001486,0.00163,0.003116
choroid plexus,0.43633,0.459219,0.8955489999999999
"Primary somatosensory area, lower limb, layer 2/3",0.12881299999999998,0.140102,0.268915
"Superior olivary complex, lateral part",0.084923,0.083687,0.16860999999999998
Trochlear nucleus,0.001194,0.001256,0.00245
optic chiasm,0.060826,0.06590599999999999,0.12673199999999998
"Periventricular hypothalamic nucleus, intermediate part",0.049822,0.051261999999999995,0.101084
"Agranular insular area, posterior part, layer 1",0.11588799999999999,0.094135,0.210023
"Lateral visual area, layer 6b",0.004286,0.004875,0.009160999999999999
"Superior olivary complex, periolivary region",0.0856,0.076373,0.16197299999999998
Koelliker-Fuse subnucleus,0.031827,0.029844,0.061671000000000004
optic tract,0.136046,0.169453,0.30549899999999997
"Periventricular hypothalamic nucleus, posterior part",0.017731,0.017677,0.035407999999999995
Midbrain reticular nucleus,1.358715,1.321307,2.680022
third ventricle,0.234898,0.291889,0.526787
Lateral amygdalar nucleus,0.14610199999999998,0.19166,0.337762
"Prelimbic area, layer 6b",0.004573,0.005791,0.010364
"Periventricular hypothalamic nucleus, preoptic part",0.025849,0.029266,0.055115
Intermediate reticular nucleus,0.8620479999999999,0.866224,1.728272
"Entorhinal area, lateral part, layer 5",0.268611,0.232729,0.50134
cerebral aqueduct,0.06340699999999999,0.075884,0.139291
"Nucleus ambiguus, ventral division",0.005619,0.0045449999999999996,0.010164
fourth ventricle,0.14951399999999998,0.14225,0.29176399999999997
Pontine reticular nucleus,0.610738,0.6388929999999999,1.249631
Locus ceruleus,0.0031119999999999997,0.002875,0.005986999999999999
"Gustatory areas, layer 4",0.037506,0.035536,0.073042
Paraventricular nucleus of the thalamus,0.129207,0.141838,0.271045
lateral recess,0.059681,0.059504999999999995,0.11918599999999999
Lateral dorsal nucleus of thalamus,0.381195,0.386509,0.7677039999999999
"Dorsal auditory area, layer 6a",0.027693,0.030896,0.058589
posterior commissure,0.012835,0.013649,0.026484
Anterior olfactory nucleus,0.8092189999999999,0.873161,1.6823799999999998
Laterodorsal tegmental nucleus,0.042647,0.042609,0.085256
"Agranular insular area, posterior part, layer 2/3",0.209422,0.16613,0.375552
"central canal, spinal cord/medulla",1.9999999999999998e-05,0.000187,0.000207
Nucleus prepositus,0.074748,0.074344,0.149092
"Prelimbic area, layer 1",0.110965,0.11863299999999999,0.22959799999999997
Retrochiasmatic area,0.04269,0.043912,0.086602
Nucleus of Roller,0.008647,0.008635,0.017282
Ventral part of the lateral geniculate complex,0.090822,0.13980099999999998,0.23062299999999997
"Gustatory areas, layer 2/3",0.104602,0.101255,0.205857
Nucleus of reuniens,0.135233,0.140955,0.276188
Lateral habenula,0.061445,0.060454999999999995,0.1219
"Gustatory areas, layer 5",0.134016,0.128474,0.26249
"Accessory olfactory bulb, glomerular layer",0.016191,0.01685,0.033041
Rhomboid nucleus,0.035414999999999995,0.040443,0.075858
pyramid,0.112118,0.103808,0.215926
Lateral hypothalamic area,0.42139099999999996,0.407116,0.8285069999999999
"Accessory olfactory bulb, granular layer",0.023417,0.025664,0.049081
