structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.018012999999999998,0.013977,0.03199
"Primary somatosensory area, mouth, layer 6b",0.022378,0.039894,0.062271999999999994
internal capsule,0.480913,0.497098,0.978011
Principal sensory nucleus of the trigeminal,0.208872,0.170177,0.37904899999999997
"Primary somatosensory area, trunk, layer 6a",0.039646,0.03863,0.078276
"Superior colliculus, motor related, intermediate gray layer",0.432376,0.42883,0.8612059999999999
Interfascicular nucleus raphe,0.018921,0.020690999999999998,0.039611999999999994
Parataenial nucleus,0.109329,0.110857,0.220186
"Superior colliculus, motor related, intermediate white layer",0.48124799999999995,0.49112999999999996,0.972378
Induseum griseum,0.026085999999999998,0.029143,0.055229
"Entorhinal area, lateral part, layer 2",0.36675199999999997,0.245325,0.612077
Anterior amygdalar area,0.042568999999999996,0.040789,0.08335799999999999
"Superior colliculus, motor related, deep gray layer",0.27627999999999997,0.30494,0.58122
Intergeniculate leaflet of the lateral geniculate complex,0.016831,0.020767,0.037598
"Entorhinal area, lateral part, layer 6a",0.17396699999999998,0.19257,0.366537
"Periventricular hypothalamic nucleus, anterior part",0.017759,0.019303999999999998,0.037063
"Primary visual area, layer 6a",0.15065,0.155635,0.30628500000000003
Oculomotor nucleus,0.006919,0.00694,0.013859
"Gustatory areas, layer 1",0.069621,0.032875,0.102496
Paraventricular hypothalamic nucleus,0.068406,0.07148199999999999,0.13988799999999998
"posteromedial visual area, layer 2/3",0.046884999999999996,0.040213,0.087098
"Superior colliculus, motor related, deep white layer",0.076532,0.086333,0.16286499999999998
Precommissural nucleus,0.03403,0.035574,0.069604
"Entorhinal area, lateral part, layer 3",0.281103,0.21903999999999998,0.500143
medial forebrain bundle,0.010021,0.009181,0.019202
Nucleus accumbens,0.846665,1.032409,1.879074
Medial terminal nucleus of the accessory optic tract,0.009925,0.009911999999999999,0.019837
Intermediodorsal nucleus of the thalamus,0.044982,0.052149,0.097131
medial longitudinal fascicle,0.037675,0.037776,0.07545099999999999
"Paraventricular hypothalamic nucleus, descending division",0.048198,0.043676,0.091874
Anterodorsal nucleus,0.080622,0.064127,0.14474900000000002
Lateral terminal nucleus of the accessory optic tract,0.003457,0.0048779999999999995,0.008334999999999999
Interstitial nucleus of Cajal,0.021452,0.021011,0.042463
"Frontal pole, layer 1",0.032803,0.031601,0.06440399999999999
Anterodorsal preoptic nucleus,0.020361,0.022928999999999998,0.043289999999999995
"Lateral visual area, layer 6a",0.025115,0.032221,0.057336
Dorsal terminal nucleus of the accessory optic tract,0.002669,0.002315,0.004984
middle cerebellar peduncle,0.192712,0.202509,0.395221
lateral ventricle,0.966313,0.8059339999999999,1.772247
Inferior olivary complex,0.077119,0.081896,0.159015
"Prelimbic area, layer 6a",0.064112,0.084592,0.148704
Anterior hypothalamic nucleus,0.20740599999999998,0.251114,0.45852
Interposed nucleus,0.11326,0.107101,0.220361
motor root of the trigeminal nerve,0.010961,0.010515,0.021476000000000002
Dorsal cochlear nucleus,0.062591,0.077376,0.139967
"Temporal association areas, layer 1",0.086572,0.047234,0.13380599999999998
subependymal zone,0.049731,0.044883,0.094614
Interpeduncular nucleus,0.002067,0.002461,0.004528
Ventral cochlear nucleus,0.112204,0.11047399999999999,0.222678
nigrostriatal tract,0.022664999999999998,0.017796,0.040461
"Superior olivary complex, medial part",0.06981899999999999,0.044622999999999996,0.11444199999999999
Inferior salivatory nucleus,0.001193,0.00155,0.0027429999999999998
choroid plexus,0.48597999999999997,0.39866399999999996,0.884644
"Primary somatosensory area, lower limb, layer 2/3",0.17148,0.135901,0.307381
"Superior olivary complex, lateral part",0.11845499999999999,0.058054999999999995,0.17651
Trochlear nucleus,0.0013679999999999999,0.001374,0.0027419999999999996
optic chiasm,0.0026279999999999997,0.002913,0.005540999999999999
"Periventricular hypothalamic nucleus, intermediate part",0.057953,0.057907999999999994,0.11586099999999999
