structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.022379,0.018234,0.040612999999999996
"Primary somatosensory area, mouth, layer 6b",0.027368,0.035056,0.06242399999999999
internal capsule,0.49873999999999996,0.507355,1.006095
Principal sensory nucleus of the trigeminal,0.216617,0.20193799999999998,0.418555
"Primary somatosensory area, trunk, layer 6a",0.027594,0.030886999999999998,0.058481
"Superior colliculus, motor related, intermediate gray layer",0.420935,0.43720299999999995,0.858138
Interfascicular nucleus raphe,0.01944,0.020891,0.040331
Parataenial nucleus,0.10222099999999999,0.103491,0.205712
"Superior colliculus, motor related, intermediate white layer",0.463093,0.491457,0.95455
Induseum griseum,0.027318,0.029521,0.056839
"Entorhinal area, lateral part, layer 2",0.321887,0.277768,0.599655
Anterior amygdalar area,0.06838999999999999,0.067533,0.135923
"Superior colliculus, motor related, deep gray layer",0.272945,0.29523699999999997,0.568182
Intergeniculate leaflet of the lateral geniculate complex,0.018317,0.021412999999999998,0.03973
"Entorhinal area, lateral part, layer 6a",0.165882,0.177586,0.343468
"Periventricular hypothalamic nucleus, anterior part",0.011124,0.011673,0.022796999999999998
"Primary visual area, layer 6a",0.15199,0.17962,0.33160999999999996
Oculomotor nucleus,0.0070409999999999995,0.006914,0.013954999999999999
"Gustatory areas, layer 1",0.053015,0.043109,0.096124
Paraventricular hypothalamic nucleus,0.055097999999999994,0.060433,0.115531
"posteromedial visual area, layer 2/3",0.039374,0.039616,0.07899
"Superior colliculus, motor related, deep white layer",0.080135,0.082943,0.163078
Precommissural nucleus,0.03473,0.036111,0.07084099999999999
"Entorhinal area, lateral part, layer 3",0.23694099999999998,0.224854,0.46179499999999996
medial forebrain bundle,0.012532,0.010303,0.022835
Nucleus accumbens,0.8580789999999999,0.941237,1.799316
Medial terminal nucleus of the accessory optic tract,0.010683,0.011183,0.021866
Intermediodorsal nucleus of the thalamus,0.045701,0.052362,0.098063
medial longitudinal fascicle,0.032456,0.031936,0.064392
"Paraventricular hypothalamic nucleus, descending division",0.041509,0.044421999999999996,0.085931
Anterodorsal nucleus,0.070672,0.059147,0.129819
Lateral terminal nucleus of the accessory optic tract,0.004274,0.004685,0.008959
Interstitial nucleus of Cajal,0.022799999999999997,0.021811999999999998,0.044612
"Frontal pole, layer 1",0.039123,0.032971,0.07209399999999999
Anterodorsal preoptic nucleus,0.020425,0.022581,0.043006
"Lateral visual area, layer 6a",0.03263,0.036617,0.069247
Dorsal terminal nucleus of the accessory optic tract,0.0025399999999999997,0.002131,0.004671
middle cerebellar peduncle,0.191828,0.21412099999999998,0.405949
lateral ventricle,0.9790169999999999,0.8059419999999999,1.7849589999999997
Inferior olivary complex,0.07983599999999999,0.09120199999999999,0.17103799999999997
"Prelimbic area, layer 6a",0.07628299999999999,0.098962,0.17524499999999998
Anterior hypothalamic nucleus,0.165599,0.194983,0.36058199999999996
Interposed nucleus,0.1294,0.14166199999999998,0.27106199999999997
motor root of the trigeminal nerve,0.009289,0.010142,0.019431
Dorsal cochlear nucleus,0.062998,0.08338899999999999,0.146387
"Temporal association areas, layer 1",0.09851,0.091267,0.189777
subependymal zone,0.050248,0.041482,0.09173
Interpeduncular nucleus,0.0023109999999999997,0.002493,0.004803999999999999
Ventral cochlear nucleus,0.111077,0.116591,0.22766799999999998
nigrostriatal tract,0.023268999999999998,0.01954,0.042809
"Superior olivary complex, medial part",0.061466999999999994,0.06489199999999999,0.126359
Inferior salivatory nucleus,0.001377,0.001691,0.003068
choroid plexus,0.47642799999999996,0.42205,0.8984779999999999
"Primary somatosensory area, lower limb, layer 2/3",0.108335,0.098189,0.20652399999999999
"Superior olivary complex, lateral part",0.100142,0.07500899999999999,0.175151
Trochlear nucleus,0.001411,0.001334,0.002745
"Periventricular hypothalamic nucleus, intermediate part",0.051002,0.052791,0.103793
"Agranular insular area, posterior part, layer 1",0.110037,0.083899,0.193936
"Lateral visual area, layer 6b",0.005993,0.0068119999999999995,0.012805
"Superior olivary complex, periolivary region",0.102033,0.095913,0.197946
Koelliker-Fuse subnucleus,0.030574999999999998,0.035026,0.06560099999999999
optic tract,0.11462399999999999,0.11508499999999999,0.229709
"Periventricular hypothalamic nucleus, posterior part",0.027181999999999998,0.027051,0.054232999999999996
Midbrain reticular nucleus,1.328635,1.3766289999999999,2.7052639999999997
third ventricle,0.303011,0.34537999999999996,0.6483909999999999
Lateral amygdalar nucleus,0.168628,0.219302,0.38793
"Prelimbic area, layer 6b",0.003836,0.005042,0.008878
"Periventricular hypothalamic nucleus, preoptic part",0.029289,0.034513999999999996,0.063803
Intermediate reticular nucleus,0.73274,0.94173,1.67447
"Entorhinal area, lateral part, layer 5",0.241584,0.247221,0.488805
cerebral aqueduct,0.069175,0.077887,0.147062
"Nucleus ambiguus, ventral division",0.003704,0.004898,0.008601999999999999
fourth ventricle,0.14382499999999998,0.14578,0.289605
Pontine reticular nucleus,0.652995,0.753231,1.406226
Locus ceruleus,0.0033799999999999998,0.00325,0.00663
"Gustatory areas, layer 4",0.034846999999999996,0.032646999999999995,0.067494
Paraventricular nucleus of the thalamus,0.162345,0.172728,0.33507299999999995
lateral recess,0.065108,0.076001,0.14110899999999998
Lateral dorsal nucleus of thalamus,0.364763,0.386659,0.751422
"Dorsal auditory area, layer 6a",0.033838,0.048055999999999995,0.081894
posterior commissure,0.012499,0.013529999999999999,0.026028999999999997
Anterior olfactory nucleus,0.852622,0.9512609999999999,1.803883
Laterodorsal tegmental nucleus,0.050137,0.045259999999999995,0.095397
"Agranular insular area, posterior part, layer 2/3",0.194609,0.158306,0.352915
"central canal, spinal cord/medulla",1.1e-05,0.000203,0.000214
Nucleus prepositus,0.044883,0.049631999999999996,0.09451499999999999
"Prelimbic area, layer 1",0.093372,0.113231,0.20660299999999998
Retrochiasmatic area,0.001931,0.001584,0.003515
Nucleus of Roller,0.005961,0.007068,0.013028999999999999
Ventral part of the lateral geniculate complex,0.11104699999999999,0.146152,0.257199
"Gustatory areas, layer 2/3",0.099662,0.088207,0.187869
Nucleus of reuniens,0.166092,0.184144,0.350236
Lateral habenula,0.065528,0.063691,0.129219
"Gustatory areas, layer 5",0.126221,0.127854,0.254075
"Accessory olfactory bulb, glomerular layer",0.017605,0.013215,0.03082
Rhomboid nucleus,0.043989,0.047719,0.091708
pyramid,0.11896699999999999,0.12559299999999998,0.24455999999999997
Lateral hypothalamic area,0.457261,0.46968099999999996,0.9269419999999999
"Accessory olfactory bulb, granular layer",0.027871999999999997,0.021546,0.049418
Rostral linear nucleus raphe,0.011009999999999999,0.0139,0.024909999999999998
pyramidal decussation,0.006344,0.007346,0.01369
"Primary somatosensory area, barrel field, layer 2/3",0.319894,0.354685,0.674579
Medial vestibular nucleus,0.381936,0.453219,0.835155
Linear nucleus of the medulla,0.017145999999999998,0.022343,0.039488999999999996
"Accessory olfactory bulb, mitral layer",0.031958,0.02436,0.056318
Nucleus raphe magnus,0.022730999999999998,0.034081,0.056812
Area postrema,0.015547,0.018261,0.033808
Lateral vestibular nucleus,0.04503,0.05651,0.10153999999999999
Lateral mammillary nucleus,0.015955999999999998,0.013205999999999999,0.029161999999999997
"Anterior cingulate area, dorsal part, layer 2/3",0.16403099999999998,0.158391,0.322422
Red nucleus,0.220501,0.230032,0.45053299999999996
Anterior pretectal nucleus,0.33557699999999996,0.32808499999999996,0.663662
Superior vestibular nucleus,0.069496,0.073459,0.142955
Lateral posterior nucleus of the thalamus,0.311639,0.330822,0.642461
Nucleus raphe obscurus,0.0049499999999999995,0.009913,0.014863
Arcuate hypothalamic nucleus,0.022924999999999997,0.024759,0.047684
Spinal vestibular nucleus,0.149536,0.19117499999999998,0.340711
Lateral preoptic area,0.129547,0.14774099999999998,0.277288
sensory root of the trigeminal nerve,0.115713,0.087448,0.20316099999999998
Nucleus raphe pallidus,0.010269,0.015519999999999999,0.025789
Anterior tegmental nucleus,0.010766,0.01002,0.020786
"Anterolateral visual area, layer 5",0.033701,0.038735,0.072436
"Temporal association areas, layer 4",0.053696999999999995,0.052138,0.10583499999999998
solitary tract,0.002183,0.0029119999999999997,0.005095
Nucleus raphe pontis,0.019486,0.019996,0.039482
"Dorsal auditory area, layer 6b",0.005431,0.007672,0.013103
"Midbrain reticular nucleus, retrorubral area",0.040123,0.047932999999999996,0.088056
"Posterior auditory area, layer 6a",0.012487,0.014603,0.02709
"Lateral septal nucleus, caudal (caudodorsal) part",0.20643399999999998,0.17098,0.37741399999999997
"Primary auditory area, layer 2/3",0.07931099999999999,0.084309,0.16362
"Dorsal auditory area, layer 5",0.064146,0.08442899999999999,0.14857499999999998
Anteroventral nucleus of thalamus,0.17343999999999998,0.172452,0.345892
"posteromedial visual area, layer 6a",0.016766,0.019993999999999998,0.03676
"Lateral septal nucleus, rostral (rostroventral) part",0.38689399999999996,0.38228999999999996,0.7691839999999999
"Nucleus of the lateral olfactory tract, molecular layer",0.00027,6e-06,0.000276
Reticular nucleus of the thalamus,0.390868,0.42644099999999996,0.817309
Anteroventral preoptic nucleus,0.02208,0.025525,0.047604999999999995
"Lateral septal nucleus, ventral part",0.121484,0.13799699999999998,0.25948099999999996
"Nucleus of the lateral olfactory tract, pyramidal layer",0.008401,0.00174,0.010141
"Posterolateral visual area, layer 2/3",0.041063999999999996,0.039332,0.080396
Nucleus sagulum,0.020968,0.023289,0.044257000000000005
Anteroventral periventricular nucleus,0.040633999999999997,0.043711,0.084345
"Retrosplenial area, dorsal part, layer 6a",0.101808,0.120072,0.22188
"Retrosplenial area, lateral agranular part, layer 6b",0.003894,0.004687,0.008581
Barrington's nucleus,0.0038599999999999997,0.003617,0.007476999999999999
"Anteromedial visual area, layer 1",0.018073,0.015413999999999999,0.033486999999999996
Suprachiasmatic nucleus,0.001009,0.001129,0.002138
Bed nucleus of the anterior commissure,0.0016879999999999998,0.00173,0.003418
"Orbital area, ventrolateral part, layer 2/3",0.06447599999999999,0.054393,0.11886899999999999
"Temporal association areas, layer 5",0.158153,0.165552,0.323705
Bed nucleus of the accessory olfactory tract,2.7e-05,0.0,2.7e-05
"Anterior cingulate area, ventral part, layer 2/3",0.131973,0.12465699999999999,0.25663
Magnocellular nucleus,0.036379,0.031501,0.06788
stria terminalis,0.08276299999999999,0.101494,0.184257
"Basolateral amygdalar nucleus, anterior part",0.13697499999999999,0.18645899999999999,0.323434
"Prelimbic area, layer 2/3",0.074833,0.08889799999999999,0.163731
"Primary visual area, layer 6b",0.023368999999999997,0.027242,0.050610999999999996
Magnocellular reticular nucleus,0.14099399999999998,0.154047,0.295041
Septofimbrial nucleus,0.12600999999999998,0.132029,0.258039
"Basolateral amygdalar nucleus, posterior part",0.133923,0.166146,0.300069
Midbrain,1.614577,1.640091,3.2546679999999997
"Agranular insular area, posterior part, layer 6a",0.09802899999999999,0.09664299999999999,0.19467199999999998
Supragenual nucleus,0.003477,0.0032029999999999997,0.00668
"Primary motor area, Layer 1",0.355241,0.332725,0.687966
Subgeniculate nucleus,0.00752,0.008262,0.015782
Suprageniculate nucleus,0.040108,0.038298,0.078406
superior cerebelar peduncles,0.09608599999999999,0.086767,0.182853
"Basomedial amygdalar nucleus, anterior part",0.15006999999999998,0.141951,0.292021
"Agranular insular area, dorsal part, layer 2/3",0.210247,0.191601,0.401848
"Retrosplenial area, dorsal part, layer 6b",0.0038529999999999997,0.004628,0.008480999999999999
Accessory supraoptic group,0.001627,0.001934,0.003561
Septohippocampal nucleus,0.006121,0.005906,0.012027
"Basomedial amygdalar nucleus, posterior part",0.14182599999999998,0.181034,0.32286
"Perirhinal area, layer 6a",0.008953,0.008498,0.017451
superior colliculus commissure,0.008010999999999999,0.008147999999999999,0.016159
Subfornical organ,0.008235,0.009479,0.017714
Substantia innominata,0.5614819999999999,0.5895079999999999,1.1509899999999997
"Agranular insular area, posterior part, layer 5",0.174034,0.155045,0.329079
Subparaventricular zone,0.025584,0.029094,0.054678
supraoptic commissures,0.003601,0.00332,0.006921
Subceruleus nucleus,0.0063219999999999995,0.006303,0.012624999999999999
Bed nuclei of the stria terminalis,0.311388,0.335804,0.647192
Medulla,0.971032,1.046746,2.017778
"Agranular insular area, posterior part, layer 6b",0.0044139999999999995,0.004778999999999999,0.009193
