structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.017804,0.015761999999999998,0.033566
"Primary somatosensory area, mouth, layer 6b",0.023694,0.024821,0.048515
internal capsule,0.449297,0.467763,0.91706
Principal sensory nucleus of the trigeminal,0.187363,0.173427,0.36079
"Primary somatosensory area, trunk, layer 6a",0.048094,0.053055,0.10114899999999999
"Superior colliculus, motor related, intermediate gray layer",0.44139999999999996,0.44495799999999996,0.886358
Interfascicular nucleus raphe,0.01706,0.018546999999999998,0.035607
Parataenial nucleus,0.084534,0.083054,0.16758800000000001
"Superior colliculus, motor related, intermediate white layer",0.5232939999999999,0.528602,1.051896
Induseum griseum,0.027617,0.030875,0.058492
"Entorhinal area, lateral part, layer 2",0.364473,0.337628,0.702101
Anterior amygdalar area,0.121566,0.113006,0.234572
"Superior colliculus, motor related, deep gray layer",0.32758,0.330682,0.6582619999999999
Intergeniculate leaflet of the lateral geniculate complex,0.021248,0.021176999999999998,0.042425
"Entorhinal area, lateral part, layer 6a",0.189212,0.163933,0.353145
"Periventricular hypothalamic nucleus, anterior part",0.020933999999999998,0.021168,0.042102
"Primary visual area, layer 6a",0.16399999999999998,0.163157,0.327157
Oculomotor nucleus,0.006593,0.006653,0.013246
"Gustatory areas, layer 1",0.064001,0.053885999999999996,0.11788699999999999
Paraventricular hypothalamic nucleus,0.058004999999999994,0.058133,0.11613799999999999
"posteromedial visual area, layer 2/3",0.047467999999999996,0.012060999999999999,0.059529
"Superior colliculus, motor related, deep white layer",0.09250399999999999,0.092142,0.18464599999999998
Precommissural nucleus,0.03562,0.036116999999999996,0.071737
"Entorhinal area, lateral part, layer 3",0.273852,0.24431399999999998,0.5181659999999999
medial forebrain bundle,0.011334,0.010109,0.021443
Nucleus accumbens,0.762705,0.769918,1.532623
Medial terminal nucleus of the accessory optic tract,0.011415999999999999,0.010156,0.021572
Intermediodorsal nucleus of the thalamus,0.047951,0.055306999999999995,0.10325799999999999
medial longitudinal fascicle,0.036701,0.037305,0.07400599999999999
"Paraventricular hypothalamic nucleus, descending division",0.036234999999999996,0.037459,0.073694
Anterodorsal nucleus,0.059343999999999994,0.073602,0.132946
Lateral terminal nucleus of the accessory optic tract,0.004986,0.004292,0.009278
Interstitial nucleus of Cajal,0.023920999999999998,0.022897999999999998,0.046819
"Frontal pole, layer 1",0.046124,0.059184999999999995,0.10530899999999999
Anterodorsal preoptic nucleus,0.017974999999999998,0.019046999999999998,0.037022
"Lateral visual area, layer 6a",0.030528999999999997,0.030777,0.061306
Dorsal terminal nucleus of the accessory optic tract,0.0023409999999999998,0.0025729999999999998,0.004914
middle cerebellar peduncle,0.22566899999999998,0.224885,0.450554
lateral ventricle,0.8537469999999999,1.1167669999999998,1.9705139999999997
Inferior olivary complex,0.087449,0.09369799999999999,0.181147
"Prelimbic area, layer 6a",0.067505,0.07235,0.139855
Anterior hypothalamic nucleus,0.248974,0.23174499999999998,0.480719
Interposed nucleus,0.22042299999999998,0.20954299999999998,0.42996599999999996
motor root of the trigeminal nerve,0.010789,0.01315,0.023939000000000002
Dorsal cochlear nucleus,0.08415,0.082135,0.16628500000000002
"Temporal association areas, layer 1",0.113023,0.125757,0.23878
subependymal zone,0.0515,0.059380999999999996,0.110881
