coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
5,1407,503,593,739,273,Piriform-amygdalar area,right
5,1435,450,605,735,242,Piriform area,right
5,1393,469,586,735,255,Piriform area,right
5,1414,539,595,741,293,Piriform-amygdalar area,right
5,1485,429,631,736,228,Piriform area,right
5,1546,564,662,744,305,"Cortical amygdalar area, anterior part",right
5,1392,494,586,737,268,Piriform-amygdalar area,right
5,1402,542,591,741,295,Piriform-amygdalar area,right
5,1403,504,590,738,273,Piriform-amygdalar area,right
5,1408,490,592,738,266,Piriform-amygdalar area,right
5,1428,472,602,737,253,Piriform-amygdalar area,right
5,1430,587,603,745,321,Olfactory areas,right
5,1432,515,604,740,277,Piriform-amygdalar area,right
5,1434,517,604,740,279,Piriform-amygdalar area,right
5,1435,510,605,740,274,Piriform-amygdalar area,right
5,1440,453,608,736,243,Piriform area,right
5,1442,467,608,737,250,Piriform-amygdalar area,right
5,1444,456,609,736,244,Piriform area,right
5,1444,495,609,739,267,Piriform-amygdalar area,right
5,1445,522,610,741,281,Piriform-amygdalar area,right
5,1446,492,610,739,264,Piriform-amygdalar area,right
5,1454,460,614,737,247,Piriform-amygdalar area,right
5,1459,443,616,736,237,Piriform area,right
5,1466,562,620,743,306,"Cortical amygdalar area, anterior part",right
5,1468,475,621,738,254,Piriform-amygdalar area,right
5,1468,588,621,745,321,Olfactory areas,right
5,1472,486,623,739,260,Piriform-amygdalar area,right
5,1485,490,631,740,262,Piriform-amygdalar area,right
5,1493,526,635,742,284,Piriform-amygdalar area,right
5,1496,577,636,744,314,"Cortical amygdalar area, anterior part",right
5,1499,557,637,743,302,"Cortical amygdalar area, anterior part",right
5,1502,476,638,739,253,Piriform-amygdalar area,right
5,1502,454,638,738,240,Piriform-amygdalar area,right
5,1501,533,639,742,288,Piriform-amygdalar area,right
5,1502,562,639,743,305,"Cortical amygdalar area, anterior part",right
