structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0.0,0.0,0.0,0.007052,0.0073609999999999,0.0144129999999999,0.0,0.0
Accessory facial motor nucleus,1.0,0.0,1.0,0.001795,0.002578,0.004373,557.1030640668524,0.0
"Accessory olfactory bulb, glomerular layer",0.0,0.0,0.0,0.0209619999999999,0.0172569999999999,0.0382189999999999,0.0,0.0
"Accessory olfactory bulb, granular layer",0.0,0.0,0.0,0.025574,0.021167,0.046741,0.0,0.0
"Accessory olfactory bulb, mitral layer",0.0,0.0,0.0,0.0360189999999999,0.0295369999999999,0.0655559999999999,0.0,0.0
Accessory supraoptic group,0.0,0.0,0.0,0.002166,0.002314,0.00448,0.0,0.0
Accessory trigeminal nucleus,0.0,0.0,0.0,0.004079,0.003999,0.008078,0.0,0.0
"Agranular insular area, dorsal part, layer 1",0.0,0.0,0.0,0.154993,0.1156219999999999,0.270615,0.0,0.0
"Agranular insular area, dorsal part, layer 2/3",1.0,0.0,1.0,0.244856,0.215002,0.459858,4.084033064331689,0.0
"Agranular insular area, dorsal part, layer 5",13.0,3.0,16.0,0.2927929999999999,0.27734,0.570133,44.39996857848379,10.817047667123388
"Agranular insular area, dorsal part, layer 6a",0.0,6.0,6.0,0.139509,0.143904,0.283413,0.0,41.694462975316874
"Agranular insular area, dorsal part, layer 6b",0.0,0.0,0.0,0.008586,0.009115,0.017701,0.0,0.0
"Agranular insular area, posterior part, layer 1",2.0,4.0,6.0,0.136315,0.1361,0.2724149999999999,14.671899644206434,29.390154298310065
"Agranular insular area, posterior part, layer 2/3",0.0,0.0,0.0,0.2367199999999999,0.230265,0.466985,0.0,0.0
"Agranular insular area, posterior part, layer 5",2.0,0.0,2.0,0.196126,0.193409,0.3895349999999999,10.19752608017295,0.0
"Agranular insular area, posterior part, layer 6a",0.0,0.0,0.0,0.102834,0.103907,0.206741,0.0,0.0
"Agranular insular area, posterior part, layer 6b",0.0,0.0,0.0,0.004176,0.0045449999999999,0.008721,0.0,0.0
"Agranular insular area, ventral part, layer 1",0.0,0.0,0.0,0.0648909999999999,0.0617,0.1265909999999999,0.0,0.0
"Agranular insular area, ventral part, layer 2/3",0.0,0.0,0.0,0.128305,0.1285089999999999,0.256814,0.0,0.0
"Agranular insular area, ventral part, layer 5",0.0,1.0,1.0,0.13143,0.1246729999999999,0.2561029999999999,0.0,8.0209828912435
"Agranular insular area, ventral part, layer 6a",0.0,0.0,0.0,0.032774,0.034766,0.0675399999999999,0.0,0.0
"Agranular insular area, ventral part, layer 6b",0.0,0.0,0.0,0.000507,0.000502,0.001009,0.0,0.0
Anterior amygdalar area,9.0,282.0,291.0,0.1185939999999999,0.1273399999999999,0.2459339999999999,75.88916808607524,2214.5437411653857
"Anterior area, layer 1",0.0,18.0,18.0,6.9e-05,0.0215719999999999,0.0216409999999999,0.0,834.4149823845764
"Anterior area, layer 2/3",9.0,47.0,56.0,0.014292,0.059058,0.07335,629.7229219143577,795.8278302685495
"Anterior area, layer 4",10.0,2.0,12.0,0.022772,0.022709,0.045481,439.1357807834182,88.07080893038003
"Anterior area, layer 5",442.0,172.0,614.0,0.075893,0.055262,0.131155,5823.989037197106,3112.4461655387067
"Anterior area, layer 6a",247.0,99.0,346.0,0.0512889999999999,0.037785,0.0890739999999999,4815.847452670173,2620.0873362445413
"Anterior area, layer 6b",0.0,0.0,0.0,0.009002,0.006834,0.015836,0.0,0.0
"Anterior cingulate area, dorsal part, layer 1",0.0,0.0,0.0,0.147845,0.151411,0.2992559999999999,0.0,0.0
"Anterior cingulate area, dorsal part, layer 2/3",0.0,0.0,0.0,0.131647,0.1389709999999999,0.2706179999999999,0.0,0.0
"Anterior cingulate area, dorsal part, layer 5",107.0,476.0,583.0,0.2262769999999999,0.239472,0.4657489999999999,472.871745692227,1987.7062871650967
"Anterior cingulate area, dorsal part, layer 6a",11.0,3.0,14.0,0.142896,0.147446,0.290342,76.9790616952189,20.346431914056673
"Anterior cingulate area, dorsal part, layer 6b",0.0,0.0,0.0,0.006123,0.0061049999999999,0.012228,0.0,0.0
