brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp,,brain,structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3,Total Cell Comp
,Midbrain reticular nucleus,337,233,570,0.002098,0.002166,0.004264,0,0,,,Midbrain reticular nucleus,666,697,1363,0.041067,0.040493,0.08156,0,0,-793,,,Midbrain reticular nucleus,1425,1448,2873,0.040327,0.037002,0.077329,0,0,-2303,,,Midbrain reticular nucleus,312,645,957,3.854674,3.956517,7.811191,80.94069693,163.0221733,-387,,,Midbrain reticular nucleus,943,1447,2390,4.18977,4.219279,8.409049,225.0720207,342.9495893,-1820,,,Midbrain reticular nucleus,205,321,526,4.18977,4.219279,8.409049,48.92870014,76.0793491,44
,Gigantocellular reticular nucleus,3215,3348,6563,0.067586,0.07119,0.138776,0,0,,,Gigantocellular reticular nucleus,2427,2744,5171,0.7693220000000001,0.764556,1.533878,0,0,1392,,,Gigantocellular reticular nucleus,4773,3947,8720,1.57624,1.1393,2.71554,0,0,-2157,,,Gigantocellular reticular nucleus,2435,2265,4700,3.155626,3.162888,6.318514,771.6377036,716.1176747,1863,,,Gigantocellular reticular nucleus,3456,2287,5743,1.587231,1.567979,3.15521,2177.376828,1458.565453,820,,,Gigantocellular reticular nucleus,2756,4189,6945,1.587231,1.567979,3.15521,1736.357216,2671.591903,-382
,"Supplemental somatosensory area, layer 5",1389,835,2224,0.278274,0.251907,0.530181,3.593580428,0,,,"Supplemental somatosensory area, layer 5",0,0,0,0.16430699999999998,0.16699799999999998,0.331305,0,0,2224,,,"Supplemental somatosensory area, layer 5",1655,2445,4100,0.206985,0.250529,0.457514,0,0,-1876,,,"Supplemental somatosensory area, layer 5",27,35,62,0.937049,1.045793,1.982842,28.81386139,33.46742615,2162,,,"Supplemental somatosensory area, layer 5",3,2,5,0.833261,0.94428,1.777541,3.600312507,2.118015843,2219,,,"Supplemental somatosensory area, layer 5",0,0,0,0.833261,0.94428,1.777541,0,0,2224
,Periaqueductal gray,49,39,88,0.014411,0.017293,0.031704,0,0,,,Periaqueductal gray,96,73,169,1.4864229999999998,1.5371540000000001,3.0235769999999995,517.3493682484731,502.87739549843405,-81,,,Periaqueductal gray,891,708,1599,1.795614,2.235062,4.030676,468.3634679,348.0887779,-1511,,,Periaqueductal gray,533,479,1012,3.760379,3.964942,7.725321,141.741032,120.808829,-924,,,Periaqueductal gray,433,386,819,2.767495,2.811521,5.579016,156.4591806,137.2922343,-731,,,Periaqueductal gray,26,15,41,2.767495,2.811521,5.579016,9.394777588,5.335190454,47
,"Primary somatosensory area, upper limb, layer 6a",96,21,117,0.164233,0.25595,0.420183,1771.872888,39.07013088,,,"Primary somatosensory area, upper limb, layer 6a",0,0,0,0.37542800000000004,0.375292,0.7507199999999999,0,0,117,,,"Primary somatosensory area, upper limb, layer 6a",302,654,956,0.61473,0.682618,1.297348,0,1.464948185,-839,,,"Primary somatosensory area, upper limb, layer 6a",0,0,0,0.928988,0.816813,1.745801,0,0,117,,,"Primary somatosensory area, upper limb, layer 6a",228,1373,1601,0.82252,0.715908,1.538428,277.1969071,1917.844192,-1484,,,"Primary somatosensory area, upper limb, layer 6a",0,0,0,0.82252,0.715908,1.538428,0,0,117
,Medial vestibular nucleus,270,251,521,0.009045,0.009086,0.018131,0,0,,,Medial vestibular nucleus,29,41,70,0.8166749999999999,0.848499,1.6651740000000002,0,0,451,,,Medial vestibular nucleus,606,744,1350,1.062564,1.229986,2.29255,16.94015608,0,-829,,,Medial vestibular nucleus,11,21,32,1.518826,1.691959,3.210785,7.242435934,12.41164827,489,,,Medial vestibular nucleus,802,965,1767,1.24239,1.29217,2.53456,645.5299866,746.8057609,-1246,,,Medial vestibular nucleus,23,34,57,1.24239,1.29217,2.53456,18.51270535,26.31232733,464
,Red nucleus,480,178,658,0.057333,0.064226,0.121559,156.9776568,358.1104226,,,Red nucleus,1150,1022,2172,0.026141,0.02617,0.052311,0,76.42338555598013,-1514,,,Red nucleus,377,959,1336,0.050925,0.047764,0.098689,176.730486,0,-678,,,Red nucleus,959,1678,2637,0.550798,0.528616,1.079414,1741.110171,3174.326922,-1979,,,Red nucleus,63,1056,1119,0.604382,0.607087,1.211469,104.23871,1739.454147,-461,,,Red nucleus,1090,1113,2203,0.604382,0.607087,1.211469,1803.49514,1833.345138,-1545
,"Primary somatosensory area, barrel field, layer 6a",4,1,5,0.024605,0.054261,0.078866,11339.15871,7371.777151,,,"Primary somatosensory area, barrel field, layer 6a",0,0,0,0.086496,0.082733,0.169229,0,0,5,,,"Primary somatosensory area, barrel field, layer 6a",496,111,607,0.09527,0.109146,0.204416,0,0,-602,,,"Primary somatosensory area, barrel field, layer 6a",0,0,0,0.720531,0.643051,1.363582,0,0,5,,,"Primary somatosensory area, barrel field, layer 6a",261,0,261,0.686932,0.721839,1.408771,379.9502716,0,-256,,,"Primary somatosensory area, barrel field, layer 6a",0,0,0,0.686932,0.721839,1.408771,0,0,5
,"Primary somatosensory area, trunk, layer 6a",245,109,354,0.037183,0.040141,0.077324,3146.599252,224.2096609,,,"Primary somatosensory area, trunk, layer 6a",511,1057,1568,0.48013900000000004,0.547675,1.027814,0,0,-1214,,,"Primary somatosensory area, trunk, layer 6a",303,616,919,0.661325,0.717694,1.379019,0,0,-565,,,"Primary somatosensory area, trunk, layer 6a",11,347,358,0.148619,0.163841,0.31246,74.01476258,2117.906995,-4,,,"Primary somatosensory area, trunk, layer 6a",33,0,33,0.136642,0.147522,0.284164,241.5070037,0,321,,,"Primary somatosensory area, trunk, layer 6a",0,87,87,0.136642,0.147522,0.284164,0,589.7425469,267
,Nucleus of Darkschewitsch,7,3,10,0.009809,0.009782,0.019591,1733.102253,1022.285831,,,Nucleus of Darkschewitsch,34,13,47,0.030272000000000004,0.030485,0.060757000000000005,0,0,-37,,,Nucleus of Darkschewitsch,375,180,555,0.051461,0.051757,0.103218,0,0,-545,,,Nucleus of Darkschewitsch,55,43,98,0.075628,0.064801,0.140429,727.2438779,663.5700066,-88,,,Nucleus of Darkschewitsch,104,219,323,0.070207,0.069877,0.140084,1481.33377,3134.078452,-313,,,Nucleus of Darkschewitsch,10,2,12,0.070207,0.069877,0.140084,142.4359394,28.62172102,-2
