structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.015207,0.018431,0.033638
"Primary somatosensory area, mouth, layer 6b",0.023069,0.025856,0.048924999999999996
internal capsule,0.45577199999999995,0.46448399999999995,0.920256
Principal sensory nucleus of the trigeminal,0.172753,0.195293,0.368046
"Primary somatosensory area, trunk, layer 6a",0.051408999999999996,0.040771999999999996,0.09218099999999999
"Superior colliculus, motor related, intermediate gray layer",0.450953,0.444733,0.895686
Interfascicular nucleus raphe,0.017931,0.018486,0.036417
Parataenial nucleus,0.081551,0.084255,0.165806
"Superior colliculus, motor related, intermediate white layer",0.523473,0.509675,1.033148
Induseum griseum,0.029560999999999997,0.029699999999999997,0.059260999999999994
"Entorhinal area, lateral part, layer 2",0.32741899999999996,0.31709,0.644509
Anterior amygdalar area,0.11859399999999999,0.12733999999999998,0.24593399999999999
"Superior colliculus, motor related, deep gray layer",0.317343,0.316,0.633343
Intergeniculate leaflet of the lateral geniculate complex,0.020682,0.02222,0.042901999999999996
"Entorhinal area, lateral part, layer 6a",0.162458,0.185822,0.34828
"Periventricular hypothalamic nucleus, anterior part",0.020621,0.020675,0.041296
"Primary visual area, layer 6a",0.164985,0.151335,0.31632
Oculomotor nucleus,0.006862,0.007011,0.013873
"Gustatory areas, layer 1",0.06265799999999999,0.066732,0.12939
Paraventricular hypothalamic nucleus,0.057477,0.057685,0.115162
"posteromedial visual area, layer 2/3",0.009156,0.040556999999999996,0.04971299999999999
"Superior colliculus, motor related, deep white layer",0.08936,0.090894,0.180254
Precommissural nucleus,0.035239,0.03499,0.070229
"Entorhinal area, lateral part, layer 3",0.238175,0.252232,0.49040700000000004
medial forebrain bundle,0.009561,0.011257,0.020818
Nucleus accumbens,0.723939,0.7451439999999999,1.469083
Medial terminal nucleus of the accessory optic tract,0.010038,0.010534,0.020572
Intermediodorsal nucleus of the thalamus,0.048701999999999995,0.049167999999999996,0.09786999999999998
medial longitudinal fascicle,0.036215,0.036606,0.072821
"Paraventricular hypothalamic nucleus, descending division",0.037822999999999996,0.037452,0.075275
Anterodorsal nucleus,0.075888,0.061014,0.136902
Lateral terminal nucleus of the accessory optic tract,0.004071,0.005007999999999999,0.009079
Interstitial nucleus of Cajal,0.023011999999999998,0.025086999999999998,0.048098999999999996
"Frontal pole, layer 1",0.054109,0.037416,0.091525
Anterodorsal preoptic nucleus,0.018916,0.017959,0.036875
"Lateral visual area, layer 6a",0.026993999999999997,0.02958,0.056574
Dorsal terminal nucleus of the accessory optic tract,0.002631,0.002572,0.005203
middle cerebellar peduncle,0.22477,0.22070199999999998,0.445472
lateral ventricle,1.1201969999999999,0.9009189999999999,2.0211159999999997
Inferior olivary complex,0.106629,0.106705,0.213334
"Prelimbic area, layer 6a",0.057128,0.059406,0.116534
Anterior hypothalamic nucleus,0.22294,0.240945,0.463885
Interposed nucleus,0.222553,0.230032,0.452585
motor root of the trigeminal nerve,0.013212,0.010794999999999999,0.024007
Dorsal cochlear nucleus,0.078264,0.076171,0.154435
"Temporal association areas, layer 1",0.13386299999999998,0.119294,0.25315699999999997
subependymal zone,0.055691,0.049364,0.105055
Interpeduncular nucleus,0.0021809999999999998,0.002391,0.004572
Ventral cochlear nucleus,0.112304,0.133343,0.245647
nigrostriatal tract,0.0185,0.019410999999999998,0.037911
"Superior olivary complex, medial part",0.060224999999999994,0.07423099999999999,0.134456
Inferior salivatory nucleus,0.001678,0.001609,0.003287
choroid plexus,0.494392,0.41914599999999996,0.913538
"Primary somatosensory area, lower limb, layer 2/3",0.09362799999999999,0.100795,0.19442299999999998
"Superior olivary complex, lateral part",0.093946,0.116196,0.210142
Trochlear nucleus,0.0014039999999999999,0.001439,0.002843
optic chiasm,0.08968799999999999,0.089798,0.17948599999999998
"Periventricular hypothalamic nucleus, intermediate part",0.052682,0.052149999999999995,0.104832
"Agranular insular area, posterior part, layer 1",0.136315,0.1361,0.27241499999999996
"Lateral visual area, layer 6b",0.00509,0.005528,0.010617999999999999
"Superior olivary complex, periolivary region",0.10073599999999999,0.11802699999999999,0.21876299999999999
Koelliker-Fuse subnucleus,0.028893,0.034286,0.063179
optic tract,0.180275,0.18717799999999998,0.367453
"Periventricular hypothalamic nucleus, posterior part",0.02221,0.022833,0.045043
Midbrain reticular nucleus,1.4803,1.511922,2.992222
third ventricle,0.300853,0.29296099999999997,0.593814
Lateral amygdalar nucleus,0.15983899999999998,0.205748,0.365587
"Prelimbic area, layer 6b",0.003083,0.0034879999999999998,0.006571
"Periventricular hypothalamic nucleus, preoptic part",0.031016,0.030795999999999997,0.06181199999999999
Intermediate reticular nucleus,0.842379,0.8859589999999999,1.728338
"Entorhinal area, lateral part, layer 5",0.24176899999999998,0.268756,0.510525
cerebral aqueduct,0.068548,0.071063,0.13961099999999999
"Nucleus ambiguus, ventral division",0.004523999999999999,0.005201,0.009725
fourth ventricle,0.139351,0.139011,0.278362
Pontine reticular nucleus,0.66633,0.6804239999999999,1.3467539999999998
Locus ceruleus,0.003436,0.003361,0.006796999999999999
"Gustatory areas, layer 4",0.040969,0.043357,0.084326
Paraventricular nucleus of the thalamus,0.142122,0.142757,0.284879
lateral recess,0.089713,0.083828,0.173541
Lateral dorsal nucleus of thalamus,0.39158699999999996,0.31812999999999997,0.7097169999999999
"Dorsal auditory area, layer 6a",0.043866999999999996,0.044281,0.088148
posterior commissure,0.012648999999999999,0.012562,0.025210999999999997
Anterior olfactory nucleus,0.748594,0.738464,1.487058
