structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0.0,0.0,0.0,0.0073349999999999,0.00779,0.015125,0.0,0.0
Accessory facial motor nucleus,3.0,0.0,3.0,0.001787,0.002577,0.004364,1678.7912702853946,0.0
"Accessory olfactory bulb, glomerular layer",0.0,0.0,0.0,0.026978,0.015872,0.04285,0.0,0.0
"Accessory olfactory bulb, granular layer",0.0,0.0,0.0,0.043515,0.0194319999999999,0.062947,0.0,0.0
"Accessory olfactory bulb, mitral layer",0.0,0.0,0.0,0.0515329999999999,0.026806,0.0783389999999999,0.0,0.0
Accessory supraoptic group,0.0,0.0,0.0,0.002064,0.002117,0.004181,0.0,0.0
Accessory trigeminal nucleus,0.0,0.0,0.0,0.004052,0.0041319999999999,0.008184,0.0,0.0
"Agranular insular area, dorsal part, layer 1",1.0,0.0,1.0,0.148346,0.105157,0.253503,6.740997397975004,0.0
"Agranular insular area, dorsal part, layer 2/3",0.0,0.0,0.0,0.2526609999999999,0.199347,0.4520079999999999,0.0,0.0
"Agranular insular area, dorsal part, layer 5",8.0,3.0,11.0,0.307438,0.266723,0.5741609999999999,26.021506775349827,11.247623939442793
"Agranular insular area, dorsal part, layer 6a",2.0,3.0,5.0,0.143962,0.145432,0.289394,13.892554979786333,20.628197370592442
"Agranular insular area, dorsal part, layer 6b",0.0,0.0,0.0,0.008985,0.009427,0.0184119999999999,0.0,0.0
"Agranular insular area, posterior part, layer 1",0.0,0.0,0.0,0.1304479999999999,0.1374709999999999,0.2679189999999999,0.0,0.0
"Agranular insular area, posterior part, layer 2/3",0.0,0.0,0.0,0.225734,0.234119,0.4598529999999999,0.0,0.0
"Agranular insular area, posterior part, layer 5",0.0,0.0,0.0,0.189691,0.1964,0.3860909999999999,0.0,0.0
"Agranular insular area, posterior part, layer 6a",0.0,0.0,0.0,0.102175,0.106246,0.208421,0.0,0.0
"Agranular insular area, posterior part, layer 6b",0.0,0.0,0.0,0.004245,0.0045439999999999,0.0087889999999999,0.0,0.0
"Agranular insular area, ventral part, layer 1",0.0,0.0,0.0,0.0689989999999999,0.0612539999999999,0.1302529999999999,0.0,0.0
"Agranular insular area, ventral part, layer 2/3",0.0,0.0,0.0,0.137106,0.127987,0.265093,0.0,0.0
"Agranular insular area, ventral part, layer 5",0.0,1.0,1.0,0.137033,0.1236429999999999,0.2606759999999999,0.0,8.087801169496055
"Agranular insular area, ventral part, layer 6a",0.0,0.0,0.0,0.034122,0.03467,0.0687919999999999,0.0,0.0
"Agranular insular area, ventral part, layer 6b",0.0,0.0,0.0,0.000507,0.000521,0.0010279999999999,0.0,0.0
Anterior amygdalar area,4.0,8.0,12.0,0.117006,0.125266,0.242272,34.18628104541647,63.86409720115594
"Anterior area, layer 1",0.0,0.0,0.0,0.001183,0.0286389999999999,0.0298219999999999,0.0,0.0
"Anterior area, layer 2/3",0.0,1.0,1.0,0.024725,0.066871,0.091596,0.0,14.954165482795233
"Anterior area, layer 4",0.0,0.0,0.0,0.0282089999999999,0.0245239999999999,0.0527329999999999,0.0,0.0
"Anterior area, layer 5",506.0,210.0,716.0,0.075372,0.058121,0.133493,6713.368359603036,3613.151872817054
"Anterior area, layer 6a",194.0,50.0,244.0,0.050677,0.038886,0.089563,3828.1666239122283,1285.8098030139383
