structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.011112,0.009679,0.020791
"Primary somatosensory area, mouth, layer 6b",0.010218999999999999,0.010942,0.021161
internal capsule,0.235764,0.243133,0.478897
Principal sensory nucleus of the trigeminal,0.09264399999999999,0.09129999999999999,0.183944
"Primary somatosensory area, trunk, layer 6a",0.027142,0.026296,0.053438
"Superior colliculus, motor related, intermediate gray layer",0.19164099999999998,0.188292,0.37993299999999997
Interfascicular nucleus raphe,0.008557,0.009408,0.017965000000000002
Parataenial nucleus,0.028832999999999998,0.033323,0.062155999999999996
"Superior colliculus, motor related, intermediate white layer",0.208523,0.199621,0.40814399999999995
Induseum griseum,0.010549,0.011757,0.022306
"Entorhinal area, lateral part, layer 2",0.134127,0.129888,0.264015
Anterior amygdalar area,0.048270999999999994,0.049748999999999995,0.09802
"Superior colliculus, motor related, deep gray layer",0.125276,0.116384,0.24165999999999999
Intergeniculate leaflet of the lateral geniculate complex,0.0066489999999999995,0.006317,0.012965999999999998
"Entorhinal area, lateral part, layer 6a",0.083156,0.07928,0.162436
"Periventricular hypothalamic nucleus, anterior part",0.006823,0.007133,0.013956
"Primary visual area, layer 6a",0.07291,0.07604,0.14895
Oculomotor nucleus,0.003299,0.003217,0.006515999999999999
"Gustatory areas, layer 1",0.018209,0.013741,0.03195
Paraventricular hypothalamic nucleus,0.025057,0.027132999999999997,0.05219
"posteromedial visual area, layer 2/3",0.024641,0.00029499999999999996,0.024936
"Superior colliculus, motor related, deep white layer",0.03508,0.032903999999999996,0.06798399999999999
Precommissural nucleus,0.013228,0.012863999999999999,0.026091999999999997
"Entorhinal area, lateral part, layer 3",0.10944899999999999,0.103418,0.21286699999999997
medial forebrain bundle,0.0046949999999999995,0.004443,0.009138
Nucleus accumbens,0.378131,0.40435299999999996,0.782484
Medial terminal nucleus of the accessory optic tract,0.004598,0.004552,0.009149999999999998
Intermediodorsal nucleus of the thalamus,0.014055,0.016356,0.030411
medial longitudinal fascicle,0.013951999999999999,0.013973999999999999,0.027926
"Paraventricular hypothalamic nucleus, descending division",0.015766,0.017418,0.033184
Anterodorsal nucleus,0.022694,0.029293,0.051987
Lateral terminal nucleus of the accessory optic tract,0.001549,0.001439,0.002988
Interstitial nucleus of Cajal,0.008248,0.00845,0.016697999999999998
"Frontal pole, layer 1",0.010109,0.012555,0.022664
Anterodorsal preoptic nucleus,0.007782,0.00921,0.016992
"Lateral visual area, layer 6a",0.013302999999999999,0.013391,0.026694
Dorsal terminal nucleus of the accessory optic tract,0.000819,0.000963,0.001782
middle cerebellar peduncle,0.098702,0.108607,0.207309
lateral ventricle,0.266845,0.294633,0.5614779999999999
Inferior olivary complex,0.050981,0.052919999999999995,0.103901
"Prelimbic area, layer 6a",0.03129,0.034689,0.065979
Anterior hypothalamic nucleus,0.088379,0.09854099999999999,0.18691999999999998
Interposed nucleus,0.061279,0.05848,0.119759
motor root of the trigeminal nerve,0.005409,0.006428,0.011837
Dorsal cochlear nucleus,0.030683,0.032146,0.062829
"Temporal association areas, layer 1",0.046845,0.042085,0.08893
subependymal zone,0.015761,0.016996999999999998,0.032757999999999995
Interpeduncular nucleus,0.000975,0.0011229999999999999,0.002098
Ventral cochlear nucleus,0.059448999999999995,0.056118999999999995,0.11556799999999999
nigrostriatal tract,0.012116,0.011961,0.024077
"Superior olivary complex, medial part",0.021138,0.019705,0.040843000000000004
Inferior salivatory nucleus,0.00065,0.000632,0.001282
choroid plexus,0.140338,0.158557,0.298895
"Primary somatosensory area, lower limb, layer 2/3",0.074665,0.084909,0.159574
"Superior olivary complex, lateral part",0.036077,0.034069999999999996,0.07014699999999999
Trochlear nucleus,0.0006479999999999999,0.0006389999999999999,0.001287
optic chiasm,0.031767,0.035119,0.066886
"Periventricular hypothalamic nucleus, intermediate part",0.019988,0.020409999999999998,0.040397999999999996
"Agranular insular area, posterior part, layer 1",0.034733,0.035934,0.07066700000000001
"Lateral visual area, layer 6b",0.002466,0.002472,0.004938
"Superior olivary complex, periolivary region",0.039599999999999996,0.037512,0.07711199999999999
Koelliker-Fuse subnucleus,0.013077,0.012294,0.025370999999999998
optic tract,0.072978,0.075191,0.148169
"Periventricular hypothalamic nucleus, posterior part",0.010411,0.010664,0.021075
Midbrain reticular nucleus,0.532845,0.5237729999999999,1.0566179999999998
third ventricle,0.084591,0.111884,0.196475
Lateral amygdalar nucleus,0.07934,0.064596,0.143936
"Prelimbic area, layer 6b",0.001537,0.0016769999999999999,0.003214
"Periventricular hypothalamic nucleus, preoptic part",0.015234999999999999,0.017522,0.032756999999999994
Intermediate reticular nucleus,0.274968,0.275242,0.55021
"Entorhinal area, lateral part, layer 5",0.118084,0.109527,0.227611
cerebral aqueduct,0.032461,0.036025999999999996,0.06848699999999999
"Nucleus ambiguus, ventral division",0.002685,0.00248,0.0051649999999999995
fourth ventricle,0.042959,0.044993,0.087952
Pontine reticular nucleus,0.256199,0.24609399999999998,0.502293
Locus ceruleus,0.001455,0.001343,0.002798
"Gustatory areas, layer 4",0.013098,0.011273,0.024371
Paraventricular nucleus of the thalamus,0.044613,0.050138999999999996,0.094752
lateral recess,0.028402,0.030004999999999997,0.058407
Lateral dorsal nucleus of thalamus,0.122209,0.143432,0.265641
"Dorsal auditory area, layer 6a",0.017287,0.01722,0.034506999999999996
posterior commissure,0.004438999999999999,0.004834,0.009273
Anterior olfactory nucleus,0.29675999999999997,0.334516,0.631276
Laterodorsal tegmental nucleus,0.018685,0.018009,0.036694000000000004
"Agranular insular area, posterior part, layer 2/3",0.065259,0.068008,0.133267
"central canal, spinal cord/medulla",7e-06,5.8e-05,6.5e-05
Nucleus prepositus,0.022534,0.023188999999999998,0.045723
"Prelimbic area, layer 1",0.031177999999999997,0.036295999999999995,0.06747399999999999
Retrochiasmatic area,0.018816,0.01954,0.038356
Nucleus of Roller,0.0024129999999999998,0.002542,0.004954999999999999
Ventral part of the lateral geniculate complex,0.042314,0.040437999999999995,0.08275199999999999
"Gustatory areas, layer 2/3",0.036511,0.029206,0.065717
Nucleus of reuniens,0.051345999999999996,0.057281,0.108627
Lateral habenula,0.030815,0.029989,0.060804
"Gustatory areas, layer 5",0.046944,0.044101999999999995,0.09104599999999999
"Accessory olfactory bulb, glomerular layer",0.006333,0.008048999999999999,0.014381999999999999
Rhomboid nucleus,0.009145,0.010308,0.019452999999999998
pyramid,0.054433999999999996,0.056632999999999996,0.111067
Lateral hypothalamic area,0.230959,0.23133299999999998,0.462292
"Accessory olfactory bulb, granular layer",0.0074849999999999995,0.009592999999999999,0.017078
Rostral linear nucleus raphe,0.0051779999999999994,0.006431999999999999,0.011609999999999999
pyramidal decussation,0.0044659999999999995,0.005166,0.009631999999999998
"Primary somatosensory area, barrel field, layer 2/3",0.155582,0.169769,0.325351
Medial vestibular nucleus,0.16749699999999998,0.16515,0.33264699999999997
Linear nucleus of the medulla,0.0075569999999999995,0.006977,0.014533999999999998
"Accessory olfactory bulb, mitral layer",0.010528,0.013304999999999999,0.023833
Nucleus raphe magnus,0.008612999999999999,0.012865,0.021477999999999997
Area postrema,0.003735,0.004258,0.007993
Lateral vestibular nucleus,0.021238,0.020579,0.041817
Lateral mammillary nucleus,0.007854,0.007013999999999999,0.014868
"Anterior cingulate area, dorsal part, layer 2/3",0.054299,0.055462,0.109761
Red nucleus,0.08915999999999999,0.09020199999999999,0.17936199999999997
Anterior pretectal nucleus,0.131605,0.127359,0.25896399999999997
Superior vestibular nucleus,0.027759,0.026212,0.053971
Lateral posterior nucleus of the thalamus,0.122804,0.113872,0.236676
Nucleus raphe obscurus,0.0026119999999999997,0.005359,0.007970999999999999
Arcuate hypothalamic nucleus,0.026629999999999997,0.028204,0.054833999999999994
Spinal vestibular nucleus,0.066382,0.064455,0.13083699999999998
Lateral preoptic area,0.055039,0.060958,0.11599699999999999
sensory root of the trigeminal nerve,0.068478,0.079728,0.148206
Nucleus raphe pallidus,0.005353999999999999,0.008107,0.013460999999999999
Anterior tegmental nucleus,0.00374,0.003686,0.007426
"Anterolateral visual area, layer 5",0.016167,0.016992,0.033159
"Temporal association areas, layer 4",0.025647999999999997,0.023086,0.048734
solitary tract,0.000652,0.000717,0.001369
Nucleus raphe pontis,0.007463999999999999,0.007863,0.015327
"Dorsal auditory area, layer 6b",0.002843,0.002868,0.005711
"Midbrain reticular nucleus, retrorubral area",0.015333999999999999,0.015279999999999998,0.030613999999999995
"Posterior auditory area, layer 6a",0.006024,0.006169,0.012192999999999999
"Lateral septal nucleus, caudal (caudodorsal) part",0.06385,0.069701,0.133551
"Primary auditory area, layer 2/3",0.044272,0.039781,0.08405299999999999
"Dorsal auditory area, layer 5",0.031374,0.031187,0.062561
Anteroventral nucleus of thalamus,0.059057,0.07828399999999999,0.137341
"posteromedial visual area, layer 6a",0.01312,0.014362999999999999,0.027483
"Lateral septal nucleus, rostral (rostroventral) part",0.160906,0.18037599999999998,0.341282
"Nucleus of the lateral olfactory tract, molecular layer",0.010119999999999999,0.01005,0.02017
Reticular nucleus of the thalamus,0.174488,0.201041,0.375529
Anteroventral preoptic nucleus,0.007352,0.009228,0.01658
"Lateral septal nucleus, ventral part",0.05115,0.063225,0.114375
"Nucleus of the lateral olfactory tract, pyramidal layer",0.012894,0.013250999999999999,0.026144999999999998
"Posterolateral visual area, layer 2/3",0.015554,0.015194,0.030747999999999998
Nucleus sagulum,0.008154999999999999,0.00898,0.017134999999999997
Anteroventral periventricular nucleus,0.014499,0.016264999999999998,0.030764
"Retrosplenial area, dorsal part, layer 6a",0.073465,0.06825099999999999,0.141716
"Retrosplenial area, lateral agranular part, layer 6b",0.0035979999999999996,0.0033539999999999998,0.006952
Barrington's nucleus,0.0015539999999999998,0.0014739999999999998,0.0030279999999999994
"Anteromedial visual area, layer 1",0.000704,0.0,0.000704
Suprachiasmatic nucleus,0.008516,0.008857,0.017373
Bed nucleus of the anterior commissure,0.000754,0.000931,0.0016849999999999999
"Orbital area, ventrolateral part, layer 2/3",0.028732999999999998,0.032999,0.061731999999999995
"Temporal association areas, layer 5",0.07732399999999999,0.068841,0.146165
Bed nucleus of the accessory olfactory tract,0.002117,0.0021019999999999997,0.004219
"Anterior cingulate area, ventral part, layer 2/3",0.047372,0.047522999999999996,0.094895
Magnocellular nucleus,0.034956999999999995,0.036805,0.07176199999999999
stria terminalis,0.037627,0.038509,0.07613600000000001
"Basolateral amygdalar nucleus, anterior part",0.070335,0.066685,0.13701999999999998
"Prelimbic area, layer 2/3",0.026459,0.029079999999999998,0.055539
"Primary visual area, layer 6b",0.011394999999999999,0.012079999999999999,0.023474999999999996
Magnocellular reticular nucleus,0.057302,0.059158999999999996,0.116461
Septofimbrial nucleus,0.047961,0.054730999999999995,0.10269199999999999
"Basolateral amygdalar nucleus, posterior part",0.073756,0.056663,0.130419
Midbrain,0.6223449999999999,0.62615,1.248495
"Agranular insular area, posterior part, layer 6a",0.036155,0.037682,0.073837
Supragenual nucleus,0.001591,0.001602,0.0031929999999999997
"Primary motor area, Layer 1",0.117188,0.11182099999999999,0.229009
Subgeniculate nucleus,0.0029349999999999997,0.002773,0.0057079999999999995
Suprageniculate nucleus,0.014126999999999999,0.014761,0.028887999999999997
superior cerebelar peduncles,0.041907,0.038764,0.08067099999999999
"Basomedial amygdalar nucleus, anterior part",0.064179,0.066369,0.130548
"Agranular insular area, dorsal part, layer 2/3",0.063565,0.058253,0.121818
"Retrosplenial area, dorsal part, layer 6b",0.003179,0.002839,0.006018
Accessory supraoptic group,0.000823,0.000919,0.001742
Septohippocampal nucleus,0.002846,0.002875,0.005721
"Basomedial amygdalar nucleus, posterior part",0.075263,0.064617,0.13988
"Perirhinal area, layer 6a",0.004123,0.003912,0.008035
superior colliculus commissure,0.0026669999999999997,0.002784,0.005450999999999999
Subfornical organ,0.002423,0.002859,0.005282
Substantia innominata,0.27773,0.298858,0.576588
"Agranular insular area, posterior part, layer 5",0.06121,0.063988,0.125198
Subparaventricular zone,0.014454,0.015385999999999999,0.02984
supraoptic commissures,0.002714,0.0028239999999999997,0.0055379999999999995
Subceruleus nucleus,0.002794,0.002593,0.005386999999999999
Bed nuclei of the stria terminalis,0.144722,0.167154,0.311876
Medulla,0.4562,0.460719,0.916919
"Agranular insular area, posterior part, layer 6b",0.001684,0.001642,0.003326
Preparasubthalamic nucleus,0.001485,0.001317,0.002802
Sublaterodorsal nucleus,0.004738,0.004565,0.009302999999999999
Mediodorsal nucleus of thalamus,0.140299,0.14346799999999998,0.283767
"Prelimbic area, layer 5",0.061874,0.071143,0.133017
Parasubthalamic nucleus,0.018261,0.014849999999999999,0.033111
Submedial nucleus of the thalamus,0.031983,0.033401,0.065384
"Perirhinal area, layer 6b",0.0009809999999999999,0.000963,0.001944
Infracerebellar nucleus,0.004602,0.004301,0.008903000000000001
"Substantia nigra, compact part",0.019312,0.018487999999999997,0.0378
"Posterolateral visual area, layer 6a",0.007176999999999999,0.007222999999999999,0.0144
cuneate fascicle,0.001487,0.001575,0.003062
