structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.009748999999999999,0.01591,0.025659
"Primary somatosensory area, mouth, layer 6b",0.006823,0.0073739999999999995,0.014197
internal capsule,0.159577,0.15370399999999998,0.313281
Principal sensory nucleus of the trigeminal,0.094626,0.074338,0.168964
"Primary somatosensory area, trunk, layer 6a",0.015502,0.015252,0.030754
"Superior colliculus, motor related, intermediate gray layer",0.132887,0.141814,0.274701
Interfascicular nucleus raphe,0.006764,0.007313999999999999,0.014078
Parataenial nucleus,0.014990999999999999,0.015033999999999999,0.030024999999999996
"Superior colliculus, motor related, intermediate white layer",0.162128,0.165491,0.327619
Induseum griseum,0.00603,0.006808,0.012837999999999999
"Entorhinal area, lateral part, layer 2",0.239058,0.111606,0.350664
Anterior amygdalar area,0.037218,0.043232,0.08045
"Superior colliculus, motor related, deep gray layer",0.096464,0.10019299999999999,0.19665699999999997
Intergeniculate leaflet of the lateral geniculate complex,0.005797999999999999,0.004978,0.010775999999999999
"Entorhinal area, lateral part, layer 6a",0.092094,0.065027,0.157121
"Periventricular hypothalamic nucleus, anterior part",0.00528,0.005336,0.010616
"Primary visual area, layer 6a",0.061217,0.036941,0.098158
Oculomotor nucleus,0.0033859999999999997,0.003228,0.006614
"Gustatory areas, layer 1",0.018941,0.023447,0.042387999999999995
Paraventricular hypothalamic nucleus,0.01647,0.016772,0.033241999999999994
"posteromedial visual area, layer 2/3",0.015524999999999999,0.013611,0.029136
"Superior colliculus, motor related, deep white layer",0.027298,0.028711999999999998,0.05601
Precommissural nucleus,0.016798,0.015834,0.032632
"Entorhinal area, lateral part, layer 3",0.153813,0.090278,0.244091
medial forebrain bundle,0.005024,0.0042769999999999996,0.009301
Nucleus accumbens,0.228349,0.280609,0.508958
Medial terminal nucleus of the accessory optic tract,0.004739,0.0035069999999999997,0.008246
Intermediodorsal nucleus of the thalamus,0.01579,0.017873,0.033663
medial longitudinal fascicle,0.011092,0.010903,0.021995
"Paraventricular hypothalamic nucleus, descending division",0.011722,0.01192,0.023642
Anterodorsal nucleus,0.008501,0.008229,0.016730000000000002
Lateral terminal nucleus of the accessory optic tract,0.0013369999999999999,0.001235,0.0025719999999999996
Interstitial nucleus of Cajal,0.009375,0.008628,0.018002999999999998
"Frontal pole, layer 1",0.027833999999999998,0.039133,0.066967
Anterodorsal preoptic nucleus,0.006637,0.006836,0.013472999999999999
"Lateral visual area, layer 6a",0.013217999999999999,0.002956,0.016173999999999997
Dorsal terminal nucleus of the accessory optic tract,0.0010869999999999999,0.001006,0.002093
middle cerebellar peduncle,0.10564699999999999,0.092069,0.197716
lateral ventricle,0.117299,0.112341,0.22964
Inferior olivary complex,0.046945999999999995,0.045445,0.092391
"Prelimbic area, layer 6a",0.033874999999999995,0.034038,0.067913
Anterior hypothalamic nucleus,0.071504,0.07066399999999999,0.142168
Interposed nucleus,0.03651,0.052111,0.088621
motor root of the trigeminal nerve,0.006974999999999999,0.004827,0.011802
Dorsal cochlear nucleus,0.034635,0.035141,0.069776
"Temporal association areas, layer 1",0.068281,0.021622,0.089903
subependymal zone,0.006428,0.006473,0.012901
Interpeduncular nucleus,0.0009699999999999999,0.001039,0.002009
Ventral cochlear nucleus,0.07264899999999999,0.066823,0.13947199999999998
nigrostriatal tract,0.009097,0.009143,0.01824
"Superior olivary complex, medial part",0.022232,0.031821999999999996,0.05405399999999999
Inferior salivatory nucleus,0.0005589999999999999,0.000443,0.0010019999999999999
choroid plexus,0.08122499999999999,0.083163,0.16438799999999998
"Primary somatosensory area, lower limb, layer 2/3",0.062787,0.07822799999999999,0.141015
"Superior olivary complex, lateral part",0.035886,0.044031,0.079917
Trochlear nucleus,0.000656,0.000625,0.001281
optic chiasm,0.03491,0.032882999999999996,0.06779299999999999
"Periventricular hypothalamic nucleus, intermediate part",0.026945,0.02649,0.053434999999999996
"Agranular insular area, posterior part, layer 1",0.061302999999999996,0.045759999999999995,0.10706299999999999
"Lateral visual area, layer 6b",0.0024319999999999997,0.0016259999999999998,0.004057999999999999
"Superior olivary complex, periolivary region",0.040129,0.067763,0.107892
Koelliker-Fuse subnucleus,0.010666,0.009732,0.020398
optic tract,0.081992,0.063271,0.14526299999999998
"Periventricular hypothalamic nucleus, posterior part",0.011465999999999999,0.014114,0.02558
Midbrain reticular nucleus,0.515697,0.45341499999999996,0.969112
third ventricle,0.053104,0.073072,0.126176
Lateral amygdalar nucleus,0.056889999999999996,0.065578,0.122468
"Prelimbic area, layer 6b",0.001089,0.001125,0.002214
"Periventricular hypothalamic nucleus, preoptic part",0.012483,0.014031,0.026514
Intermediate reticular nucleus,0.261076,0.252702,0.513778
"Entorhinal area, lateral part, layer 5",0.140037,0.09358899999999999,0.233626
cerebral aqueduct,0.042665999999999996,0.047757999999999995,0.09042399999999999
"Nucleus ambiguus, ventral division",0.002146,0.002464,0.0046099999999999995
fourth ventricle,0.024679,0.026116999999999998,0.050795999999999994
Pontine reticular nucleus,0.25189,0.180751,0.432641
Locus ceruleus,0.000757,0.000748,0.0015049999999999998
"Gustatory areas, layer 4",0.011996999999999999,0.015229,0.027226
Paraventricular nucleus of the thalamus,0.028987,0.031276,0.060263
lateral recess,0.025973999999999997,0.027926,0.053899999999999997
Lateral dorsal nucleus of thalamus,0.064708,0.055007999999999994,0.11971599999999999
"Dorsal auditory area, layer 6a",0.012289,0.013946,0.026235
