structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.009172999999999999,0.008768999999999999,0.017942
"Primary somatosensory area, mouth, layer 6b",0.008591999999999999,0.007409,0.016000999999999998
internal capsule,0.19316999999999998,0.18056,0.37373
Principal sensory nucleus of the trigeminal,0.074638,0.080925,0.155563
"Primary somatosensory area, trunk, layer 6a",0.015691999999999998,0.012107999999999999,0.0278
"Superior colliculus, motor related, intermediate gray layer",0.15962099999999999,0.15323199999999998,0.31285299999999994
Interfascicular nucleus raphe,0.006984,0.007808,0.014792
Parataenial nucleus,0.016155,0.016323999999999998,0.032478999999999994
"Superior colliculus, motor related, intermediate white layer",0.17848699999999998,0.170937,0.34942399999999996
Induseum griseum,0.008303999999999999,0.009177,0.017480999999999997
"Entorhinal area, lateral part, layer 2",0.145746,0.12387,0.26961599999999997
Anterior amygdalar area,0.028578,0.033821,0.062398999999999996
"Superior colliculus, motor related, deep gray layer",0.109233,0.10620399999999999,0.215437
Intergeniculate leaflet of the lateral geniculate complex,0.005705,0.005203999999999999,0.010908999999999999
"Entorhinal area, lateral part, layer 6a",0.086436,0.075363,0.161799
"Periventricular hypothalamic nucleus, anterior part",0.004214,0.004286,0.0085
"Primary visual area, layer 6a",0.06317299999999999,0.061924999999999994,0.125098
Oculomotor nucleus,0.003058,0.0030269999999999997,0.006085
"Gustatory areas, layer 1",0.021032,0.020107,0.041138999999999995
Paraventricular hypothalamic nucleus,0.014254,0.014587999999999999,0.028842
"posteromedial visual area, layer 2/3",0.019663999999999997,0.015926,0.03559
"Superior colliculus, motor related, deep white layer",0.031292,0.031068,0.06236
Precommissural nucleus,0.014617999999999999,0.014241,0.028859
"Entorhinal area, lateral part, layer 3",0.11819099999999999,0.099531,0.21772199999999997
medial forebrain bundle,0.004222,0.00447,0.008692
Nucleus accumbens,0.32367399999999996,0.320891,0.6445649999999999
Medial terminal nucleus of the accessory optic tract,0.003254,0.0036079999999999997,0.006862
Intermediodorsal nucleus of the thalamus,0.014934,0.017217,0.032151
medial longitudinal fascicle,0.016765,0.016760999999999998,0.033526
"Paraventricular hypothalamic nucleus, descending division",0.01136,0.011814999999999999,0.023175
Anterodorsal nucleus,0.013332,0.01162,0.024952000000000002
Lateral terminal nucleus of the accessory optic tract,0.001442,0.0014249999999999998,0.0028669999999999998
Interstitial nucleus of Cajal,0.0072759999999999995,0.007207,0.014483
"Frontal pole, layer 1",0.017421,0.013115,0.030536
Anterodorsal preoptic nucleus,0.006291,0.006477,0.012768
"Lateral visual area, layer 6a",0.012329,0.012495,0.024824
Dorsal terminal nucleus of the accessory optic tract,0.000843,0.000839,0.001682
middle cerebellar peduncle,0.072272,0.07761599999999999,0.149888
lateral ventricle,0.169587,0.144026,0.313613
Inferior olivary complex,0.061102,0.062127999999999996,0.12322999999999999
"Prelimbic area, layer 6a",0.032444,0.027541999999999997,0.059986
Anterior hypothalamic nucleus,0.059562,0.060131,0.119693
Interposed nucleus,0.047899,0.050696,0.09859499999999999
motor root of the trigeminal nerve,0.003753,0.00403,0.007783
Dorsal cochlear nucleus,0.032742,0.035577,0.06831899999999999
"Temporal association areas, layer 1",0.041083,0.038245,0.07932800000000001
subependymal zone,0.010745,0.009056,0.019801
Interpeduncular nucleus,0.000868,0.0010559999999999999,0.001924
Ventral cochlear nucleus,0.052569,0.058744,0.111313
