structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.007,0.003,0.01
"Primary somatosensory area, mouth, layer 6b",0.007,0.005,0.012
internal capsule,0.115,0.11,0.225
Principal sensory nucleus of the trigeminal,0.056,0.056,0.112
"Primary somatosensory area, trunk, layer 6a",0.013000000000000001,0.014,0.027000000000000003
"Superior colliculus, motor related, intermediate gray layer",0.11,0.115,0.225
Interfascicular nucleus raphe,0.005,0.004,0.009000000000000001
Parataenial nucleus,0.015,0.01,0.025
"Superior colliculus, motor related, intermediate white layer",0.10300000000000001,0.112,0.21500000000000002
Induseum griseum,0.004,0.007,0.011
"Entorhinal area, lateral part, layer 2",0.084,0.079,0.163
Anterior amygdalar area,0.027,0.029,0.056
"Superior colliculus, motor related, deep gray layer",0.058,0.061,0.119
Intergeniculate leaflet of the lateral geniculate complex,0.003,0.005,0.008
"Entorhinal area, lateral part, layer 6a",0.057,0.055,0.112
"Primary visual area, layer 6a",0.052000000000000005,0.054,0.10600000000000001
Oculomotor nucleus,0.002,0.005,0.007
"Gustatory areas, layer 1",0.007,0.01,0.017
Paraventricular hypothalamic nucleus,0.008,0.01,0.018000000000000002
"posteromedial visual area, layer 2/3",0.017,0.012,0.029
"Superior colliculus, motor related, deep white layer",0.02,0.015,0.035
Precommissural nucleus,0.011,0.011,0.022
"Entorhinal area, lateral part, layer 3",0.074,0.069,0.14300000000000002
medial forebrain bundle,0.003,0.002,0.005
Nucleus accumbens,0.233,0.23600000000000002,0.46900000000000003
Medial terminal nucleus of the accessory optic tract,0.002,0.004,0.006
Intermediodorsal nucleus of the thalamus,0.008,0.011,0.019
medial longitudinal fascicle,0.003,0.002,0.005
"Paraventricular hypothalamic nucleus, descending division",0.004,0.006,0.01
Anterodorsal nucleus,0.006,0.012,0.018000000000000002
Lateral terminal nucleus of the accessory optic tract,0.001,0.003,0.004
Interstitial nucleus of Cajal,0.005,0.006,0.011
"Frontal pole, layer 1",0.017,0.019,0.036000000000000004
Anterodorsal preoptic nucleus,0.006,0.006,0.012
"Lateral visual area, layer 6a",0.014,0.011,0.025
middle cerebellar peduncle,0.046,0.056,0.10200000000000001
lateral ventricle,0.105,0.108,0.213
Inferior olivary complex,0.024,0.021,0.045
"Prelimbic area, layer 6a",0.017,0.029,0.046
Anterior hypothalamic nucleus,0.038,0.042,0.08
Interposed nucleus,0.039,0.042,0.081
motor root of the trigeminal nerve,0.003,0.006,0.009000000000000001
