structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.007953125,0.007765625,0.01571875
"Primary somatosensory area, mouth, layer 6b",0.00778125,0.007796875,0.015578125
internal capsule,0.14915625,0.144375,0.29353125
Principal sensory nucleus of the trigeminal,0.08015625,0.07703125,0.15718749999999998
"Primary somatosensory area, trunk, layer 6a",0.015375,0.015171875,0.030546875
"Superior colliculus, motor related, intermediate gray layer",0.137203125,0.13496875,0.272171875
Interfascicular nucleus raphe,0.00559375,0.006703125,0.012296874999999999
Parataenial nucleus,0.015640625000000002,0.015703125000000002,0.031343750000000004
"Superior colliculus, motor related, intermediate white layer",0.142171875,0.139515625,0.2816875
Induseum griseum,0.007125,0.009140625,0.016265625
"Entorhinal area, lateral part, layer 2",0.116625,0.11525,0.231875
Anterior amygdalar area,0.036125,0.035687500000000004,0.0718125
"Superior colliculus, motor related, deep gray layer",0.079921875,0.079890625,0.15981250000000002
Intergeniculate leaflet of the lateral geniculate complex,0.004828125,0.004640625,0.00946875
"Entorhinal area, lateral part, layer 6a",0.076296875,0.07345312500000001,0.14975
"Periventricular hypothalamic nucleus, anterior part",0.0044687500000000005,0.002484375,0.006953125000000001
"Primary visual area, layer 6a",0.076546875,0.072078125,0.148625
Oculomotor nucleus,0.0022343750000000002,0.00228125,0.0045156250000000005
"Gustatory areas, layer 1",0.014484375,0.0138125,0.028296875
Paraventricular hypothalamic nucleus,0.013625,0.012890625000000001,0.026515625
"posteromedial visual area, layer 2/3",0.02125,0.0195625,0.0408125
"Superior colliculus, motor related, deep white layer",0.021937500000000002,0.022421875,0.044359375000000006
Precommissural nucleus,0.011109375,0.011390625,0.0225
"Entorhinal area, lateral part, layer 3",0.096125,0.09328125,0.18940625
medial forebrain bundle,0.0035,0.003578125,0.007078125
Nucleus accumbens,0.315328125,0.31334375000000003,0.628671875
Medial terminal nucleus of the accessory optic tract,0.003359375,0.0030625,0.0064218750000000005
Intermediodorsal nucleus of the thalamus,0.010234375,0.01334375,0.023578125
medial longitudinal fascicle,0.010125,0.010484375,0.020609375
"Paraventricular hypothalamic nucleus, descending division",0.00915625,0.009015625,0.018171874999999997
Anterodorsal nucleus,0.010640625,0.0105,0.021140625000000003
Lateral terminal nucleus of the accessory optic tract,0.00128125,0.00109375,0.0023750000000000004
Interstitial nucleus of Cajal,0.0051875,0.005359375,0.010546875
"Frontal pole, layer 1",0.0163125,0.01634375,0.03265625
Anterodorsal preoptic nucleus,0.00671875,0.0069375,0.01365625
"Lateral visual area, layer 6a",0.015109375,0.0140625,0.029171875
Dorsal terminal nucleus of the accessory optic tract,0.0008125000000000001,0.000734375,0.001546875
middle cerebellar peduncle,0.07965625,0.07710937500000001,0.15676562500000002
lateral ventricle,0.142875,0.14078125,0.28365625
Inferior olivary complex,0.03803125,0.037859375,0.075890625
"Prelimbic area, layer 6a",0.029812500000000002,0.03115625,0.06096875
Anterior hypothalamic nucleus,0.051078125,0.050484375,0.1015625
Interposed nucleus,0.059578125,0.059890625,0.11946875000000001
motor root of the trigeminal nerve,0.004296875,0.0044375000000000005,0.008734375
Dorsal cochlear nucleus,0.043609375,0.04196875,0.085578125
"Temporal association areas, layer 1",0.038375,0.03759375,0.07596875
subependymal zone,0.008953125000000001,0.009015625,0.01796875
Interpeduncular nucleus,0.000734375,0.001015625,0.00175
Ventral cochlear nucleus,0.073765625,0.071921875,0.1456875
nigrostriatal tract,0.00778125,0.0079375,0.01571875
"Superior olivary complex, medial part",0.014359375,0.0145,0.028859375
Inferior salivatory nucleus,0.00053125,0.00046875,0.001
choroid plexus,0.09675,0.099828125,0.196578125
"Primary somatosensory area, lower limb, layer 2/3",0.043671875,0.043265625,0.0869375
"Superior olivary complex, lateral part",0.024640625,0.024265625,0.04890625
Trochlear nucleus,0.0005,0.000515625,0.001015625
optic chiasm,0.021296875,0.023453125000000002,0.04475
"Periventricular hypothalamic nucleus, intermediate part",0.012890625000000001,0.014843750000000001,0.027734375000000002
"Agranular insular area, posterior part, layer 1",0.029781250000000002,0.03,0.05978125
"Lateral visual area, layer 6b",0.002640625,0.00265625,0.005296875
"Superior olivary complex, periolivary region",0.02671875,0.0265625,0.05328125
Koelliker-Fuse subnucleus,0.012609375,0.01190625,0.024515625
optic tract,0.05071875,0.049625,0.10034375000000001
"Periventricular hypothalamic nucleus, posterior part",0.00915625,0.009125,0.01828125
Midbrain reticular nucleus,0.355796875,0.347625,0.7034218750000001
third ventricle,0.04465625,0.074109375,0.11876562500000001
Lateral amygdalar nucleus,0.061484375,0.059046875,0.12053125
"Prelimbic area, layer 6b",0.0013125,0.00146875,0.00278125
"Periventricular hypothalamic nucleus, preoptic part",0.0081875,0.01196875,0.02015625
Intermediate reticular nucleus,0.201375,0.19925,0.400625
"Entorhinal area, lateral part, layer 5",0.10403125,0.10125,0.20528125000000003
cerebral aqueduct,0.024609375,0.0305,0.055109375
"Nucleus ambiguus, ventral division",0.0016093750000000001,0.0016093750000000001,0.0032187500000000003
fourth ventricle,0.0321875,0.037125,0.0693125
Pontine reticular nucleus,0.17004687500000001,0.16634375,0.33639062500000005
Locus ceruleus,0.001078125,0.0009218750000000001,0.002
"Gustatory areas, layer 4",0.0103125,0.0104375,0.02075
Paraventricular nucleus of the thalamus,0.0266875,0.031984375,0.058671875
lateral recess,0.03228125,0.03271875,0.065
Lateral dorsal nucleus of thalamus,0.067578125,0.065921875,0.1335
"Dorsal auditory area, layer 6a",0.012921875000000001,0.01221875,0.025140625
posterior commissure,0.003140625,0.003640625,0.006781250000000001
Anterior olfactory nucleus,0.341546875,0.34164062500000003,0.6831875000000001
Laterodorsal tegmental nucleus,0.014109375,0.01378125,0.027890625000000002
"Agranular insular area, posterior part, layer 2/3",0.058015625,0.05703125,0.11504687499999999
Nucleus prepositus,0.016671875,0.017140625,0.033812499999999995
"Prelimbic area, layer 1",0.028984375,0.03678125,0.065765625
Retrochiasmatic area,0.011078125,0.010609375,0.0216875
Nucleus of Roller,0.002109375,0.002140625,0.00425
Ventral part of the lateral geniculate complex,0.02840625,0.02803125,0.0564375
"Gustatory areas, layer 2/3",0.02875,0.029468750000000002,0.05821875
Nucleus of reuniens,0.02890625,0.030265625,0.059171875
Lateral habenula,0.0225,0.02234375,0.04484375
"Gustatory areas, layer 5",0.037875,0.0390625,0.07693749999999999
"Accessory olfactory bulb, glomerular layer",0.010046875,0.01015625,0.020203125000000002
Rhomboid nucleus,0.005734375,0.006703125,0.0124375
pyramid,0.04146875,0.04171875,0.0831875
Lateral hypothalamic area,0.14815625,0.14490625000000001,0.2930625
"Accessory olfactory bulb, granular layer",0.014859375000000001,0.014937500000000001,0.029796875
Rostral linear nucleus raphe,0.002984375,0.00475,0.007734375
pyramidal decussation,0.0041875,0.006,0.0101875
"Primary somatosensory area, barrel field, layer 2/3",0.107,0.103109375,0.210109375
Medial vestibular nucleus,0.12734375,0.126015625,0.253359375
Linear nucleus of the medulla,0.004671875,0.00434375,0.009015625
"Accessory olfactory bulb, mitral layer",0.018328125,0.018125,0.036453125
Nucleus raphe magnus,0.0054375000000000005,0.01203125,0.01746875
Area postrema,0.00290625,0.004390625,0.007296875
Lateral vestibular nucleus,0.02028125,0.019984375000000002,0.040265625
Lateral mammillary nucleus,0.00575,0.005296875,0.011046875000000001
"Anterior cingulate area, dorsal part, layer 2/3",0.039296875,0.039218750000000004,0.078515625
Red nucleus,0.05459375,0.053890625000000004,0.10848437500000001
Anterior pretectal nucleus,0.08590625,0.083921875,0.169828125
