structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Abducens nucleus,0.0,0.0,0.0,0.004124,0.0040869999999999,0.008211,0.0,0.0
Accessory facial motor nucleus,0.0,0.0,0.0,0.0005059999999999,0.000502,0.0010079999999999,0.0,0.0
"Accessory olfactory bulb, glomerular layer",0.0,0.0,0.0,0.009319,0.0092459999999999,0.0185649999999999,0.0,0.0
"Accessory olfactory bulb, granular layer",0.0,0.0,0.0,0.015809,0.0142549999999999,0.030064,0.0,0.0
"Accessory olfactory bulb, mitral layer",0.0,0.0,0.0,0.017887,0.017258,0.0351449999999999,0.0,0.0
Accessory supraoptic group,0.0,0.0,0.0,0.000523,0.000554,0.001077,0.0,0.0
Accessory trigeminal nucleus,0.0,0.0,0.0,0.001315,0.001403,0.002718,0.0,0.0
"Agranular insular area, dorsal part, layer 1",0.0,0.0,0.0,0.0387039999999999,0.039817,0.078521,0.0,0.0
"Agranular insular area, dorsal part, layer 2/3",0.0,0.0,0.0,0.079429,0.078271,0.1577,0.0,0.0
"Agranular insular area, dorsal part, layer 5",0.0,0.0,0.0,0.122139,0.116614,0.238753,0.0,0.0
"Agranular insular area, dorsal part, layer 6a",0.0,0.0,0.0,0.0622309999999999,0.0563489999999999,0.1185799999999999,0.0,0.0
"Agranular insular area, dorsal part, layer 6b",0.0,0.0,0.0,0.003942,0.00345,0.007392,0.0,0.0
"Agranular insular area, posterior part, layer 1",0.0,0.0,0.0,0.047408,0.038549,0.085957,0.0,0.0
"Agranular insular area, posterior part, layer 2/3",0.0,0.0,0.0,0.088559,0.0685829999999999,0.157142,0.0,0.0
"Agranular insular area, posterior part, layer 5",0.0,0.0,0.0,0.0806539999999999,0.059266,0.13992,0.0,0.0
"Agranular insular area, posterior part, layer 6a",0.0,0.0,0.0,0.0458989999999999,0.03292,0.078819,0.0,0.0
"Agranular insular area, posterior part, layer 6b",0.0,0.0,0.0,0.002136,0.001518,0.003654,0.0,0.0
"Agranular insular area, ventral part, layer 1",0.0,0.0,0.0,0.022727,0.02197,0.044697,0.0,0.0
"Agranular insular area, ventral part, layer 2/3",1.0,0.0,1.0,0.055944,0.050503,0.106447,17.875017875017875,0.0
"Agranular insular area, ventral part, layer 5",0.0,0.0,0.0,0.06253,0.0566809999999999,0.119211,0.0,0.0
"Agranular insular area, ventral part, layer 6a",0.0,0.0,0.0,0.015875,0.01317,0.029045,0.0,0.0
"Agranular insular area, ventral part, layer 6b",0.0,0.0,0.0,0.0002309999999999,0.0002199999999999,0.0004509999999999,0.0,0.0
Anterior amygdalar area,0.0,0.0,0.0,0.0290969999999999,0.034476,0.0635729999999999,0.0,0.0
"Anterior area, layer 1",0.0,0.0,0.0,0.019797,0.015422,0.035219,0.0,0.0
"Anterior area, layer 2/3",0.0,0.0,0.0,0.0310179999999999,0.0243819999999999,0.0553999999999999,0.0,0.0
"Anterior area, layer 4",0.0,0.0,0.0,0.010706,0.008379,0.0190849999999999,0.0,0.0
"Anterior area, layer 5",0.0,0.0,0.0,0.023549,0.0182559999999999,0.0418049999999999,0.0,0.0
"Anterior area, layer 6a",0.0,0.0,0.0,0.0148139999999999,0.0114069999999999,0.0262209999999999,0.0,0.0
"Anterior area, layer 6b",0.0,0.0,0.0,0.0026249999999999,0.0020109999999999,0.0046359999999999,0.0,0.0
"Anterior cingulate area, dorsal part, layer 1",0.0,0.0,0.0,0.035698,0.039705,0.075403,0.0,0.0
"Anterior cingulate area, dorsal part, layer 2/3",0.0,0.0,0.0,0.037808,0.0366639999999999,0.074472,0.0,0.0
"Anterior cingulate area, dorsal part, layer 5",0.0,0.0,0.0,0.0769369999999999,0.07144,0.1483769999999999,0.0,0.0
"Anterior cingulate area, dorsal part, layer 6a",0.0,0.0,0.0,0.0481959999999999,0.041477,0.089673,0.0,0.0
"Anterior cingulate area, dorsal part, layer 6b",0.0,0.0,0.0,0.001762,0.001454,0.003216,0.0,0.0
"Anterior cingulate area, ventral part, 6a",0.0,0.0,0.0,0.0262559999999999,0.022629,0.048885,0.0,0.0
"Anterior cingulate area, ventral part, 6b",0.0,0.0,0.0,0.004501,0.0038139999999999,0.008315,0.0,0.0
"Anterior cingulate area, ventral part, layer 1",0.0,0.0,0.0,0.030114,0.033541,0.063655,0.0,0.0
"Anterior cingulate area, ventral part, layer 2/3",0.0,0.0,0.0,0.0344369999999999,0.032566,0.067003,0.0,0.0
"Anterior cingulate area, ventral part, layer 5",0.0,0.0,0.0,0.070329,0.0639909999999999,0.13432,0.0,0.0
Anterior hypothalamic nucleus,0.0,0.0,0.0,0.058233,0.061113,0.119346,0.0,0.0
Anterior olfactory nucleus,0.0,6.0,6.0,0.337584,0.381413,0.718997,0.0,15.73097927967846
Anterior pretectal nucleus,0.0,0.0,0.0,0.1131659999999999,0.1060929999999999,0.2192589999999999,0.0,0.0
Anterior tegmental nucleus,0.0,0.0,0.0,0.004318,0.004379,0.008697,0.0,0.0
Anterodorsal nucleus,0.0,0.0,0.0,0.013477,0.0118079999999999,0.025285,0.0,0.0
Anterodorsal preoptic nucleus,0.0,0.0,0.0,0.0062889999999999,0.006639,0.0129279999999999,0.0,0.0
"Anterolateral visual area, layer 1",0.0,0.0,0.0,0.010737,0.0109129999999999,0.02165,0.0,0.0
"Anterolateral visual area, layer 2/3",0.0,0.0,0.0,0.016443,0.016113,0.032556,0.0,0.0
"Anterolateral visual area, layer 4",0.0,0.0,0.0,0.007845,0.0075889999999999,0.015434,0.0,0.0
"Anterolateral visual area, layer 5",0.0,0.0,0.0,0.014247,0.013649,0.0278959999999999,0.0,0.0
"Anterolateral visual area, layer 6a",0.0,0.0,0.0,0.007377,0.00705,0.0144269999999999,0.0,0.0
"Anterolateral visual area, layer 6b",0.0,0.0,0.0,0.001446,0.001401,0.0028469999999999,0.0,0.0
"Anteromedial nucleus, dorsal part",0.0,0.0,0.0,0.0194179999999999,0.019621,0.039039,0.0,0.0
