structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.03103,0.035084,0.06611399999999999
"Primary somatosensory area, mouth, layer 6b",0.041405,0.042344,0.08374899999999999
internal capsule,0.952807,0.953881,1.906688
Principal sensory nucleus of the trigeminal,0.358188,0.354965,0.7131529999999999
"Primary somatosensory area, trunk, layer 6a",0.135255,0.139436,0.274691
"Superior colliculus, motor related, intermediate gray layer",1.053602,1.059095,2.112697
Interfascicular nucleus raphe,0.040818,0.041441,0.082259
Parataenial nucleus,0.14177199999999998,0.15004699999999999,0.29181899999999994
"Superior colliculus, motor related, intermediate white layer",1.224764,1.2207219999999999,2.445486
Induseum griseum,0.052724,0.052837999999999996,0.10556199999999999
"Entorhinal area, lateral part, layer 2",1.464874,1.66449,3.129364
Anterior amygdalar area,0.263733,0.275862,0.539595
"Superior colliculus, motor related, deep gray layer",0.714321,0.705951,1.420272
Intergeniculate leaflet of the lateral geniculate complex,0.038222,0.043054999999999996,0.08127699999999999
"Entorhinal area, lateral part, layer 6a",0.39075699999999997,0.444473,0.8352299999999999
"Periventricular hypothalamic nucleus, anterior part",0.044961,0.04983,0.094791
"Primary visual area, layer 6a",0.49406999999999995,0.491207,0.985277
Oculomotor nucleus,0.015260999999999999,0.015507,0.030767999999999997
"Gustatory areas, layer 1",0.168211,0.183785,0.351996
Paraventricular hypothalamic nucleus,0.18428999999999998,0.18392899999999998,0.36821899999999996
"posteromedial visual area, layer 2/3",0.16817,0.17021599999999998,0.33838599999999996
"Superior colliculus, motor related, deep white layer",0.195961,0.18974,0.38570099999999996
Precommissural nucleus,0.079918,0.078693,0.158611
"Entorhinal area, lateral part, layer 3",0.8389019999999999,0.920539,1.7594409999999998
medial forebrain bundle,0.018487,0.018394999999999998,0.036882
Nucleus accumbens,2.009115,1.981302,3.990417
Medial terminal nucleus of the accessory optic tract,0.021748,0.019974,0.041721999999999995
Intermediodorsal nucleus of the thalamus,0.12642399999999998,0.12514799999999998,0.25157199999999996
medial longitudinal fascicle,0.08266699999999999,0.08211,0.164777
"Paraventricular hypothalamic nucleus, descending division",0.111455,0.10677099999999999,0.21822599999999998
Anterodorsal nucleus,0.123794,0.094349,0.218143
Lateral terminal nucleus of the accessory optic tract,0.007745999999999999,0.00823,0.015975999999999997
Interstitial nucleus of Cajal,0.043516,0.042654,0.08617
"Frontal pole, layer 1",0.043976999999999995,0.063729,0.107706
Anterodorsal preoptic nucleus,0.04152,0.045932999999999995,0.087453
"Lateral visual area, layer 6a",0.077445,0.085467,0.162912
Dorsal terminal nucleus of the accessory optic tract,0.005288999999999999,0.005391,0.010679999999999999
middle cerebellar peduncle,0.35836599999999996,0.357081,0.7154469999999999
lateral ventricle,1.422858,1.409617,2.8324749999999996
Inferior olivary complex,0.239974,0.246474,0.486448
"Prelimbic area, layer 6a",0.186682,0.17948799999999998,0.36617
Anterior hypothalamic nucleus,0.430403,0.404244,0.8346469999999999
Interposed nucleus,0.403537,0.43493699999999996,0.8384739999999999
motor root of the trigeminal nerve,0.017093,0.015962999999999998,0.033056
Dorsal cochlear nucleus,0.195202,0.213772,0.40897399999999995
"Temporal association areas, layer 1",0.37082099999999996,0.52351,0.894331
subependymal zone,0.08069899999999999,0.08358199999999999,0.16428099999999998
Interpeduncular nucleus,0.005020999999999999,0.004835,0.009856
Ventral cochlear nucleus,0.319397,0.36676,0.6861569999999999
nigrostriatal tract,0.051125,0.054848999999999995,0.10597399999999998
"Superior olivary complex, medial part",0.12917299999999998,0.139881,0.269054
Inferior salivatory nucleus,0.0034119999999999997,0.003698,0.00711
choroid plexus,0.811834,0.784349,1.596183
"Primary somatosensory area, lower limb, layer 2/3",0.384306,0.354165,0.738471
"Superior olivary complex, lateral part",0.19472,0.180909,0.375629
Trochlear nucleus,0.003516,0.003587,0.007103
