structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.037364999999999995,0.036074999999999996,0.07343999999999999
"Primary somatosensory area, mouth, layer 6b",0.045447999999999995,0.043709,0.08915699999999999
internal capsule,0.955761,0.89764,1.8534009999999999
Principal sensory nucleus of the trigeminal,0.40447299999999997,0.348811,0.753284
"Primary somatosensory area, trunk, layer 6a",0.100411,0.095151,0.195562
"Superior colliculus, motor related, intermediate gray layer",0.8951129999999999,0.8533689999999999,1.7484819999999999
Interfascicular nucleus raphe,0.039445999999999995,0.037806,0.07725199999999999
Parataenial nucleus,0.128827,0.12814,0.256967
"Superior colliculus, motor related, intermediate white layer",0.9952679999999999,0.965742,1.96101
Induseum griseum,0.057817999999999994,0.058078,0.115896
"Entorhinal area, lateral part, layer 2",1.01333,0.8648859999999999,1.878216
Anterior amygdalar area,0.214991,0.214334,0.42932499999999996
"Superior colliculus, motor related, deep gray layer",0.604727,0.5792109999999999,1.183938
Intergeniculate leaflet of the lateral geniculate complex,0.036296999999999996,0.039015999999999995,0.07531299999999999
"Entorhinal area, lateral part, layer 6a",0.42804,0.34221599999999996,0.7702559999999999
"Periventricular hypothalamic nucleus, anterior part",0.043583,0.050407,0.09398999999999999
"Primary visual area, layer 6a",0.45272599999999996,0.45233399999999996,0.90506
Oculomotor nucleus,0.012691,0.013071,0.025762
"Gustatory areas, layer 1",0.116987,0.123681,0.240668
Paraventricular hypothalamic nucleus,0.13744299999999998,0.16983099999999998,0.30727399999999994
"posteromedial visual area, layer 2/3",0.122193,0.122502,0.244695
"Superior colliculus, motor related, deep white layer",0.164105,0.15692599999999998,0.32103099999999996
Precommissural nucleus,0.079913,0.075224,0.155137
"Entorhinal area, lateral part, layer 3",0.679419,0.584276,1.263695
medial forebrain bundle,0.019794,0.019302,0.039096
Nucleus accumbens,1.9078089999999999,1.753531,3.66134
Medial terminal nucleus of the accessory optic tract,0.020704,0.021235999999999998,0.04194
Intermediodorsal nucleus of the thalamus,0.093639,0.098121,0.19175999999999999
medial longitudinal fascicle,0.06820799999999999,0.068163,0.136371
"Paraventricular hypothalamic nucleus, descending division",0.08874599999999999,0.094804,0.18355
Anterodorsal nucleus,0.094194,0.08832,0.182514
Lateral terminal nucleus of the accessory optic tract,0.005774,0.007169999999999999,0.012943999999999999
Interstitial nucleus of Cajal,0.037253,0.038943,0.076196
"Frontal pole, layer 1",0.082212,0.091788,0.174
Anterodorsal preoptic nucleus,0.039046,0.041274,0.08032
"Lateral visual area, layer 6a",0.07309399999999999,0.078362,0.15145599999999998
Dorsal terminal nucleus of the accessory optic tract,0.0052629999999999994,0.004574,0.009836999999999999
middle cerebellar peduncle,0.357012,0.363958,0.72097
lateral ventricle,1.1506049999999999,1.0163659999999999,2.1669709999999998
Inferior olivary complex,0.19114399999999998,0.204648,0.395792
"Prelimbic area, layer 6a",0.181172,0.200836,0.382008
Anterior hypothalamic nucleus,0.35156699999999996,0.3371,0.6886669999999999
Interposed nucleus,0.39769499999999997,0.39463699999999996,0.7923319999999999
motor root of the trigeminal nerve,0.015616999999999999,0.017279,0.032895999999999995
Dorsal cochlear nucleus,0.218888,0.202759,0.421647
"Temporal association areas, layer 1",0.273879,0.26714899999999997,0.541028
subependymal zone,0.065888,0.065686,0.131574
Interpeduncular nucleus,0.004764,0.00487,0.009634
Ventral cochlear nucleus,0.415882,0.331507,0.747389
nigrostriatal tract,0.049787,0.048646999999999996,0.098434
"Superior olivary complex, medial part",0.13311299999999998,0.13053499999999998,0.263648
Inferior salivatory nucleus,0.004023,0.003607,0.00763
choroid plexus,0.7443139999999999,0.653716,1.3980299999999999
"Primary somatosensory area, lower limb, layer 2/3",0.292197,0.25668599999999997,0.548883
"Superior olivary complex, lateral part",0.18492,0.194547,0.379467
Trochlear nucleus,0.002957,0.002931,0.005888
optic chiasm,0.109942,0.11224999999999999,0.222192
"Periventricular hypothalamic nucleus, intermediate part",0.186723,0.24595099999999998,0.432674
"Agranular insular area, posterior part, layer 1",0.245975,0.237526,0.48350099999999996
"Lateral visual area, layer 6b",0.013788,0.014868999999999999,0.028657
"Superior olivary complex, periolivary region",0.213415,0.225601,0.43901599999999996
Koelliker-Fuse subnucleus,0.07923,0.064079,0.143309
optic tract,0.279087,0.266438,0.545525
"Periventricular hypothalamic nucleus, posterior part",0.044675,0.041839,0.08651400000000001
Midbrain reticular nucleus,2.852624,2.887727,5.740351
third ventricle,0.584259,0.671391,1.25565
Lateral amygdalar nucleus,0.314189,0.336289,0.650478
"Prelimbic area, layer 6b",0.00891,0.009694999999999999,0.018604999999999997
"Periventricular hypothalamic nucleus, preoptic part",0.07245499999999999,0.073424,0.14587899999999998
Intermediate reticular nucleus,2.11176,2.132916,4.244676
"Entorhinal area, lateral part, layer 5",0.636289,0.521807,1.158096
cerebral aqueduct,0.145846,0.142083,0.287929
"Nucleus ambiguus, ventral division",0.014783999999999999,0.016255,0.031038999999999997
fourth ventricle,0.28298799999999996,0.277205,0.5601929999999999
Pontine reticular nucleus,1.453813,1.6052629999999999,3.059076
