structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Gigantocellular reticular nucleus,3000.0,3441.0,6441.0,1.53498,1.4968169999999998,3.031797,1954.422858929758,2298.878219581953
"Primary somatosensory area, lower limb, layer 5",1579.0,984.0,2563.0,0.29294499999999996,0.255079,0.5480240000000001,5390.090289986176,3857.6284209989844
Pontine reticular nucleus,1307.0,1131.0,2438.0,1.453813,1.605263,3.0590759999999997,899.0152103468603,704.5574463499127
Red nucleus,894.0,657.0,1551.0,0.419419,0.44441400000000003,0.863833,2131.5200312813677,1478.3512670617936
"Primary motor area, Layer 6a",641.0,823.0,1464.0,1.313117,1.200102,2.513219,488.151474697228,685.7750424547247
"Primary motor area, Layer 5",1064.0,357.0,1421.0,1.4035540000000002,1.2750439999999998,2.678598,758.0755710147239,279.9903375883499
"Pontine reticular nucleus, caudal part",793.0,610.0,1403.0,1.6418579999999998,1.74103,3.3828879999999995,482.9893937234524,350.36731130422794
"Primary somatosensory area, trunk, layer 6a",691.0,577.0,1268.0,0.100411,0.095151,0.19556199999999999,6881.716146637321,6064.045569673466
Magnocellular reticular nucleus,641.0,441.0,1082.0,0.248678,0.238414,0.487092,2577.6305101376074,1849.7235900576309
Pons,611.0,381.0,992.0,1.630873,1.6377849999999998,3.2686580000000003,374.6459718200007,232.63126722982568
"Primary somatosensory area, lower limb, layer 6a",313.0,667.0,980.0,0.292825,0.252828,0.5456529999999999,1068.8978058567404,2638.157166136662
Midbrain reticular nucleus,547.0,302.0,849.0,2.852624,2.887727,5.740351,191.75327698287612,104.58052302035476
"Retrosplenial area, lateral agranular part, layer 6a",439.0,345.0,784.0,0.208211,0.191186,0.399397,2108.4380748375447,1804.5254359628843
"Paragigantocellular reticular nucleus, lateral part",305.0,376.0,681.0,0.355927,0.373531,0.7294579999999999,856.9172892194186,1006.609893154785
Intermediate reticular nucleus,192.0,393.0,585.0,2.11176,2.132916,4.244676,90.9194226616661,184.25479484424142
Hypothalamus,310.0,270.0,580.0,1.356933,1.33574,2.692673,228.4563792022156,202.13514606135925
crossed tectospinal pathway,254.0,298.0,552.0,0.261655,0.263164,0.5248189999999999,970.7439185186599,1132.3737289294888
Lateral hypothalamic area,275.0,271.0,546.0,0.881416,0.8855839999999999,1.767,311.99796690779385,306.01275542466897
"Medullary reticular nucleus, dorsal part",268.0,228.0,496.0,0.805616,0.87725,1.682866,332.6646938491788,259.9031062980906
"Lateral reticular nucleus, magnocellular part",165.0,269.0,434.0,0.259231,0.292636,0.551867,636.4979497050894,919.2307166582375
"Medullary reticular nucleus, ventral part",210.0,221.0,431.0,0.48915,0.514284,1.003434,429.3161606869059,429.72365463440434
