structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.012907,0.016301,0.029207999999999998
"Primary somatosensory area, mouth, layer 6b",0.019669,0.019503,0.039172
internal capsule,0.409182,0.403898,0.81308
Principal sensory nucleus of the trigeminal,0.155529,0.147396,0.302925
"Primary somatosensory area, trunk, layer 6a",0.029883,0.031201,0.061084
"Superior colliculus, motor related, intermediate gray layer",0.34354599999999996,0.39755199999999996,0.7410979999999999
Interfascicular nucleus raphe,0.01746,0.018978,0.036438
Parataenial nucleus,0.060347,0.059837999999999995,0.12018499999999999
"Superior colliculus, motor related, intermediate white layer",0.371562,0.404283,0.775845
Induseum griseum,0.019558,0.022387,0.041944999999999996
"Entorhinal area, lateral part, layer 2",0.045013,0.031911999999999996,0.076925
Anterior amygdalar area,0.088429,0.087897,0.17632599999999998
"Superior colliculus, motor related, deep gray layer",0.211914,0.21984399999999998,0.431758
Intergeniculate leaflet of the lateral geniculate complex,0.016444,0.017158,0.033602
"Entorhinal area, lateral part, layer 6a",0.149452,0.136984,0.286436
"Periventricular hypothalamic nucleus, anterior part",0.017894,0.017322,0.035216
"Primary visual area, layer 6a",0.12956099999999998,0.13715,0.266711
Oculomotor nucleus,0.005987999999999999,0.005868,0.011855999999999998
"Gustatory areas, layer 1",0.022994999999999998,0.032679,0.055674
Paraventricular hypothalamic nucleus,0.058282999999999995,0.055033,0.113316
"posteromedial visual area, layer 2/3",0.041818,0.039054,0.080872
"Superior colliculus, motor related, deep white layer",0.058551,0.060372999999999996,0.118924
Precommissural nucleus,0.034913,0.036556,0.071469
"Entorhinal area, lateral part, layer 3",0.069713,0.050863,0.12057599999999999
medial forebrain bundle,0.009434,0.009547,0.018980999999999998
Nucleus accumbens,0.7013769999999999,0.6637179999999999,1.3650949999999997
Medial terminal nucleus of the accessory optic tract,0.007326999999999999,0.007422,0.014748999999999998
Intermediodorsal nucleus of the thalamus,0.041146999999999996,0.048081,0.089228
medial longitudinal fascicle,0.02916,0.030167999999999997,0.05932799999999999
"Paraventricular hypothalamic nucleus, descending division",0.0364,0.037752,0.074152
Anterodorsal nucleus,0.037781999999999996,0.051602999999999996,0.08938499999999999
Lateral terminal nucleus of the accessory optic tract,0.003365,0.0034119999999999997,0.006777
Interstitial nucleus of Cajal,0.016194999999999998,0.015536999999999999,0.031731999999999996
"Frontal pole, layer 1",0.028301999999999997,0.02563,0.053931999999999994
Anterodorsal preoptic nucleus,0.025323,0.02147,0.046793
"Lateral visual area, layer 6a",0.024952,0.025467999999999998,0.05041999999999999
Dorsal terminal nucleus of the accessory optic tract,0.0028,0.002874,0.005674
middle cerebellar peduncle,0.16797499999999999,0.163426,0.33140099999999995
lateral ventricle,0.47500499999999996,0.603148,1.078153
Inferior olivary complex,0.058228999999999996,0.057206,0.115435
"Prelimbic area, layer 6a",0.070403,0.075404,0.145807
Anterior hypothalamic nucleus,0.18878999999999999,0.176701,0.365491
Interposed nucleus,0.19158799999999998,0.14030299999999998,0.33189099999999994
motor root of the trigeminal nerve,0.007546,0.00715,0.014696
Dorsal cochlear nucleus,0.084308,0.088404,0.17271199999999998
"Temporal association areas, layer 1",0.0063739999999999995,0.012808,0.019181999999999998
subependymal zone,0.028187999999999998,0.034637,0.06282499999999999
Interpeduncular nucleus,0.002484,0.002835,0.005319
Ventral cochlear nucleus,0.11043599999999999,0.114148,0.224584
nigrostriatal tract,0.018001,0.018748,0.036749000000000004
"Superior olivary complex, medial part",0.050283999999999995,0.04444,0.094724
Inferior salivatory nucleus,0.001617,0.001485,0.0031019999999999997
choroid plexus,0.279406,0.316248,0.5956539999999999
"Primary somatosensory area, lower limb, layer 2/3",0.11709399999999999,0.09094,0.208034
"Superior olivary complex, lateral part",0.067205,0.057486999999999996,0.124692
Trochlear nucleus,0.0013139999999999998,0.001354,0.002668
optic chiasm,0.088528,0.06450399999999999,0.153032
"Periventricular hypothalamic nucleus, intermediate part",0.058098,0.058411,0.116509
"Agranular insular area, posterior part, layer 1",0.021544,0.033557,0.055101
"Lateral visual area, layer 6b",0.004477,0.004637,0.009114
"Superior olivary complex, periolivary region",0.077539,0.071875,0.149414
Koelliker-Fuse subnucleus,0.031142,0.030542,0.061684
optic tract,0.126471,0.132162,0.258633
"Periventricular hypothalamic nucleus, posterior part",0.019230999999999998,0.021122,0.040353
Midbrain reticular nucleus,1.107786,1.099678,2.207464
third ventricle,0.185995,0.251539,0.437534
Lateral amygdalar nucleus,0.16844299999999998,0.168079,0.336522
"Prelimbic area, layer 6b",0.0037809999999999996,0.004053,0.007834
"Periventricular hypothalamic nucleus, preoptic part",0.051983999999999995,0.052101999999999996,0.10408599999999998
Intermediate reticular nucleus,0.694743,0.610735,1.305478
"Entorhinal area, lateral part, layer 5",0.151479,0.135321,0.2868
cerebral aqueduct,0.069786,0.07984999999999999,0.149636
"Nucleus ambiguus, ventral division",0.004327999999999999,0.003741,0.008069
fourth ventricle,0.083825,0.086481,0.170306
Pontine reticular nucleus,0.582734,0.570964,1.153698
Locus ceruleus,0.002523,0.0026969999999999997,0.00522
"Gustatory areas, layer 4",0.020516,0.025006,0.045522
Paraventricular nucleus of the thalamus,0.10180499999999999,0.113644,0.215449
lateral recess,0.083539,0.078758,0.162297
Lateral dorsal nucleus of thalamus,0.214633,0.27416199999999996,0.488795
"Dorsal auditory area, layer 6a",0.03136,0.032688999999999996,0.064049
posterior commissure,0.010440999999999999,0.011446,0.021886999999999997
Anterior olfactory nucleus,0.716272,0.730084,1.446356
Laterodorsal tegmental nucleus,0.035241,0.041581,0.076822
"Agranular insular area, posterior part, layer 2/3",0.061083,0.086267,0.14734999999999998
