structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.000390625,0.0003125,0.000703125
"Primary somatosensory area, mouth, layer 6b",0.000421875,0.00046875,0.0008906249999999999
internal capsule,0.007203125,0.0073750000000000005,0.014578125
Principal sensory nucleus of the trigeminal,0.004375,0.003875,0.00825
"Primary somatosensory area, trunk, layer 6a",0.00090625,0.0007968750000000001,0.0017031250000000002
"Superior colliculus, motor related, intermediate gray layer",0.007171875,0.0073593750000000005,0.01453125
Interfascicular nucleus raphe,0.000328125,0.000359375,0.0006875
Parataenial nucleus,0.000953125,0.00065625,0.0016093750000000001
"Superior colliculus, motor related, intermediate white layer",0.00725,0.0073281250000000004,0.014578125
Induseum griseum,0.0003125,0.000546875,0.0008593750000000001
"Entorhinal area, lateral part, layer 2",0.00515625,0.00575,0.01090625
Anterior amygdalar area,0.001765625,0.0015937500000000001,0.0033593750000000004
"Superior colliculus, motor related, deep gray layer",0.004328125,0.004703125,0.009031250000000001
Intergeniculate leaflet of the lateral geniculate complex,0.000171875,0.000171875,0.00034375
"Entorhinal area, lateral part, layer 6a",0.003515625,0.003828125,0.00734375
"Primary visual area, layer 6a",0.0038125,0.003625,0.0074375
Oculomotor nucleus,4.6875e-05,0.00015625,0.00020312500000000002
"Gustatory areas, layer 1",0.000859375,0.000703125,0.0015625
Paraventricular hypothalamic nucleus,0.000828125,0.0008125000000000001,0.0016406250000000002
"posteromedial visual area, layer 2/3",0.001046875,0.0011250000000000001,0.002171875
"Superior colliculus, motor related, deep white layer",0.001015625,0.001015625,0.00203125
Precommissural nucleus,0.0005,0.00046875,0.00096875
"Entorhinal area, lateral part, layer 3",0.005015625,0.0044843750000000005,0.009500000000000001
medial forebrain bundle,0.00021875,0.000234375,0.00045312499999999997
Nucleus accumbens,0.015578125,0.01584375,0.031421875
Medial terminal nucleus of the accessory optic tract,0.00015625,0.00015625,0.0003125
Intermediodorsal nucleus of the thalamus,0.00021875,0.0013125,0.00153125
medial longitudinal fascicle,0.00028125000000000003,0.00040625000000000004,0.0006875000000000001
"Paraventricular hypothalamic nucleus, descending division",0.000359375,0.000296875,0.0006562499999999999
Anterodorsal nucleus,0.000546875,0.00053125,0.001078125
