structure_name,left_volume_mm3,right_volume_mm3,total_volume_mm3
"Tuberomammillary nucleus, ventral part",0.017374,0.014745999999999999,0.032119999999999996
"Primary somatosensory area, mouth, layer 6b",0.023351,0.024912999999999998,0.048264
internal capsule,0.44933999999999996,0.448082,0.8974219999999999
Principal sensory nucleus of the trigeminal,0.181774,0.181028,0.36280199999999996
"Primary somatosensory area, trunk, layer 6a",0.047797,0.052544,0.100341
"Superior colliculus, motor related, intermediate gray layer",0.444307,0.44328999999999996,0.887597
Interfascicular nucleus raphe,0.017329,0.018788,0.036116999999999996
Parataenial nucleus,0.083799,0.085584,0.169383
"Superior colliculus, motor related, intermediate white layer",0.526053,0.52925,1.0553029999999999
Induseum griseum,0.02786,0.030816999999999997,0.05867699999999999
"Entorhinal area, lateral part, layer 2",0.348169,0.32632,0.674489
Anterior amygdalar area,0.119631,0.11767599999999999,0.237307
"Superior colliculus, motor related, deep gray layer",0.32727,0.323,0.65027
Intergeniculate leaflet of the lateral geniculate complex,0.021109,0.020494,0.041603
"Entorhinal area, lateral part, layer 6a",0.185085,0.161638,0.346723
"Periventricular hypothalamic nucleus, anterior part",0.021282,0.021377,0.042659
"Primary visual area, layer 6a",0.15864799999999998,0.15905999999999998,0.317708
Oculomotor nucleus,0.006392,0.006455,0.012847
"Gustatory areas, layer 1",0.060909,0.059198,0.12010699999999999
Paraventricular hypothalamic nucleus,0.057367999999999995,0.057543,0.11491099999999999
"posteromedial visual area, layer 2/3",0.046182999999999995,0.014062999999999999,0.060245999999999994
"Superior colliculus, motor related, deep white layer",0.089317,0.087945,0.17726199999999998
Precommissural nucleus,0.035525,0.035144,0.07066900000000001
"Entorhinal area, lateral part, layer 3",0.267121,0.238345,0.505466
medial forebrain bundle,0.011503,0.009641,0.021144
Nucleus accumbens,0.748174,0.757848,1.506022
Medial terminal nucleus of the accessory optic tract,0.011182,0.009618999999999999,0.020801
Intermediodorsal nucleus of the thalamus,0.046616,0.053713,0.100329
medial longitudinal fascicle,0.035974,0.036521,0.072495
"Paraventricular hypothalamic nucleus, descending division",0.037392,0.038331,0.075723
Anterodorsal nucleus,0.057822,0.07363,0.131452
Lateral terminal nucleus of the accessory optic tract,0.0046819999999999995,0.004508,0.00919
Interstitial nucleus of Cajal,0.023448999999999998,0.022666,0.046114999999999996
"Frontal pole, layer 1",0.029571999999999998,0.052038999999999995,0.08161099999999999
Anterodorsal preoptic nucleus,0.017036,0.018167,0.035203
"Lateral visual area, layer 6a",0.0292,0.029153,0.058353
Dorsal terminal nucleus of the accessory optic tract,0.0023959999999999997,0.002509,0.004905
middle cerebellar peduncle,0.22175999999999998,0.221319,0.443079
lateral ventricle,0.873493,1.119769,1.993262
Inferior olivary complex,0.089682,0.09569699999999999,0.185379
"Prelimbic area, layer 6a",0.07155399999999999,0.06665,0.138204
Anterior hypothalamic nucleus,0.252364,0.22816199999999998,0.48052599999999995
Interposed nucleus,0.22566699999999998,0.218354,0.444021
motor root of the trigeminal nerve,0.010535,0.012270999999999999,0.022806
Dorsal cochlear nucleus,0.082217,0.081414,0.163631
"Temporal association areas, layer 1",0.110037,0.127822,0.237859
subependymal zone,0.053363,0.059564,0.112927
Interpeduncular nucleus,0.002202,0.002544,0.004746
Ventral cochlear nucleus,0.139125,0.10829899999999999,0.24742399999999998
nigrostriatal tract,0.018595999999999998,0.018108,0.036704
"Superior olivary complex, medial part",0.06931,0.054210999999999995,0.12352099999999999
Inferior salivatory nucleus,0.0012799999999999999,0.00154,0.0028199999999999996
choroid plexus,0.41645499999999996,0.500829,0.917284
"Primary somatosensory area, lower limb, layer 2/3",0.10729,0.093123,0.200413
"Superior olivary complex, lateral part",0.10919999999999999,0.090393,0.199593
Trochlear nucleus,0.001341,0.0013369999999999999,0.002678
optic chiasm,0.089644,0.088505,0.178149
"Periventricular hypothalamic nucleus, intermediate part",0.049061,0.050144,0.099205
"Agranular insular area, posterior part, layer 1",0.12992399999999998,0.12040999999999999,0.25033399999999995
"Lateral visual area, layer 6b",0.005438,0.005451999999999999,0.01089
"Superior olivary complex, periolivary region",0.109077,0.09086899999999999,0.19994599999999998
Koelliker-Fuse subnucleus,0.031702,0.028953,0.060655
optic tract,0.179608,0.173836,0.353444
"Periventricular hypothalamic nucleus, posterior part",0.021034,0.021301,0.042335
Midbrain reticular nucleus,1.5149489999999999,1.474405,2.9893539999999996
third ventricle,0.251616,0.326417,0.578033
Lateral amygdalar nucleus,0.19319799999999998,0.174449,0.36764699999999995
"Prelimbic area, layer 6b",0.004332,0.0035529999999999997,0.007885
"Periventricular hypothalamic nucleus, preoptic part",0.028175,0.031452,0.059627
Intermediate reticular nucleus,0.9188139999999999,0.851557,1.770371
"Entorhinal area, lateral part, layer 5",0.276574,0.244057,0.520631
cerebral aqueduct,0.06271299999999999,0.068491,0.131204
"Nucleus ambiguus, ventral division",0.005392999999999999,0.00428,0.009673
fourth ventricle,0.139237,0.14342,0.282657
Pontine reticular nucleus,0.7091189999999999,0.674642,1.3837609999999998
Locus ceruleus,0.003783,0.0032389999999999997,0.007022
"Gustatory areas, layer 4",0.038827,0.038755,0.077582
Paraventricular nucleus of the thalamus,0.135764,0.152535,0.28829899999999997
lateral recess,0.087626,0.086821,0.174447
Lateral dorsal nucleus of thalamus,0.315371,0.376015,0.6913860000000001
"Dorsal auditory area, layer 6a",0.042248,0.04041,0.08265800000000001
posterior commissure,0.011916999999999999,0.012928,0.024845
Anterior olfactory nucleus,0.9867009999999999,0.788427,1.775128
Laterodorsal tegmental nucleus,0.048312999999999995,0.043925,0.09223799999999999
"Agranular insular area, posterior part, layer 2/3",0.227299,0.209197,0.436496
"central canal, spinal cord/medulla",2.4e-05,0.00027499999999999996,0.00029899999999999995
